;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
china_acquire_state_desc;Aquire a Chinese §Ystate§W;Prendre un §YÉtat§W ennemi;Erobern Sie einen feindlichen §YStaat§W.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_CHINA_REUNIFICATION;$ORDER$$FIRST$-$SECOND$ War of Chinese Reunification;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,
AGRESSION_WAR_CHINA_REUNIFICATION;$ORDER$$FIRST$-$SECOND$ War of Chinese Reunification;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,
NORMAL_CIVIL_WAR_NAME_TKG_SAT;$ORDER$Boshin War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_CIVIL_WAR_NAME_TKG_CHO;$ORDER$Boshin War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_CIVIL_WAR_NAME_TKG_TOS;$ORDER$Boshin War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_CIVIL_WAR_NAME_TKG_KAG;$ORDER$Boshin War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_CIVIL_WAR_NAME_TKG_SEN;$ORDER$Boshin War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_CIVIL_WAR_NAME_TKG_YZW;$ORDER$Boshin War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_RESTORE_ORDER_NAME_ENG_TRN;$ORDER$Boer War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_RESTORE_ORDER_NAME_ENG_ORA;$ORDER$Boer War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_RESTORE_ORDER_NAME_ENG_NAL;$ORDER$Boer War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_PUPPET_NAME_TUR_EGY;$ORDER$Oriental Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_TAKE_NAME_ENG_QNG;$ORDER$Opium War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_TAKE_CORE_NAME_SHW_GON;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_RESTORE_ORDER_NAME_SHW_GON;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_TAKE_CORE_NAME_SHW_TIG;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_RESTORE_ORDER_NAME_SHW_TIG;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_TAKE_CORE_NAME_GON_SHW;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_RESTORE_ORDER_NAME_GON_SHW;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_TAKE_CORE_NAME_GON_TIG;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_RESTORE_ORDER_NAME_GON_TIG;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_TAKE_CORE_NAME_TIG_SHW;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_RESTORE_ORDER_NAME_TIG_SHW;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_TAKE_CORE_NAME_TIG_GON;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
NORMAL_WAR_RESTORE_ORDER_NAME_TIG_GON;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME4435;The Border Crossing;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC4435;A family was caught attempting to sneak across the border today, the latest in a spate of such incidents. Normally this would not be a cause for concern, but word of the family's incarceration has leaked out through relatives and become a point of contention. Demonstrations in $CAPITAL$ have demanded that $COUNTRY$'s borders be re-opened.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME4436;Immigration Quotas Questioned;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC4436;The plight of an immigrant family that has spent three years trying to get permission for relatives to join them in $COUNTRY$ has recently come to the attention of the government. The family meets all criteria for immigration except for one: the quotas have reached their limit, and officials have no recourse but to sometimes deny those who would otherwise be welcome. $COUNTRY_ADJ$ expatriates in other countries have held demonstrations against the policy, claiming it is based in racism and old-fashioned thinking. Conservatives say it is the only way to prevent immigrants from overrunning the system and causing chaos.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME4437;$COUNTRY_ADJ$ Naturalization;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC4437;'We have lived in $COUNTRY$ our entire lives. We arrived here as children, and we speak no other language and know no other way. Yet we are not $COUNTRY_ADJ$ citizens.'\n\n$COUNTRY_ADJ$ immigration policies currently make it impossible for someone not born in this country to become a citizen, yet recently the question has arisen whether the government should re-examine this policy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME4438;A Proud Citizen;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC4438;'I came to $COUNTRY$ fifteen years ago, leaving behind starvation and worse. Now I am a $COUNTRY_ADJ$ citizen, as are my children, and I could not be more proud to fight for my new homeland.'\n\nThe story of a naturalized immigrant who has become a veteran and $COUNTRY_ADJ$ patriot has been making the rounds in $CAPITAL$ newspapers this month. It is an inspiring story, and one we could perhaps capitalize on.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME4439;The $COUNTRY_ADJ$ Historical Society;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC4439;A group of 'concerned citizens' has organized a historical society in the capital, ostensibly pledged towards providing support for $COUNTRY_ADJ$ families with a long history of residency in the country. In truth, the society exists to oppose immigration laws and actively supports their repeal. Several members of the society have high standing in the government and have been asking for support.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC10100_NEW;Phytophthora infestans, the dreaded potato blight, has struck one of our farming provinces. Starving smallholders, and in some places driving whole families from their homes, the potato blight has caused a localized famine that threatens to spread.;;Phytophthora infestans, die gefürchtete Kartoffelfäule, ist in $PROVINCENAME$ ausgebrochen. Die Krankheit bringt lokale Kleinbauern ans Hungertuch, treibt an manchen Orten ganze Familien aus ihren Heimen, und hat generell vor Ort eine Hungersnot ausgelöst, die sich auszubreiten droht. Im Parlament wie auch vor Ort treten die Liberalen vor, klagen unsere Regierung an, die Hungerhilfe ungeschickt anzugehen, und behaupten, dass vielleicht nicht die Knollenfäule selbst, sondern unsere Politik, die zu Nahrungsmangel geführt hat, an der Krise schuld ist.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,
EVTNAME10120_NEW;$COUNTRY_ADJ$ Herald;La Tribune de $COUNTRY_ADJ$;Der $COUNTRY_ADJ$ Herald;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10120_NEW;A new daily has begun circulating in $COUNTRY$. The $COUNTRY_ADJ$ Herald, carrying hard-hitting political commentary, literary critique and local news, has quickly developed into a flagship for local liberal politics.;;Eine neue Tageszeitung ist in $COUNTRY$ erschienen. Mit beißenden politischen Kommentaren, Literaturkritik und Lokalnachrichten ist der $COUNTRY_ADJ$ Herald schnell zu einem Flaggschiff für liberale Lokalpolitik geworden.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
EVTDESC10130_NEW;A local chapter of the Chartist Society, calling for a broadening of the voting franchise, and an end to landed voting rights, has opened in $COUNTRY$.;Une branche locale de la Société chartiste, appelant à un élargissement du droit de vote et à la fin du système électoral censitaire est apparue en $COUNTRY$.;Ein lokaler Zweig der Chartistengesellschaft ist in $COUNTRY$ aktiv geworden und ruft nach größeren Wahlrechten und einem Ende der landbesitzgebundenen Wahlrechts.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
EVTDESC10140_NEW;Liberal causes have started to gain traction in $COUNTRY$. While no one knows for sure, rumor has it that the root cause of this sudden upswing in liberal propaganda efforts is the recent foundation of a secret society, forced into hiding due to the persecution of any legitimate opposition to the ruling party. Whether it be the Rosecrucians or the Illuminati, these society members will continue to act from the shadows until $COUNTRY$ allows free debate and opposition in its politics.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC10150_NEW;The smog from the factories hangs low against the blood red of a charcoal sky. Far away in the depths of the city, in the deepest bowels of the industrial machine, the cries and shouts of a forming mob can be heard echoing against a backdrop of drainpipes and smokestacks. Infuriated over poor working conditions, clamoring for a return to a lost pastoral dream remembered, Luddites take to the streets in $COUNTRY$.;;Der kohlschwarze Qualm der Fabriken hängt tief gegen den blutroten Himmel. Tief im Herzen der Stadt, in den untersten Kellern der Industriemaschine, kann man die Schreie und Rufes des sich bildenden Mobs im Echo gegen den Hintergrund von Kühlröhren und Schornsteinen hören. Erzürnt über schlechte Arbeitsbedingungen ziehen die Ludditen auf die Straße in $COUNTRY$ und verlangen die Wiederkehr eines ländlichen Traums.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
EVTDESC10160_NEW;Immorality is like water, flowing through every concievable crack in the dams of legal authority. Liberals in $COUNTRY$ have, on account of the ban on public meetings, begun holding banquets. Ostentsibly without purpose -- A gathering among friends, a celebration, a feast -- the common knowledge secret that no one dare pronounce is that these banquets are political meetings carried out behind a thin veneer of legality.;;Sittenlosigkeit ist wie Wasser - sie fließt durch jeden Riss in den Dämmen der Gesetzesautorität. Die Liberalen in $COUNTRY$ haben wegen des Verbots öffentlicher Versammlungen begonnen, Bankette abzuhalten. Nach außen völlig absichtslos -- ein Treffen von Freunden, eine Feier, ein Fest -- doch ist jedem klar, was er nicht auszusprechen wagt: dass diese Bankette politische Treffen sind, die sich hinter einem sehr dünnen Anstrich der Legalität verstrecken.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,
EVTDESC10170_NEW;Like rats carrying contagious diseases, the preachers of modernity move effortlessly back and forth across our borders. Liberal agitation has spread to $PROVINCENAME$ from a neighboring province and is now threatening to enflame the entire state. We might want to send some troops here.;Comme des rats porteurs de maladies contagieuses, les prédicateurs modernes vont et viennent facilement de part et d'autres de nos frontières. L'agitation libérale s'étend à $PROVINCENAME$ depuis une province voisine.;Wie Ratten mit ansteckenden Krankheiten bewegen sich die Prediger der Modernität mühelos über unsere Grenzen hinweg. Liberale Agitation ist aus einer Nachbarprovinz nach $PROVINCENAME$ übergeschwappt.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,
EVTDESC10200_NEW;Death to the $MONARCHTITLE$!', a hoarse voice cries. The streets in $PROVINCENAME$ have come alive. A local injustice, or the perception of one, have animated the unwashed masses into rebellion against our rule and threatens to spread to the rest of the state. The revolt is still small enough that its future course has not been set in stone, and leniency might avert it, but perhaps it is best to put our foot down firmly to set an example?;;Tod dem König!', schreit eine heisere Stimme. Die Straßen in $PROVINCENAME$ sind zum Leben erwacht. Eine lokale Ungerechtigkeit bzw. das, was manche dafür ansehen, hat eine Rebellion der ungewaschenen Horden gegen unsere Herrschaft entfacht. Die Revolte ist noch klein genug, dass ihr künftiger Kurs noch nicht in Stein gemeißelt steht. Mit Milde könnte man noch etwas erreichen, aber vieleicht ist es am besten, hart vorzugehen, um ein Exempel zu statuieren?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,
EVTNAME10205;Fighting in the Streets;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10205;Tensions in one of our provinces reached a boiling point recently, with liberals and reactionaries battling in the streets. $COUNTRY_ADJ$ police were quick to move in, but tempers remain high and already there are reports of fighting elsewhere in the state. Officials are calling for decisive action to put an end to the violence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10215;Inspired Nationalists;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10215;Nationalists in $COUNTRY$, inspired by the wave of liberalism in a neighboring nation, have risen up. Agitators are running through the streets waving flags and calling for their brethren to fight for freedom. Responding with violence could enflame the entire state, but $COUNTRY_ADJ$ officials agree that this cannot be allowed to continue.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10155;Pan-Nationalist Fervor;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10155;A fervor has been sweeping through parts of $COUNTRY$, with liberal-minded revolutionaries calling for $COUNTRY_ADJ$ citizens to rise up and demand the unification of $CULTURE_GROUP_UNION$. They have begun waving $UNION_ADJ$ flags in the streets, fomenting riots and violence. The police have had difficulties dealing with the problem.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10190_NEW;Fiery Sermon in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10200_NEW;Liberal Insurrection in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10210_NEW;Liberal Revolt in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10216;Nationalist Fervor in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10216;Nationalists in $PROVINCENAME$, inspired by the wave of liberalism throughout $COUNTRY$, have risen up. Agitators are running through the streets waving flags and calling for their brethren to fight for freedom. Responding with violence could enflame the entire state, but $COUNTRY_ADJ$ officials agree that this cannot be allowed to continue.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10221;Chartist Rally in Kennington Common;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10221;A massive demonstration by the Chartists has taken place in Kennington Common, with liberals demanding that the People's Charter be implemented immediately-- giving equal votes to all men, rich or poor, as well as secret ballots and a fair distribution of constituencies. Many in the government are suggesting that such public gatherings should be made illegal, and that at best the British government should make empty promises to these rabble-rousers. Others fear that refusing their demands will lead to the monarchy being toppled by rebellion.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10222;The French Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10222;Angry crowds have flooded the streets of Paris, shouting cries of 'Down with the King!' and 'Long live the Reform!'. They have erected barricades in the streets and fighting has broken out with the Parisian municipal guards. With the city having been completely closed off from outside help, these crowds have begun to march on the royal palace. Our king has had no choice but to abdicate and flee the country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10223;Louis-Napoleon's Coup d'Etat;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10223;Facing the prospect of losing the presidential election, the popular Louis-Napoleon has launched a coup d'etat and overthrown the French government. Loyal members of the army have locked down strategic locations in Paris, and the Assemblée Nationale has been dissolved, leaving Louis-Napoleon as the undisputed ruler of the country. He has been christened Napoléon III, regaining his uncle's throne as the Emperor of France.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10224;Emperor Napoleon Deposed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10224;Angered by the inability of France to prevent the formation of Germany, as well as the humiliating loss of Alsace-Lorraine, the government has deposed Emperor Napoleon. We must choose what form our new government is to take.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10225;Hungarian Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10225;The Hungarian Diet has grown increasingly independent of Austrian rule in recent years. Field Marshall Count Franz Philipp von Lamberg was sent to Hungary to take personal control over their armies, but was attacked upon his arrival. In response, the Austrian government ordered the Hungarian Diet dissolved and the Ban of Croatia installed in Lamberg's place. The Hungarians have refused to obey, and thus we now face civil war to maintain the integrity of the empire.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10226;Freedom At Last!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10226;We have won our freedom from Austrian rule! The people have gathered in $CAPITAL$ in jubilation!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10227;The Hungarian Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10227;Hungarian lands rightfully belong to us. With their new-found freedom, we are left with the decision whether we should pursue our claim to their lands or instead try to reconcile with the Hungarian government. If they remain hostile, after all, and we are unable to defeat them, they will become a very dangerous enemy on our border. Admitting their loss, however, might be a blow to our prestige we will never recover from.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME10228;Constitutional Reform;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10228;With the entire nation ready to overthrow the monarchy, ministers have approached the King with advice on reforming the constitution before it's too late. The loss of Belgium has made a revision necessary already. Including provisions that permitted the direct election of the lower house as well as numerous freedoms the Dutch do not already enjoy might pacify the liberals.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME11100_NEW;The Unification of $CULTURE_GROUP_UNION$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11100_NEW;A rising tide of liberal nationalism within $CULTURE_GROUP_UNION$ has begun to spread, raising the idea of a $UNION_ADJ$ union with $COUNTRY$ at its head. A parliament of liberal revolutionaries has been convened, with representatives from throughout $UNION_ADJ$ lands, which has decreed the time is right for the nation to unite under one banner. The parliament has offered the crown of $CULTURE_GROUP_UNION$ to us. We could accept the offer, but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME11108;Slavic Unification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11108;The call has gone out for the Slavic nations of the Balkans to finally unite under a common banner, to resist the encroachment of the Austrians and Turks as well as other European powers. Yugoslavia, it is said, will be a power to rival even its most powerful neighbours. Whether this new nation would succeed in holding together a people divided by centuries of bitter warfare is best left for speculation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME11109;The Creation of Greater Finland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11109;The call has gone out for the Ugric nations of Greater Finland to finally unite under a common banner, to resist the encroachment of the Russians as well as other European powers. This new nation, it is said, will be a power to rival even its most powerful neighbours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME11110;A North German Union?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
