#Decision localisation;;;;;;;;;;;;;;
restore_rashids_title;Restore the House of Rasheed to the Arabian throne;Restaurer la dynastie des Al-Rasheed sur le trône d'Arabie;Restore the House of Rasheed to the Arabian throne;;;;;;;;;;;
exploration_of_Amazonia_GUY_desc; The vast jungles along the Amazon river are void and non-occupied. From our bases in Para we can claim the are and take the territory for ourselves;;;;;;;;;;;;;
LST_recognized_title;Recognition of Lusitania;;;;;;;;;;;;;
LST_recognized_desc; We truly are the dominant power in the area and Mexico will be forced to back his claims !;;;;;;;;;;;;;
ATL_recognized_title; Atlantia in the Federation;;;;;;;;;;;;;
ATL_recognized_desc; Lotharingia is now forced to recognize the inclusion of Atlantia in the Amazonian Federation. All hail Amazonia !;;;;;;;;;;;;;
Manifest_destiny_AMADEM_title; Southern Ambitions;;;;;;;;;;;;;
Manifest_destiny_AMADEM_desc; With Atlantia integrated in the Federation many in the high spheres have asked for expansion into Lotharingia. Many plans have been proposed but which one will get the vote of the Parliament ?;;;;;;;;;;;;;
integrate_guarani_title; Integration of the Guaranis;;;;;;;;;;;;;
integrate_guarani_desc;Now that we have conquered territories where reside Guaranis, we can integrate them into the Federation to counterbalance the Lotharian influence in the area, a move the Lotharians won't like.;;;;;;;;;;;;;
new_amsterdam_treaty_border_title; The Lotharian Congress;;;;;;;;;;;;;
new_amsterdam_treaty_border_desc; Now we are in control of Libreville and Nouvelle-Alsace, we should assemble the Lotharian representatives to try to make them accept our rule. However should they refuse, it would be an action that could spark a revolt in the new territories...;;;;;;;;;;;;;
new_amsterdam_treaty_guarani_title;The Lotharian Congress;;;;;;;;;;;;;
new_amsterdam_treaty_guarani_desc; With our control over the new states of the Federation established, we should assemble the Lotharian representatives to try to make them accept our rule. However should they refuse, it would be an action that could spark a revolt in the new territories...;;;;;;;;;;;;;
new_amsterdam_treaty_federation_title; The Lotharian Congress;;;;;;;;;;;;;
new_amsterdam_treaty_federation_desc; With our complete control over what was Lotharingia, we should assemble the Lotharian representatives to try to make them accept our rule. However should they refuse, it would be an action that could spark a revolt in the new territories...;;;;;;;;;;;;;
Ameriga_AMA_title; The Federation;;;;;;;;;;;;;
Ameriga_AMA_desc; Despite the wars with Lotharingia, we now stand proud as the dominant power of Ameriga. We can now unify the two former Frankish colonies into a single state that will rivalize with the Great European Powers. Long Live Ameriga !;;;;;;;;;;;;;
Ameriga_LOT_title; The Federation;;;;;;;;;;;;;
Ameriga_LOT_desc; Despite the wars with Amazonia, we now stand proud as the dominant power of Ameriga. We can now unify the two former Frankish colonies into a single state that will rivalize with the Great European Powers. Long Live Ameriga !;;;;;;;;;;;;;
Northern_border_title;The Northern Border;;;;;;;;;;;;;
Northern_border_desc;North of the vast Amazonian jungle is located the old Spanish territories of Guyana. With the forest an integral part of our country we have to act and annex the border to avoid any threats to it.;;;;;;;;;;;;;
Federation_NAN_title;Beornia in the Federation;;;;;;;;;;;;;
Federation_NAN_desc;With our control of Eastern Ameriga complete and secured some of our politics have talked to integrate Beornia into the Federation. They are likely to refuse but their small size will let us integrate them by force if necessary;;;;;;;;;;;;;
NAN_congress_title;The Beornian Congress;;;;;;;;;;;;;
NAN_congress_desc;With the old Beornian capital in our hands and their country under our control we can call a council to try to integrate the Beornians into the Federation. Should they refuse it would mean countless years of opposition from the natives;;;;;;;;;;;;;
Granada_border_title;The Conquest of Granada;;;;;;;;;;;;;
Granada_border_desc;Our Federation now extends from the Caribbean to the Pampas ! But until we secure Granada and Andagoya, we won't truly be the dominant power of Ameriga !;;;;;;;;;;;;;
GRA_congress_title;The Granadan Congress;;;;;;;;;;;;;
GRA_congress_desc;With Cartagena de Indias in our hands and we can call a council to try to integrate the Granadans into the Federation.;;;;;;;;;;;;;
integrate_beornians_title;Integration of the Beornians;;;;;;;;;;;;;
integrate_beornians_desc;The Congress of Camelot might have backfired but we ahve taken steps to really integrate the Beornians and assure them that they are true citizens of the Federation.;;;;;;;;;;;;;
integrate_granadan_title;Integration of the Granadans;;;;;;;;;;;;;
integrate_granadan_desc;Despite our efforts the Granadans have refused to accept our rule over the Northern lands of the continent. With our rule secured over all our claims, it is time to make them true citizens of the Federation.;;;;;;;;;;;;;
embrace_ameriganism_title;The Amerigan Ideal;;;;;;;;;;;;;
embrace_ameriganism_desc;Ameriga is at last truly united! From Cartagena to Port-Liberté, from the Falklands to the Chaco, our flag is hoisted high! The next century will be our time to shine, but for that we need the weary of the Old World!;;;;;;;;;;;;;
afro_french_slave_citizens_title;Integration of the Former Slaves;Intégration des anciens esclaves;Integration of the former slaves;;;;;;;;;;;
afro_french_slave_citizens_desc;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;Nous avons abolie l'esclavage, mais les anciens esclaves continuent à vivre exclus de notre société. Nous aurions tout à gagner à en faire des citoyens à part entière, assurant leur prospérité et notre cohésion nationale.;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;;;;;;;;;;;
afro_colombian_slave_citizens_title;Integration of the Former Slaves;Intégration des anciens esclaves;Integration of the former slaves;;;;;;;;;;;
afro_colombian_slave_citizens_desc;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;Nous avons abolie l'esclavage, mais les anciens esclaves continuent à vivre exclus de notre société. Nous aurions tout à gagner à en faire des citoyens à part entière, assurant leur prospérité et notre cohésion nationale.;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;;;;;;;;;;;
independent_equinoxia_title;Equinoxian independence;;;;;;;;;;;;;
independent_equinoxia_desc;France Antarctique has failed to impose their will on our people. We ahve stood against their agressions and shall never be part of the same state as them!;;;;;;;;;;;;;
liberty_enlightening_the_world_AZL_title;La Liberté éclairant le Monde;;;;;;;;;;;;;
liberty_enlightening_the_world_AZL_desc;New Amsterdam lacks a defining monument which would show its wealth and new status on the international stage. Designs have been approved for a statue representing the allegory of Liberty with a Phrygian cap to be built in the bay. It would be an important work, one that would show the power of our industry to the rest of the world.;;;;;;;;;;;;;
camelot_renovation_title;Planning the New Camelot;;;;;;;;;;;;;
camelot_renovation_desc;Camelot has been the capital of the Kingdom of Beornia since the crowning of the first king Edward I in 1658. The most important city of the country is still a backwards city compared to the rest of the civilized capitals. The city was never really planned and the feudality system that endured here for centuries has led to a poor development. Outside of the Royal Castle and the Alfredian place in the harbor there is a lot of work to do to ensure that Camelot can continue the legacy of the Arthurian legend and grow to be one of the best cities of the world.;;;;;;;;;;;;;
beornia_inca_border_treaty_title;The Beornian-Incan Border Treaty;;;;;;;;;;;;;
beornia_inca_border_treaty_desc;The colonization of Patagonia has seen both our settlers and Incans compete for the New-Cornish lands and it has been deemed important to settle the situation with a treaty recognizing each other claims on the area.;;;;;;;;;;;;;
beornia_inca_border_treaty_unequal_title;Claims on New-Cornwall;;;;;;;;;;;;;
beornia_inca_border_treaty_unequal_desc;The New-Cornish lands have been one of the primary centres of interest of our country in the last past years. With our power unmatched by the pesky Incans it is time we force them to cede all lands that they would have colonized south of their Antisuyu area.;;;;;;;;;;;;;
inca_beornia_border_treaty_title;Control of the South;;;;;;;;;;;;;
inca_beornia_border_treaty_desc;We have competed with Beornia over Mapuche lands and it is time we force them to cede their colonies in the area to us, the natural overlords of the area.;;;;;;;;;;;;;
merge_the_crowns_ari_title;Proclaim the kingdom of Aragon-Italy;Proclamer le royaume d'Argon-Italie;Verkündet das Königreich von Aragon-Italien;;;;;;;;;;;
merge_the_crowns_ari_desc;For centuries now, the crown of Aragon has been a dominant power on the Italian peninsula. We are now strong enough to strengthen our rule over Italy and proclaim the Dual Kingdom of Aragon and Italy! But let us beware, the other European Great Powers might not take the news kindly...;Depuis des siècles, nous sommes une puissance dominante dans la péninsule italienne. Nous sommes maintenant suffisamment fort pour concrétiser notre domination et proclamer la Double Monarchie d'Aragon et d'Italie! Mais attention, les autres grandes puissances européennes pourraient ne pas prendre la nouvelle très calmement...;Seit Jahrhunderten ist die Krone von Aragon eine einflussreiche Macht auf der italienischen Halbinsel. Wir sind nun stark genug, um unsere Herrschaft über Italien zu stärken und das Doppel-Königreich von Aragon und Italien zu verkünden! Aber wir sollten vorsichtig sein, die anderen europäischen Großmächte könnten diese Nachrichten nicht alle freundlich aufnehmen...;;;;;;;;;;;
start_ai_cw_title;End North Italian Autonomy;End North Italian Autonomy;End North Italian Autonomy;;;;;;;;;;;
start_ai_cw_desc;We now have enough power to demand the end of North Italian autonomy. The Milanese are likely to refuse our ultimatum thus leading to a civil war but we have enough power to win.;We now have enough power to demand the end of North Italian autonomy. The Milanese are likely to refuse our ultimatum thus leading to a civil war but we have enough power to win.;We now have enough power to demand the end of North Italian autonomy. The Milanese are likely to refuse our ultimatum thus leading to a civil war but we have enough power to win.;;;;;;;;;;;
integrate_north_italians_title;Integrate North Italians;Integrate North Italians;Integrate North Italians;;;;;;;;;;;
integrate_north_italians_desc;With the end of North Italian autonomy we can now integrate them into the social fabric of our empire. This will please all Italians but will anger Catalans and deeply anger Castillans.;With the end of North Italian autonomy we can now integrate them into the social fabric of our empire. This will please all Italians but will anger Catalans and deeply anger Castillans.;With the end of North Italian autonomy we can now integrate them into the social fabric of our empire. This will please all Italians but will anger Catalans and deeply anger Castillans.;;;;;;;;;;;
venetian_question_title;The Venetian Question;;;;;;;;;;;;;
venetian_question_desc;Venice - while distinct from the rest of the country - is Italian and thus should be a part of our realm.\nWith our control over Northern Italy cemented we can now focus on making it so.;;;;;;;;;;;;;
latin_empire_title;Proclaim the Latin Empire;Proclaim the Latin Empire;Proclaim the Latin Empire;;;;;;;;;;;
latin_empire_desc;As we are the heirs of the Roman Empire, in our increased power after the end of North Italian autonomy and North Italian intergration we can now proclaim the Latin Empire and claim the Western Mediterranean.;As we are the heirs of the Roman Empire, in our increased power after the end of North Italian autonomy and North Italian intergration we can now proclaim the Latin Empire and claim the Western Mediterranean.;As we are the heirs of the Roman Empire, in our increased power after the end of North Italian autonomy and North Italian intergration we can now proclaim the Latin Empire and claim the Western Mediterranean.;;;;;;;;;;;
annex_provence_title;the Annexation of Provence;;;;;;;;;;;;;
annex_provence_desc;Provence has held for such a long time because of our protection. Now that our Mediterranean ambitions have been stated a peaceful annexation might be possible with sufficient diplomatic pressure.;;;;;;;;;;;;;
unite_arabia_title;Establish the Greater Arabian Caliphate;Proclamons le Califat Arabe;Establish the Greater Arabian Caliphate;;;;;;;;;;;
unite_arabia_desc;We have subdued all other Arabian rulers and expelled the foreign invaders from their courts. The entire Arabian Peninsula kneels before You. Let our dynasty rules the Holy Lands for thousand years by the Grace of Allah.;Nous avons soumis les autres dirigeants arabes et chassé les envahisseurs étrangers de nos terres. La péninsule arabe entière reconnait notre autorité. Que notre dynastie règne sur cette terre sainte pour les milles ans à venir, Incha'Allah!;We have subdued all other Arabian rulers and expelled the foreign invaders from their courts. The entire Arabian Peninsula kneels before You. Let our dynasty rules the Holy Lands for thousand years by the Grace of Allah.;;;;;;;;;;;
form_arcadia_vinland_title;Proclaim the Unification of Arcadia;;;;;;;;;;;;;
form_arcadia_vinland_desc;With Arcadia doubtlessly dominated by our country, we can now establish a country with a more fitting name.;;;;;;;;;;;;;
form_arcadia_septiman_title;Proclaim the Unification of Arcadia;;;;;;;;;;;;;
form_arcadia_septiman_desc;With Arcadia doubtlessly dominated by our country, we can now establish a country with a more fitting name.;;;;;;;;;;;;;
form_arcadia_plantagenia_title;Proclaim the Unification of Arcadia;;;;;;;;;;;;;
form_arcadia_plantagenia_desc;With Arcadia doubtlessly dominated by our country, we can now establish a country with a more fitting name.;;;;;;;;;;;;;
erase_vinland_title;Hold a Conference over Vinland;;;;;;;;;;;;;
erase_vinland_desc;In our quest for the unification of Arcadia, we have fully incorporated the former lands of Vinland. We can now try to persuade the local population to embrace the Arcadian Dream.;;;;;;;;;;;;;
erase_nbg_title;Hold a Conference over New Burgundy;;;;;;;;;;;;;
erase_nbg_desc;In our quest for the unification of Arcadia, we have fully incorporated the former lands of the Confederation of Belgica. We can now try to persuade the local population to embrace the Arcadian Dream.;;;;;;;;;;;;;
erase_plantagenia_title;Hold a Conference over Plantagenia;;;;;;;;;;;;;
erase_plantagenia_desc;In our quest for the unification of Arcadia, we have fully incorporated the former lands of Plantagenia. We can now try to persuade the local population to embrace the Arcadian Dream.;;;;;;;;;;;;;
erase_lusitania_title;Hold a Conference over Lusitania;;;;;;;;;;;;;
erase_lusitania_desc;In our quest for the unification of Arcadia, we have fully incorporated the former lands of Lusitania. We can now try to persuade the local population to embrace the Arcadian Dream.;;;;;;;;;;;;;
embrace_panarcadianism_title;Embrace the Pan-Arcadian Dream;;;;;;;;;;;;;
embrace_panarcadianism_desc;Our country made impossible possible. Where once were petty squabling realms of Plantagenia, New Burgundy and Vinland now resides only Arcadia - the new paradise on Earth. It is now save  to declare Pan-Arcadianism to be a dream come true.;;;;;;;;;;;;;
discuss_capital_title;Discuss the New Capital;;;;;;;;;;;;;
discuss_capital_desc;As Arcadia gradually changed to be an equal federation rather than a hegemony of one of its cultures over the others, voices all around the country call for a discussion over founding a new capital representative of the recently found unity. Maybe it is the time to hear these calls?;;;;;;;;;;;;;
the_continental_congress_arc_title;Hold the Continental Congress;;;;;;;;;;;;;
the_continental_congress_arc_desc;Even though we haven't been able to persuade everyone that accepting the rule of Arcadia is the best thing to do, we are now in control of the former territories of the constituent countries in their entirety. With our citizens experiencing freedom and peace never to be seen before, they now could change their mind?;;;;;;;;;;;;;
accepting_athesia_title;Accepting the Athesians;;;;;;;;;;;;;
accepting_athesia_desc;The Venitian colonists who settled in Athesia have been restless since our takeover of the peninsula. Many share the same values as other Arcadians and if we make the right efforts they will be integrated without problems!;;;;;;;;;;;;;
accepting_caribenos_title;The Caribenos;;;;;;;;;;;;;
accepting_caribenos_desc;The island of Kuba has seen the local settlers develop differently from both the Colombians and the Spanish. The island being in the center of the Caribbean Sea has seen countless traders land in Habana and Santiago and the local plantations are still profitable. Thus it could be easy to ensure our rule on the island by recognizing some autonomy and make the locals accept our rule.;;;;;;;;;;;;;
accepting_ayitians_title;Control of the Sudurhafeyjar;;;;;;;;;;;;;
accepting_ayitians_desc;The Southern Islands, as they are called in Scandinavian, are home to an important population, one that has grown restless since our occupation of the islands began. They share many similarities with us and with the proper mesures taken we can easily make them accept our rule!;;;;;;;;;;;;;
Western_border_treaty_title;Push to the West;;;;;;;;;;;;;
Western_border_treaty_desc;The unification of Arcadia has led to a great increase of immigrants arriving in our ports. The tension between the former hostile communities of the continent is not helping the new people to integrate efficiently in our country. Thus it was proposed to claim all territories which are currently not fully settled by the Sanbao government in exchange of a generous subsidy.;;;;;;;;;;;;;
build_museum_title;An Archaeological Museum;;;;;;;;;;;;;
build_museum_desc;Now that we have excavation rights for our expedition, we should establish a National Museum in our capital to house and display the artifacts we plunder--- er, uncover.;;;;;;;;;;;;;
egyptological_excavations_title;The Valley of the Kings;La vallée des rois;Das Tal der Könige;;;;;;;;;;;
egyptological_excavations_desc;The Valley of the Kings, Egypt, is a potentially endless source of new archeological discoveries. By petitioning the Egyptian government for a monopoly to carry out excavations in The Valley of the Kings, we can ensure that we make these fantastic discoveries, rather than another Great Power.;;Das Tal der Könige in Ägypten ist eine potentiell unerschöpfliche Quelle neuer archäologischer Entdeckungen. Wenn wir die ägyptische Regierung um ein Monopol auf Ausgrabungen im Tal der Könige bitten, können wir sicherstellen, dass wir anstatt einer anderen Großmacht diese fantastischen Entdeckungen machen.;;;;;;;;;;;
forced_egyptological_excavations_title;The Valley of the Kings;La vallée des rois;Das Tal der Könige;;;;;;;;;;;
forced_egyptological_excavations_desc;Since we control Luxor, we can send an expedition to The Valley of The Kings to conduct archeological excavations. Discoveries of Egyptian tombs could increase our prestige.;À présent que nous contrôlons Louxor, nous pouvons dépêcher une expédition dans la vallée des rois pour y conduire des fouilles archéologiques. La découverte de tombeaux égyptiens nous permettrait d'accroître notre prestige.;Da wir Luxor kontrollieren, können wir eine Expedition ins Tal der Könige entsenden, um archäologische Ausgrabungen durchzuführen. Entdeckungen ägyptischer Gräber könnten unser Prestige steigern.;;;;;;;;;;;
maya_excavations_decision_title;The Mysterious Ruins of Yucatan;;;;;;;;;;;;;
maya_excavations_decision_desc;When the Panama Canal was planned, several expeditions were sent into the depths of Central America. The inhabitants of the deep jungles of Yucatan told them stories of ruined cities and ancient treasures. What precious artifacts may be waiting in the depths of the jungle? We should outfit an expedition and seek permission to explore these ruins--- for the advancement of science, naturally!;;;;;;;;;;;;;
forced_maya_excavations_title;The Mysterious Ruins of Yucatan;;;;;;;;;;;;;
forced_maya_excavations_desc;When the Panama Canal was planned, several expeditions were sent into the depths of Central America. The inhabitants of the deep jungles of Yucatan told them stories of ruined cities and ancient treasures. What precious artifacts may be waiting in the depths of the jungle? We should outfit an expedition and explore these ruins--- for the advancement of science, naturally! And since we control the region, we can begin directly.;;;;;;;;;;;;;
pompeji_fiorelli_title;Pompeii Entombed;;;;;;;;;;;;;
pompeji_fiorelli_desc;Since the rediscovery of the buried city of Pompeii in the 18th century, treasure-hunters, tomb raiders and adventurers have searched for valuable artefacts in the old Roman civitas. A new generation of archaeologists, diligent and experienced in new techniques and with a broader consciousness of scientific approaches, awaits to start new excavations. Giuseppe Fiorelli---one of those archaeologists, and a patriot, too---will develop a new kind of conservation and excavation in the Campanian fields, from which our nation and science will benefit.;;;;;;;;;;;;;
mycenaean_excavations_decision_title;Mycenaean Excavations;;;;;;;;;;;;;
mycenaean_excavations_decision_desc;The secrets of Ancient Greece await!;;;;;;;;;;;;;
forced_mycenaean_excavations_title;Forced Mycenaean Excavations;;;;;;;;;;;;;
forced_mycenaean_excavations_desc;We shall not allow a few misguided locals prevent us from unlocking the secrets of history.;;;;;;;;;;;;;
minoan_excavations_decision_title;Minoan Excavations;;;;;;;;;;;;;
minoan_excavations_decision_desc;We must plunder the secrets of the ancient Minoan civilization, for the good of science.;;;;;;;;;;;;;
forced_minoan_excavations_title;Forced Minoan Excavations;;;;;;;;;;;;;
forced_minoan_excavations_desc;We must plunder the secrets of the ancient Minoan civilization, for the good of science. It matters not what the local government thinks.;;;;;;;;;;;;;
mesopotamian_excavations_decision_title;The Cradle of Civilization;;;;;;;;;;;;;
mesopotamian_excavations_decision_desc;Mesopotamia: the onetime home of Babylonia, Akkadia and Assyria holds great promise for archaeological discovery. We've moved beyond the old methods of tomb-raiding and amateur excavations--- we should outfit a modern expedition and seek permission to explore these lands. We might bring back a few trophies for the museum... and learn something along the way.;;;;;;;;;;;;;
forced_mesopotamian_excavations_title;The Cradle of Civilization;;;;;;;;;;;;;
forced_mesopotamian_excavations_desc;Mesopotamia: the onetime home of Babylonia, Akkadia and Assyria holds great promise for archaeological discovery. We've moved beyond the old methods of tomb-raiding and amateur excavations--- we should outfit a modern expedition and explore these lands. We might bring back a few trophies for the museum... and learn something along the way. And since we control the region, we can begin directly.;;;;;;;;;;;;;
dominium_maris_baltici_title; Dominium Maris Baltici;;;;;;;;;;;;;
dominium_maris_baltici_desc; The greatest aspiration of the Kalmar Union has always been the complete control of the Baltic Sea. While the Scandinavians gained several holdings in the region, they still miss Prussia and the Lithuanian coast. Let us claim these areas for the glory of the Union ! ;;;;;;;;;;;;;
lithuania_kidnapping_title;Take Control of Lithuania;;;;;;;;;;;;;
lithuania_kidnapping_desc;With the rest of the Baltic coast firmly under our control it is time to complete our ambitions and take Lithuania from the Polish.;;;;;;;;;;;;;
reclaimPOM_title;Reclaiming Pomerania;;;;;;;;;;;;;
reclaimPOM_desc;Even if we have lost Pomerania, they are still rightful Scandinavian lands. Let us proclaim it high and wide and let the Germans fear our coming back !;;;;;;;;;;;;;
act_of_union_title;The new act of Union;;;;;;;;;;;;;
act_of_union_desc;The Commonwealth has experienced a severe decay in the last century. Problems with the Sejm, foreign intervention and weakness of the government led to a near break-up of the Union. But now we have reasserted our status in the European Concert and rid ourselves from foreign intervention, we can centralize the state in Warsaw and retake our place in Eastern Europe !;;;;;;;;;;;;;
moldavia_commonwealth_friends_forever_title;Missing localisation. Please report to Divergences' developer.;;;;;;;;;;;;;
moldavia_commonwealth_friends_forever_desc;Missing localisation. Please report to Divergences' developer.;;;;;;;;;;;;;
baltic_cultures_title;The Baltic peoples;;;;;;;;;;;;;
baltic_cultures_desc;The Livonians and Estonian people never truly enjoyed independence, being contested between the Commonwealth and Scandinavia. But in contrary to the Scandinavians, we have a tradition of accepting the local cultures and integrate in our state ! Long live the Polish rule of Livonia !;;;;;;;;;;;;;
treaty_hadiach_title;Treaty of Hadiach;;;;;;;;;;;;;
treaty_hadiach_desc;The Ruthenians constitute the most important ethnic group in the Commonwealth behind the Polish. Over the centuries, we have tried to integrate in our fabric, granting some of their nobles rights in the Sejm, encouraging the Uniate Church in spreading catholiscism. Now a new proposition has emerged to transform our state into a Polish-Lithuanian-Ruthenian Commonwealth but it needs the approval of the Ruthenian leaders;;;;;;;;;;;;;
integrate_germans_title;Missing localisation. Please report to Divergences' developer.;;;;;;;;;;;;;
integrate_germans_desc;Missing localisation. Please report to Divergences' developer.;;;;;;;;;;;;;
nordtyskland_title;Nordtyskland;;;;;;;;;;;;;
nordtyskland_desc;Despite all their attempts, the Bohemians could not stop our ambition. We control much of Northern Germany and it is our duty to help the Elbian people and accept them into our Union. Let us proclaim them brothers of the Scandinavians and use them to strenghten our state !;;;;;;;;;;;;;
meddle_with_cossacks_title;Negotiating with the Cossacks;;;;;;;;;;;;;
meddle_with_cossacks_desc;The Cossacks control large swaths of lands in the Commonwealth and obey only on paper to the orders of Warsaw. We can use our influence to take the whole Dniepr eastern bank and grow closer to the West and Kiev, the old capital of the Rus';;;;;;;;;;;;;
annex_ruthenia_title;Annexation of Ruthenia;;;;;;;;;;;;;
annex_ruthenia_desc;An independent Ruthenia does not serve well Mother Russia, we need to end their pathetic revendications and integrate them fully into our growing state.;;;;;;;;;;;;;
claim_old_netherlands_title;The Netherlands to the Dutch;Les Pays-Bas aux Néerlandais;The Netherlands to the Dutch;;;;;;;;;;;
claim_old_netherlands_desc;Starting as a group of refugees without resources in a foreign land, we have become a powerful nation, recognised today as a Great Power. We now can challenge the Burgundian tyrants that expelled us from our lands, et work toward reconquering them!;D'une bande de réfugiés sans ressources en terre étrangère, nous sommes devenus une nation forte, reconnue aujourd'hui comme une Grande Puissance. Nous pouvons maintenant défier le tyran bourguignon qui nous chassa de nos terres, et travailler à leurs reconquêtes.;Starting as a group of refugees without resources in a foreign land, we have become a powerful nation, recognised today as a Great Power. We now can challenge the Burgundian tyrants that expelled us from our lands, et work toward reconquering them!;;;;;;;;;;;
return_home_BTV_title;The Free State of the Netherlands;L'Etat libre des Pays-Bas;The Free State of the Netherlands;;;;;;;;;;;
return_home_BTV_desc;Our hardy group of pioneers set out decades back to found a free Dutch state in the heart of Africa, we have accomplished far more: not only have we overcome our divisions to create the powerful Batavian state, but we have been able to free our brothers from the Burgundian domination! Today we proclaim the Free State of the Netherlands!;Pionniers courageux partis il y a des décennies fonder un état néerlandais libre au cœur de l'Afrique, nous avons accompli bien plus: non seulement nous avons pu surmonter nos divisions pour créer le puissant état batave, mais nous avons pu libérer nos frères de la domination bourguignonne! Aujourd'hui nous proclamons l'état libre des Pays-Bas!;Our hardy group of pioneers set out decades back to found a free Dutch state in the heart of Africa, we have accomplished far more: not only have we overcome our divisions to create the powerful Batavian state, but we have been able to free our brothers from the Burgundian domination! Today we proclaim the Free State of the Netherlands!;;;;;;;;;;;
claim_old_england_title;England to the English;L'Angleterre aux anglais;England to the English;;;;;;;;;;;
claim_old_england_desc;Starting as a group of refugees without resources in a foreign land, we have become a powerful nation, recognised today as a Great Power. We now can challenge the French tyrants that expelled us from our lands, et work toward reconquering them!;D'une bande de réfugiés sans ressources en terre étrangère, nous sommes devenus une nation forte, reconnue aujourd'hui comme une Grande Puissance. Nous pouvons maintenant défier le tyran français qui nous chassa de nos terres, et travailler à leurs reconquêtes.;Starting as a group of refugees without resources in a foreign land, we have become a powerful nation, recognised today as a Great Power. We now can challenge the French tyrants that expelled us from our lands, et work toward reconquering them!;;;;;;;;;;;
return_home_NAN_title;Eternal England;L'Angleterre éternelle;Eternal England;;;;;;;;;;;
return_home_NAN_desc;Expelled from green England by the Norman invaders centuries ago, today we have accomplished our fathers' dreams: England is ours once more!;Chassés de la verte Albion par les envahisseurs normands il y a bien longtemps, aujourd'hui nous avons accompli le rêve de nos pères: l'Angleterre est à nous de nouveau!;Expelled from green England by the Norman invaders centuries ago, today we have accomplished our fathers' dreams: England is ours once more!;;;;;;;;;;;
proclaim_britannia_title;Proclaim Beornia the Holy Britannian Empire;;;;;;;;;;;;;
proclaim_britannia_desc;Instead of dreaming of reconquering the lands we left centuries ago, we must focus on our new sphere of interest - Ameriga. Let's forge an Empire yet unseen!;;;;;;;;;;;;;
announce_interest_SAF_title;The Boer States;;;;;;;;;;;;;
announce_interest_SAF_desc;The Cape Duchy was established after the end of the German Wars and is the sole area we could take back from the old Boer colonies. The duke of the Cape has sent us many messages, urging us to enhance our position in the area to protect the colony we have allowed him to rule. Moreover, it seems that Africa is becoming interesting for Great Powers and it will be good for us to have a stronger position when the real colonization begins.;;;;;;;;;;;;;
