annex_chinese_rival_short;Overthrow $RECIPIENT$;Renverser les $STATE$;Stürze $RECIPIENT$;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
ask_venice_desc;According to the Treaty of Patras we can ask the Republic for our full independence when we feel that we will survive on our own. Now the time has come to reconquer the Hellene Empire!;D'après le traité de Patras, nous pouvons demander notre indépendance si la menace turque recède. Ce moment est venu.;According to the Treaty of Patras we can ask the Republic for our full independence when we feel that we will survive on our own. Now the time has come to reconquer the Hellene Empire!;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
ask_venice_title;Ask Venice for independence;Demander notre indépendance;Ask Venice for independence;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
become_protector_NEJ_desc;The Ottomans are no longer capable of defending the Holy Cities! We will claim this title and our rulers will protect Mecca and Medina for the glory of Allah!;Les Ottomans ne sont plus capables de défendre les villes saintes! Nous prendrons le titre de calife et nos rois protégerons la Mecque et Médine pour la plus grande gloire d'Allah!;The Ottomans are no longer capable of defending the Holy Cities! We will claim this title and our rulers will protect Mecca and Medina for the glory of Allah!;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
become_protector_NEJ_title;Claim the title of Caliph;Prendre le titre de Calife;Claim the title of Caliph;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_albania_desc;After the weakening of the Byzantine Empire and the Bulgarian Empire in the middle and late 13th century, most of the Albanian territory became part of the Serbian state. Firstly, as part of Rashka and later as part of Serbian Empire. The southern part was governed by the semi-independent, Serbian ruled Despotate of Epiros. Along with the Serbian ruled Albania, there was also an Albanian state, the Principality of Arbër, and later the Kingdom of Albania. Thanks to these undisputed historical facts, we can claim Albania as a part of the Greater South Slavic Empire.;Après l'affaiblissement des empires byzantins et bulgares à la fin du 13° siècle, la majorité des territoires albanais furent intégrer à l'état serbe. Nous pouvons donc réclamer ces territoires comme partis intégrales de notre empire des slaves du sud!;After the weakening of the Byzantine Empire and the Bulgarian Empire in the middle and late 13th century, most of the Albanian territory became part of the Serbian state. Firstly, as part of Rashka and later as part of Serbian Empire. The southern part was governed by the semi-independent, Serbian ruled Despotate of Epiros. Along with the Serbian ruled Albania, there was also an Albanian state, the Principality of Arbër, and later the Kingdom of Albania. Thanks to these undisputed historical facts, we can claim Albania as a part of the Greater South Slavic Empire.;;;;;;;;;;;x,,,,,,,,,;;;;;;;;;;;;;;;
claim_albania_title;Claim Albania;Réclamer l'Albanie;Claim Albania;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_bulgaria_desc;The Bulgarians are South Slavs too! What would the United Yugoslavia be without even uniting all Yugoslavian countries and lands! Let them join our rising empire and be free.;Les Bulgares sont des slaves du sud également! La Yougoslavie ne saurait être complète sans les intégrer. Ils rejoindrons notre empire et seront libres.;The Bulgarians are South Slavs too! What would the United Yugoslavia be without even uniting all Yugoslavian countries and lands! Let them join our rising empire and be free.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_bulgaria_title;Claim Bulgaria;Réclamer la Bulgarie;Claim Bulgaria;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_finland_desc;Our territories in Ingria and Karelia are hard to defend against the Scandinavian Empire. We must aquire the Finnich March to secure us from the treacherous attacks of the Scandinavians and maintain the Equilibrium of Winter Powers.;Nos territoires d'Ingrie et de Carélie sont difficiles à défendre contre l'empire scandinave. Nous devons acquérir les marches finlandaises pour nous protéger contre les attaques traîtres des scandinaves et maintenir l'équilibre des puissances du nord.;Our territories in Ingria and Karelia are hard to defend against the Scandinavian Empire. We must aquire the Finnich March to secure us from the treacherous attacks of the Scandinavians and maintain the Equilibrium of Winter Powers.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_finland_title;The Bear and the Raven;L'ours et le corbeau;The Bear and the Raven;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_greeks_desc;The Tsardom of Serbia was a medieval empire in the Balkans that emerged from the medieval Serbian Kingdom in the 14th century and existed from 1346 to 1371. Stefan of Serbia became Emperor of Serbs and Greeks and ruled everything from Thessaloniki to Novi Sad. The empire died with the creator but its legacy lives on...;L'ancien Empire Serbe au 14° siècle réunissait les serbes et les grecques de Thessalonique à Novi Sad sous le Tsar Stefan de Serbie. L'empire ne lui a pas survécu, mais son héritage persiste…;The Tsardom of Serbia was a medieval empire in the Balkans that emerged from the medieval Serbian Kingdom in the 14th century and existed from 1346 to 1371. Stefan of Serbia became Emperor of Serbs and Greeks and ruled everything from Thessaloniki to Novi Sad. The empire died with the creator but its legacy lives on...;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_greeks_title;Reclaim the Territories of the Serbian Empire;Réclamer les territoires de l'empire serbe;Reclaim the Territories of the Serbian Empire;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_livonia_desc;For too long a time our legitimate rights on Livonia have been usurped by others, such as those Scandinavian barbarians. It is time to proclaim to the word that the Russian Empire will not leave those lands which rightfully belong to it be occupied by foreign invaders.;Depuis trop longtemps nos droits légitimes sur la Livonie sont usurpés par d'autres, tel que ces barbares scandinaves. Il est temps de proclamer au monde que l'Empire russe ne laissera pas ces terres qui lui reviennent de droit être occupé par des envahisseurs étrangers.;For too long a time our legitimate rights on Livonia have been usurped by others, such as those Scandinavian barbarians. It is time to proclaim to the word that the Russian Empire will not leave those lands which rightfully belong to it be occupied by foreign invaders.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_livonia_title;Russian Livonia;La Livonie russe;Russian Livonia;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_old_england_desc;Starting as a group of refugees without resources in a foreign land, we have become a powerful nation, recognised today as a Great Power. We now can challenge the French tyrants that expelled us from our lands, et work toward reconquering them!;D'une bande de réfugiés sans ressources en terre étrangère, nous sommes devenus une nation forte, reconnue aujourd'hui comme une Grande Puissance. Nous pouvons maintenant défier le tyran français qui nous chassa de nos terres, et travailler à leurs reconquêtes.;Starting as a group of refugees without resources in a foreign land, we have become a powerful nation, recognised today as a Great Power. We now can challenge the French tyrants that expelled us from our lands, et work toward reconquering them!;;;;;;;;;;x;,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_old_england_title;England to the English;L'Angleterre aux anglais;England to the English;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_old_netherlands_desc;Starting as a group of refugees without resources in a foreign land, we have become a powerful nation, recognised today as a Great Power. We now can challenge the Burgundian tyrants that expelled us from our lands, et work toward reconquering them!;D'une bande de réfugiés sans ressources en terre étrangère, nous sommes devenus une nation forte, reconnue aujourd'hui comme une Grande Puissance. Nous pouvons maintenant défier le tyran bourguignon qui nous chassa de nos terres, et travailler à leurs reconquêtes.;Starting as a group of refugees without resources in a foreign land, we have become a powerful nation, recognised today as a Great Power. We now can challenge the Burgundian tyrants that expelled us from our lands, et work toward reconquering them!;;;;;;;;;;x;,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_old_netherlands_title;The Netherlands to the Dutch;Les Pays-Bas aux Néerlandais;The Netherlands to the Dutch;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_siberia_desc;The Siberian plains were claimed by the Russian rulers since the times of Vladimir Atlasov and Danila Antsiferov. We have to keep our word.;La Russie, puissante et fière, domine aujourd'hui le monde slave. Il est temps de porter nos efforts vers l'avenir de notre nation: les vastes étendues de la Sibérie, qui n'attendent que les colons russes pour les développer.;The Siberian plains were claimed by the Russian rulers since the times of Vladimir Atlasov and Danila Antsiferov. We have to keep our word.;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_siberia_title;Go east, young man;A l'est, jeune homme;Go east, young man;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_thrace_desc;We finally completed the conquest of classic Greece but we should push farther - to the City of Cities itself. Constantinopolis is the ultimate reward for the mighty Greece! But first we will have to isolate the vile Turks to force them to leave Europe once and forever...;Nous avons reconquis la Grèce classique mais nous devrions aller plus loin - jusqu'à Constantinople elle-même, l'ultime récompense pour la puissance Grèce! Mais il nous faudra d'abord pousser les turques à quitter l'Europe…;We finally completed the conquest of classic Greece but we should push farther - to the City of Cities itself. Constantinopolis is the ultimate reward for the mighty Greece! But first we will have to isolate the vile Turks to force them to leave Europe once and forever...;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
claim_thrace_title;Claim the City;Constantinople;Claim the City;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
colombian_empire_desc;The Miranda's experiment failed. But with enough maneuvering we have managed to unify the former lands of the Northern Federation. Democracy is not the way. Will you accept the crown of the first Emperor in the Amerigas? Unify through power!;La fin de la république et l'instauration d'une dictature étaient certes des décisions drastiques, mais elles ont porté leurs fruits. Les sympathies sécessionnistes ont refluées, et une transition pacifique à une union de républiques est maintenant possible. Mais certains proposent de déclarer notre président empereur comme chef d'état cérémoniel, avec le vrai pouvoir détenu par le parlement.;Though the ending of Democracy in Gran Columbia and the creation of a dictatorship may have been a drastic move, it has ultimately been vindicated. Secessionist sentiment has been greatly reduced and a peaceful transition into a Union of Republics is now possible. However, some have argued that we should crown our President as an Emperor to serve as a nominal head of state (though actual power would remain with a Cabinet of Ministers), who can act as a tiebreaker, free from partisan politics.;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;;;;;;;
colombian_empire_title;Form the Colombian Empire;Longue vie à l'empereur!;Long Live the Emperor!;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
colombian_republic_desc;The Miranda's experiment failed. But with enough maneuvering we have managed to unify the former lands of the Northern Federation. Democracy is not the way. Unify through power!;La fin de la république et l'instauration d'une dictature étaient certes des décisions drastiques, mais elles ont porté leurs fruits. Les sympathies sécessionnistes ont refluées, et une transition pacifique à une union de républiques est maintenant possible.;Though the ending of Democracy in Gran Columbia and the creation of a dictatorship may have been a drastic move, it has ultimately been vindicated. Secessionist sentiment has been greatly reduced and a peaceful transition into a Union of Republics is now possible.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
colombian_republic_title;Create the National Dictatorship of Gran Colombia;Vive la république!;Long Live the Republic!;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest;Conquest;Conquête;Annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_desc;Annex a single-state §Ycountry§W;Annexer un §Ypays§W à un seul État;Annektieren Sie ein Einzelstaat-§YLand§W;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_large;Colonial Conquest;Conquête Coloniale;Annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_large_desc;Annex a large §Yuncivilized country§W;Annexer un grand §Ypays non civilisé§W;Annektieren Sie ein §Yunzivilisierte Nation§W;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_large_setup;Annex $RECIPIENT$;Annexer $RECIPIENT$;$RECIPIENT$ annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_large_short;Annex $RECIPIENT$;Annexer $RECIPIENT$;$RECIPIENT$ annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_medium;Colonial Conquest;Conquête Coloniale;Annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_medium_desc;Annex a medium-sized §Yuncivilized country§W;Annexer un §Ypays non civilisé§W de taille moyenne;Annektieren Sie ein §Yunzivilisierte Nation§W;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_medium_setup;Annex $RECIPIENT$;Annexer $RECIPIENT$;$RECIPIENT$ annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_medium_short;Annex $RECIPIENT$;Annexer $RECIPIENT$;$RECIPIENT$ annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_small;Colonial Conquest;Conquête Coloniale;Annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_small_desc;Annex a small §Yuncivilized country§W;Annexer un petit §Ypays non civilisé§W;Annektieren Sie ein §Yunzivilisierte Nation§W;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_small_setup;Annex $RECIPIENT$;Annexer $RECIPIENT$;$RECIPIENT$ annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
conquest_unciv_small_short;Annex $RECIPIENT$;Annexer $RECIPIENT$;$RECIPIENT$ annektieren;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
cusco_capital_desc;Finally, we have taken back from the barbarian Westerners our imperial capital of Cusco! Let us establish their once more the capital of the glorious Inca realm.;Nous avons enfin repris notre capitale impériale des mains des barbares occidentaux! Réinstallons y à nouveau la capitale de la glorieuse nation inca.;Endlich haben wir unsere imperiale Hauptstadt Cusco wieder vor den westlichen Barbaren zurückerobert! Lasst uns ein weiteres mal die Hauptstadt des herrlichen Inka-Reiches dort gründen.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
cusco_capital_title;Move Capital to Cusco;Déplacer la capitale à Cusco;Verlegt die Haptstadt nach Cusco;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
DIPLOMACY_COLONIALNATION_STATUS;Civilized Nation;Nation civilisée;Zivilisierte Nation;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_large;Establish Protectorate;Établir un protectorat;Protektorat gründen;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_large_desc;Annex a large §Yuncivilized country§W by forcing them to become a protectorate of ours.;Annexez un grand §Ypays non civilisé§W en l'obligeant à devenir l'un de nos protectorats.;Annektieren Sie ein §Yunzivilisiertes Land§W, indem Sie es zwingen, eines Ihrer Protektorate zu werden.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_large_setup;Annex $RECIPIENT$ by establishing a protectorate over them.;Annexez $RECIPIENT$ en établissant un protectorat.;Annektieren Sie $RECIPIENT$ durch die Gründung eines Protektorats.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_large_short;Annex $RECIPIENT$;Annexer $RECIPIENT$;Annektieren Sie $RECIPIENT$;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_medium;Establish Protectorate;Établir un protectorat;Protektorat gründen;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_medium_desc;Annex an §Yuncivilized country§W of medium size by forcing them to become a protectorate of ours.;Annexez un §Ypays non civilisé§W de taille moyenne en l'obligeant à devenir l'un de nos protectorats.;Annektieren Sie ein §Yunzivilisiertes Land§W, indem Sie es zwingen, eines Ihrer Protektorate zu werden.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_medium_setup;Annex $RECIPIENT$ by establishing a protectorate over them.;Annexez $RECIPIENT$ en établissant un protectorat.;Annektieren Sie $RECIPIENT$ durch die Gründung eines Protektorats.;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_medium_short;Annex $RECIPIENT$;Annexer $RECIPIENT$;Annektieren Sie $RECIPIENT$;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_small;Establish Protectorate;Établir un protectorat;Protektorat gründen;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_small_desc;Annex a small §Yuncivilized country§W by forcing them to become a protectorate of ours.;Annexez un petit §Ypays non civilisé§W en l'obligeant à devenir l'un de nos protectorats.;Annektieren Sie ein §Yunzivilisiertes Land§W, indem Sie es zwingen, eines Ihrer Protektorate zu werden.;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_small_setup;Annex $RECIPIENT$ by establishing a protectorate over them.;Annexez $RECIPIENT$ en établissant un protectorat.;Annektieren Sie $RECIPIENT$ durch die Gründung eines Protektorats.;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
establish_protectorate_small_short;Annex $RECIPIENT$;Annexer $RECIPIENT$;Annektieren Sie $RECIPIENT$;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
