#Event localisation;;;;;;;;;;;;;;
AMA15.D;We have faced many hardships : we vainquished Spain definitely and proved to the world that we stand united and it is now time to settle the conflict with Amazonia. They seized Para during the war, thinking no one would try to take it but they are wrong, we did not forget and foremost, we didn't forgive. We can ask them to give up the area or we could settle for some monetary "reparations";;;;;;;;;;;;;
98415.A;We will settle the matter if they pay us;;;;;;;;;;;;;
98415.B;Send this message : 'Para or War' ;;;;;;;;;;;;;
98415.C;Why bother about some inhospitable jungle ?;;;;;;;;;;;;;
AMA16.T;Colombian envoy;;;;;;;;;;;;;
AMA16.D;The Colombian delegates have approached us about our seizure of Para. They are willing to drop the matter if we pay them "reparations" on a 12year basis. What do we do ? ;;;;;;;;;;;;;
98416.A;Just some money ? Take the chance while they are asking !;;;;;;;;;;;;;
98416.B;And what will they do if we don't ?;;;;;;;;;;;;;
AMA17.T;Amazonian Response;;;;;;;;;;;;;
AMA17.D;The Amazonian have accepted. The first payment is fulfilled.;;;;;;;;;;;;;
98417.A;I think we have made a great deal gentlemen;;;;;;;;;;;;;
AMA18.T;Amazonian Response;;;;;;;;;;;;;
AMA18.D;The Amazonian have refused to pay reparations. There is only one solution : war.  ;;;;;;;;;;;;;
98418.A;They want war ? They'll get war !;;;;;;;;;;;;;
AMA19.T;Second payment;;;;;;;;;;;;;
AMA19.D;It is the time to pay our "reparations" to Gran Colombia;;;;;;;;;;;;;
98419.A;Send the money;;;;;;;;;;;;;
AMA20.T;Reparations for Para;;;;;;;;;;;;;
AMA20.D;The Amazonian government has sent us another payment of the reparations;;;;;;;;;;;;;
98420.A;Always a pleasure ...;;;;;;;;;;;;;
AMA21.T;Third payment;;;;;;;;;;;;;
AMA21.D;We have to pay for the reparations. Just one more time and it will be finished;;;;;;;;;;;;;
98421.A;Send the money;;;;;;;;;;;;;
98422.A;At last;;;;;;;;;;;;;
AMA23.T;Last payment;;;;;;;;;;;;;
AMA23.D;Amazonie has paid all the reparations;;;;;;;;;;;;;
98423.A;It was good while it lasted;;;;;;;;;;;;;
AMA24.T;Colombian Demands;;;;;;;;;;;;;
AMA24.D;The Colombian government has asked us to relinquish our control of Para. Should we choose not to give it up, it will mean war ....;;;;;;;;;;;;;
98424.A;We don't have a lot of choices ...;;;;;;;;;;;;;
98424.B;Let them come !;;;;;;;;;;;;;
AMA25.T;Para regained;;;;;;;;;;;;;
AMA25.D;Amazonie has bowed before our demands !;;;;;;;;;;;;;
98425.A;Glory to Gran Columbia !;;;;;;;;;;;;;
AMA26.T;Chaos in the Federation;;;;;;;;;;;;;
AMA26.D;The loss of Atlantia has created a great distrust between the government and the military, the latter accusing the former of having betrayed them and that victory was near. A circle of officer has decided to end the democratic rabble and plan to take the Parliament by force.;;;;;;;;;;;;;
98426.A;The military take control of the Parliament;;;;;;;;;;;;;
98426.B;The government vanquishes the high-command;;;;;;;;;;;;;
AMA27.T;Talks of secession in Equinoxia ;;;;;;;;;;;;;
AMA27.D;The Equinoxian republic has always been distinct inside the Federation and also one of the most democratic. The end of the democracy in Amazonia has made some Equinoxian think about secession and it seems their movement spread to Vaura ...;;;;;;;;;;;;;
98427.A;We'll have to watch them closely ... ;;;;;;;;;;;;;
AMA28.T;The Cappadocian Revolution !;;;;;;;;;;;;;
AMA28.D;The Equinoxian patriots have risen against the government decided to leave the Federation to create their own democratic state !;;;;;;;;;;;;;
98428.A;We will crush them !;;;;;;;;;;;;;
AMA29.T;Seizure of Port-Liberté;;;;;;;;;;;;;
AMA29.D;With the capture of the military commandment, the war has been declared null and void. The Equinoxian leader has proclaimed the Federation and reestablished the Constitution;;;;;;;;;;;;;
98429.A;We shall reestablish democracy in Amazonia ! ;;;;;;;;;;;;;
AMA30.T;End of the Civil War;;;;;;;;;;;;;
AMA30.D;With the last strongholds taken by our forces, Amazonia is once again one and indivisible !;;;;;;;;;;;;;
98430.A;We are united once again ! ;;;;;;;;;;;;;
AMA31.T;The return of the king ?;;;;;;;;;;;;;
AMA31.D;Many in the military are supporters of a monarchy in Amazonia. Should we start looking for a monarch ?;;;;;;;;;;;;;
98431.A;It is time for the return of the king. ;;;;;;;;;;;;;
98431.B;We are fine as we are thanks ;;;;;;;;;;;;;
AMA32.T;Homeland or New World ?;;;;;;;;;;;;;
AMA32.D;Two possible monarchs were found. The Duke of Brittany and the duke of Leonie. Choosing one will also guide our external policy;;;;;;;;;;;;;
98432.A;The duke of Brittany will become king ;;;;;;;;;;;;;
98432.B;The duke of Leonie will become king;;;;;;;;;;;;;
AMA33.T;The Constitution;;;;;;;;;;;;;
AMA33.D;The new monarch must choose how he will rule (or not).;;;;;;;;;;;;;
98433.A;The military knows best how to rule this country;;;;;;;;;;;;;
98433.B;Some reforms are needed;;;;;;;;;;;;;
98433.C;The king reigns but does not rule;;;;;;;;;;;;;
LOTNANfriendshipsetup5name;Beornian-Lotharian summit;;;;;;;;;;;;;
LOTNANfriendshipsetup5desc;With the inauguration of Edward IV's statue in Fort Lothar, we see an opportunity to bring Beornia and Lotharingia even closer. We could invite King Edward for a summit to cement our friendship for the years to come.;;;;;;;;;;;;;
LOTNANfriendshipsetup5opt1;We can only gain from this.;;;;;;;;;;;;;
LOTNANfriendshipsetup5opt2;This is not really necessary.;;;;;;;;;;;;;
LOTNANfriendshipsetup1name;Lotharingia calls for Summit;;;;;;;;;;;;;
LOTNANfriendshipsetup1desc;Lotharingia has paid tribute to our king Edward IV in their capital, Fort Lothere. Seeing as a fit opportunity, they called for a meeting with our government and our king, and presented us with the possibility of a friendship agreement. We could benefit a lot from their alliance, but we must consider well.;;;;;;;;;;;;;
LOTNANfriendshipsetup1opt1;Beornians and Lotharians have always be friends.;;;;;;;;;;;;;
LOTNANfriendshipsetup1opt2;While they are ouf friends, we have our divides.;;;;;;;;;;;;;
LOTNANfriendshipsetup1opt3;Attend the summit, but keep our distance.;;;;;;;;;;;;;
LOTNANfriendshipsetup2name;Beornian-Lotharian summit a success!;;;;;;;;;;;;;
LOTNANfriendshipsetup2desc;The tribute to King Edward IV has gone smoothly, and the summit was a success. Our friends in the south have accepted our proposal of a friendship agreement. Let the world know we are brothers, and Ameriga tremble before our power.;;;;;;;;;;;;;
775401.A;YES!;;;;;;;;;;;;;
LOTNANfriendshipsetup3name;Beornian-Lotharian summit stalled.;;;;;;;;;;;;;
LOTNANfriendshipsetup3desc;The tribute to King Edward IV was appreciated and the summit was amiable, but in the end there were differences that still kept us apart. And alliance was signed, but nothing further than that.;;;;;;;;;;;;;
775402.A;Well, damn.;;;;;;;;;;;;;
LOTNANfriendshipsetup4name;Our approach has failed!.;;;;;;;;;;;;;
LOTNANfriendshipsetup4desc;The tribute to King Edward IV was appreciated, but the Beornian delegation was uninterested in further commitment towards an alliance.;;;;;;;;;;;;;
775403.A;So much potential wasted.;;;;;;;;;;;;;
LOTNANfriendshipevent1name;Beornian relations are cooling;;;;;;;;;;;;;
LOTNANfriendshipevent1desc;Our relations with Beornia have been cooling for some time. By evoking our Friendship agreement, we can come closer again.;;;;;;;;;;;;;
LOTNANfriendshipevent1opt1;Do it immediately.;;;;;;;;;;;;;
LOTNANfriendshipevent1opt2;Try talking to their ambassador, but there's no need for a fuss over this.;;;;;;;;;;;;;
LOTNANfriendshipevent1opt3;In fact, we rather let them cool down a bit.;;;;;;;;;;;;;
LOTNANfriendshipevent1opt4;This non-sense has gone too far.;;;;;;;;;;;;;
LOTNANfriendshipevent2name;Beornian relations are cooling;;;;;;;;;;;;;
LOTNANfriendshipevent2desc;Our relations with Beornia have been cooling for some time. By evoking our Friendship agreement, we can come closer again.;;;;;;;;;;;;;
LOTNANfriendshipevent2opt1;Do it immediately.;;;;;;;;;;;;;
LOTNANfriendshipevent2opt2;Try talking to their ambassador, but there's no need for a fuss over this.;;;;;;;;;;;;;
LOTNANfriendshipevent2opt3;In fact, we rather let them cool down a bit.;;;;;;;;;;;;;
LOTNANfriendshipevent2opt4;This non-sense has gone too far.;;;;;;;;;;;;;
LOTNANfriendshipevent3name;Our nations are growing apart.;;;;;;;;;;;;;
LOTNANfriendshipevent3desc;For too long, our nations have grown apart from our friendship. Now it is time we accept the divide between us is too big to heal.;;;;;;;;;;;;;
LOTNANfriendshipevent3opt1;Just like my ex-girlfriend.;;;;;;;;;;;;;
LOTNANfriendshipevent4name;Our nations are growing apart.;;;;;;;;;;;;;
LOTNANfriendshipevent4desc;For too long, our nations have grown apart from our friendship. Now it is time we accept the divide between us is too big to heal.;;;;;;;;;;;;;
LOTNANfriendshipevent4opt1;Just like my ex-wife.;;;;;;;;;;;;;
kingstatueevent1name;Edward IV's Statue vandalized!;;;;;;;;;;;;;
kingstatueevent1desc;Rebels in control of Fort Lothere have vandalized the monument to King Edward IV.;;;;;;;;;;;;;
kingstatueevent1opt1;Damn peasa- I mean, citizens.;;;;;;;;;;;;;
kingstatueevent2name;Missing localisation. Please report to Divergences' developer.;;;;;;;;;;;;;
kingstatueevent2desc;Missing localisation. Please report to Divergences' developer.;;;;;;;;;;;;;
kingstatueevent2opt;Missing localisation. Please report to Divergences' developer.;;;;;;;;;;;;;
Ameriga1.T;Occupation of the Southern Andes;;;;;;;;;;;;;
Ameriga1.D;Incan forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.;;;;;;;;;;;;;
97080.A;For the glory of the Inca!;;;;;;;;;;;;;
Ameriga2.T;Conquest of the Desert;;;;;;;;;;;;;
Ameriga2.D;Beornian forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.;;;;;;;;;;;;;
97085.A;For the glory of Beornia!;;;;;;;;;;;;;
EVTNAME97086;Pacification of $PROVINCENAME$;;;;;;;;;;;;;
EVTDESC97086;Through the judicious use of force, confiscation of native lands and the introduction of roads and other vestiges of civilization, conditions in $PROVINCENAME$ have greatly improved. The native patagonians are proving to be contentious, but their numbers are far too few for us to worry about.;;;;;;;;;;;;;
97086.A;Excellent!;;;;;;;;;;;;;
Ameriga3.T;Exploration of the Amazonas;;;;;;;;;;;;;
Ameriga3.D;Our forces have occupied more of the lands in the Amazonas. The pacification of the local natives is ongoing.;;;;;;;;;;;;;
97087.A;Good;;;;;;;;;;;;;
Ameriga4.T;Amazonian Destiny;;;;;;;;;;;;;
Ameriga4.D;The partisans of Amazonian expansionnism are divided into three camps. First are those who only want to annex the border states near la Cote du Café. But some are also wanting to take all lands where Guarani people inhabit and integrate them into our society to balance the power of the Lotharians in the area. And eventually a fringe minority calls for the complete annexation of Lotharingia to form a greater Amerigan Federation. But should we declare such an ambition, the greater powers would surely act against us ....;;;;;;;;;;;;;
97090.A;We will only take the states along our border;;;;;;;;;;;;;
97090.B;We will free the Guaranis;;;;;;;;;;;;;
97090.C;We will create a greater Amerigan Federation;;;;;;;;;;;;;
Ameriga5.T;The Congress of Nouvelle-Amsterdam;;;;;;;;;;;;;
Ameriga5.D;We have assembled the representatives of the newly acquired states of the Federation to discuss their integration into our state. What will they decide ?;;;;;;;;;;;;;
97091.A;What will they decide;;;;;;;;;;;;;
Ameriga6.T;The Congress of Nouvelle-Amsterdam;;;;;;;;;;;;;
Ameriga6.D;We have assembled the representatives of the newly acquired states of the Federation to discuss their integration into our state. What will they decide ?;;;;;;;;;;;;;
97092.A;What will they decide ? ;;;;;;;;;;;;;
Ameriga7.T;The Congress of Fort Lothère;;;;;;;;;;;;;
Ameriga7.D;We have assembled the representatives of the newly acquired states of the Federation to discuss their integration into our state. What will they decide ?;;;;;;;;;;;;;
97093.A;What will they decide ?;;;;;;;;;;;;;
Ameriga8.T;The Question of Government;;;;;;;;;;;;;
Ameriga8.D;With the reconquest of Atlantia, some people are beginning to argue about the benevolent rule of Denis d'Aigle. Our president has now announced that he will be making a speech to answer the question of the nature of our government.;;;;;;;;;;;;;
97094.A;Denis d'Aigle will continue to lead us as he always did !;;;;;;;;;;;;;
97094.B;Denis d'Aigle will call new elections;;;;;;;;;;;;;
97094.C;What Lotharingia needs is a strong monarch. D'Aigle will be crowned Denis Ier;;;;;;;;;;;;;
Ameriga9.T;A note about Para;;;;;;;;;;;;;
Ameriga9.D;The winner of the Columbian war has relinquished all claims on Para ;;;;;;;;;;;;;
97095.A;I knew invading this jungle would not give trouble to the Federation !;;;;;;;;;;;;;
Ameriga10.T;$FROMCOUNTRY_ADJ$ Envoy  ;;;;;;;;;;;;;
Ameriga10.D;We have been proposed to enter a greater Federation with $FROMCOUNTRY$;;;;;;;;;;;;;
97096.A;We will integrate the Federation;;;;;;;;;;;;;
Ameriga11.T;$COUNTRY_ADJ$ claims;;;;;;;;;;;;;
Ameriga11.D;With $COUNTRY_ADJ$ forces occupying the vast pampas of New-Cornwall, our claim is now recognized by the entire World !;;;;;;;;;;;;;
97097.A;It's all ours !;;;;;;;;;;;;;
Ameriga12.T;$COUNTRY_ADJ$ claims;;;;;;;;;;;;;
Ameriga12.D;With $COUNTRY_ADJ$ forces occupying the detroit between the Pacific and Atlantic oceans, our claim is now recognized by the entire World !;;;;;;;;;;;;;
97098.A;It's all ours !;;;;;;;;;;;;;
Ameriga13.T;$COUNTRY_ADJ$ claims;;;;;;;;;;;;;
Ameriga13.D;With $COUNTRY_ADJ$ forces occupying the territories west of the Andes, our claim is now recognized by the World !;;;;;;;;;;;;;
97099.A;It's all ours !;;;;;;;;;;;;;
Ameriga14.T;An Amerigan Proposition;;;;;;;;;;;;;
Ameriga14.D;Representatives from the Amerigan State have arrived to our capital to discuss the integration of Beornia into their state. We have had ties with the Lotharians for centuries and should we refuse it is likely they will invade us anyway.;;;;;;;;;;;;;
775411.A;We will join the Federation ! ;;;;;;;;;;;;;
775411.B;They can go to hell with their Federation !;;;;;;;;;;;;;
Ameriga15.T;Positive Response;;;;;;;;;;;;;
Ameriga15.D;The Beornians have accepted, the whole Amerigan Atlantic Coast is now united !;;;;;;;;;;;;;
775412.A;From the Jungles, to the Pampas, Long Live Ameriga !;;;;;;;;;;;;;
Ameriga16.T;Negative Response;;;;;;;;;;;;;
Ameriga16.D;The Beornians have refused to integrate the Federation;;;;;;;;;;;;;
775413.A;Well we'll let them in their backwater pampas !;;;;;;;;;;;;;
775413.B;They thought that no was an answer ? Across la Rivière d'Argent gentlemen ! ;;;;;;;;;;;;;
Ameriga17.T;The Congress of Camelot;;;;;;;;;;;;;
Ameriga17.D;The Beornian representatives have been assembled there in their old capital. What will be their choice ?;;;;;;;;;;;;;
775414.A;What will they decide ? ;;;;;;;;;;;;;
Ameriga18.T;The Congress of Cartagena;;;;;;;;;;;;;
Ameriga18.D;The Granadan representatives have been assembled there in their old capital. What will be their choice ?;;;;;;;;;;;;;
775415.A;What will they decide ? ;;;;;;;;;;;;;
EVTNAME97090;The Argentina-Chile Border Treaty;;;;;;;;;;;;;
EVTDESC97090;Now that the lands of Araucania and Patagonia are fully settled, the Argentinians have approached us to work out a border treaty. They intend to claim the lands east of the Andes and are willing to concede the lands east of the Andes to us. If we do not come to an agreement, future conflict is almost guaranteed.;;;;;;;;;;;;;
775420.A;Sign the treaty.;;;;;;;;;;;;;
775420.B;There is no need for such an agreement.;;;;;;;;;;;;;
775421.A;Sign the treaty.;;;;;;;;;;;;;
775421.B;There is no need for such an agreement.;;;;;;;;;;;;;
775422.A;Sign the treaty.;;;;;;;;;;;;;
775422.B;There is no need for such an agreement.;;;;;;;;;;;;;
EVTNAME333001;Scramble for Africa;;;;;;;;;;;;;
EVTDESC333001;The Scramble for Africa, also known as the Race for Africa was a process of invasion, attack, occupation, and annexation of African territory by Great Powers of the civilzed world during the New Imperialism period during the end of the 19th century and the first half of the 20th century. As a result of the heightened tension between European states in the last quarter of the 19th century, the partitioning of Africa may be seen as a way for the Europeans to eliminate the threat of a Europe-wide war over Africa. Popular European ideas in the 19th century also aided the partitioning of Africa. The eugenics movement and Imperialism helped to foster the expansionist policy.;;;;;;;;;;;;;
EVTOPTA333001;In the name of progress;;;;;;;;;;;;;
EVTNAME333000;Our Western Overlords;;;;;;;;;;;;;
EVTDESC333000;During the New Imperialism period, by the end of the century, Europe added almost 9,000,000 square miles (23,000,000 square kilometres) – one-fifth of the land area of the globe – to its overseas colonial possessions. Our master decided that our territory should be added to this area as well.;;;;;;;;;;;;;
EVTOPTA333000;Who am I to refuse?;;;;;;;;;;;;;
EVTNAME333004;Treaty of Waitangi;;;;;;;;;;;;;
EVTDESC333004;The Europeans who settled Waka o Aoraki sent an envoy to our chiefs. They claim that they want to bring peace and prosperity to our lands. But we have seen only death and treachery from their hands, they brought us evil weapons and made us skirmish against each other. Do you think that their intentions are pure now?;;;;;;;;;;;;;
EVTOPTA333004;They came with an olive branch;;;;;;;;;;;;;
EVTOPTB333004;We are no fools!;;;;;;;;;;;;;
EVTNAME333009;Run to the Hills;;;;;;;;;;;;;
EVTDESC333009;White man came across the sea, he brought us pain and misery, he killed our tribes, he killed our creed, he took our game for his own need. We fought him hard, we fought him well, out on the plains we gave him hell. But many came, too much for Cree. Oh, will we ever be set free?;;;;;;;;;;;;;
EVTOPTA333009;Run for your lives;;;;;;;;;;;;;
EVTOPTB333009;We fight;;;;;;;;;;;;;
EVTNAME333010;Zanzibar Cores;;;;;;;;;;;;;
EVTDESC333010;By extending our southeast African holdings, the are of the Zanzibar claims increased as well.;;;;;;;;;;;;;
EVTOPTA333010;OK;;;;;;;;;;;;;
EVTNAME333012;Grand Bassam;;;;;;;;;;;;;
EVTDESC333012;The Burgundian enclave in the Sahel area, formerly known as Grand Bassam, is now strategically worthless. Maybe we can ask for it as a favor?;;;;;;;;;;;;;
EVTOPTA333012;Let's do it;;;;;;;;;;;;;
EVTNAME333013;Grand Bassam;;;;;;;;;;;;;
EVTDESC333013;Our former trading post at Grand Bassam is in a very bad shape. Perhaps we could handle it to another country and gain international prestige as a reward?;;;;;;;;;;;;;
EVTOPTA333013;Yes;;;;;;;;;;;;;
EVTOPTB333013;I want to keep that place!;;;;;;;;;;;;;
EVTNAME333014;South Angola;;;;;;;;;;;;;
EVTDESC333014;The Scandinavian enclave in the Southwest African area, formerly known as Grand Bassam, is now strategically worthless. Maybe we can ask for it as a favor?;;;;;;;;;;;;;
EVTOPTA333014;Let's do it;;;;;;;;;;;;;
EVTNAME333015;South Angola;;;;;;;;;;;;;
EVTDESC333015;Our former trading posts in South Angola are in a very bad shape. Perhaps we could handle them to another country and gain international prestige as a reward?;;;;;;;;;;;;;
EVTOPTA333015;Yes;;;;;;;;;;;;;
EVTOPTB333015;I want to keep that place!;;;;;;;;;;;;;
EVTNAME333016;The Demands from Copenhagen;;;;;;;;;;;;;
EVTDESC333016;My Duke! The King of the North demands our unconditional annexation into the realm of Scandinavia!;;;;;;;;;;;;;
EVTOPTA333016;Who am I to refuse?;;;;;;;;;;;;;
EVTOPTB333016;This means nothing but war!;;;;;;;;;;;;;
333016.C;Go into exile in Neu Kurland;;;;;;;;;;;;;
EVTNAME333019;The Malacca Treaties;;;;;;;;;;;;;
EVTDESC333019;With the growing power of Malacca our Malaysian colonies have become almost worthless. If we cede our colonies to Malacca it would simultaneously relieve us of the headache of running them and greatly improve our relationship with Malacca.;;;;;;;;;;;;;
EVTOPTA333019;You are right;;;;;;;;;;;;;
EVTOPTB333019;It is our gate to Indonesia!;;;;;;;;;;;;;
EVTOPTC333019;This is outrageous!;;;;;;;;;;;;;
EVTNAME333020;The Malacca Treaties;;;;;;;;;;;;;
EVTDESC333020;With the growing power of Malacca our Malaysian colonies have become almost worthless. If we cede our colonies to Malacca it would simultaneously relieve us of the headache of running them and greatly improve our relationship with Malacca.;;;;;;;;;;;;;
EVTOPTA333020;You are right;;;;;;;;;;;;;
EVTOPTB333020;It is our gate to Indonesia!;;;;;;;;;;;;;
EVTOPTC333020;This is outrageous!;;;;;;;;;;;;;
EVTNAME333021;The Goa Treaty;;;;;;;;;;;;;
EVTDESC333021;With the growing power of Indian natives our local colonies have become almost worthless. If we cede our colonies to them it would simultaneously relieve us of the headache of running them and greatly improve our relationship with them.;;;;;;;;;;;;;
EVTOPTA333021;You are right;;;;;;;;;;;;;
EVTOPTB333021;It is our gate to India!;;;;;;;;;;;;;
EVTOPTC333021;This is outrageous!;;;;;;;;;;;;;
EVTNAME333022;The Masulipatnam Treaty;;;;;;;;;;;;;
EVTDESC333022;With the growing power of Indian natives our local colonies have become almost worthless. If we cede our colonies to them it would simultaneously relieve us of the headache of running them and greatly improve our relationship with them.;;;;;;;;;;;;;
EVTOPTA333022;You are right;;;;;;;;;;;;;
EVTOPTB333022;It is our gate to India!;;;;;;;;;;;;;
EVTOPTC333022;This is outrageous!;;;;;;;;;;;;;
Terra d'Oro.1.T;Terra d'Oro purchase;;;;;;;;;;;;;
Terra d'Oro.1.D;We have acquired several lands in Mauritania but the small colony of Terra d'Oro is not our hands. We could offer to buy it for a small price ?;;;;;;;;;;;;;
Terra d'Oro.2.T;$FROMCOUNTRY_ADJ$ offer;;;;;;;;;;;;;
Terra d'Oro.3.T;Purchase Succesfuk;;;;;;;;;;;;;
333033.A;Excellent;;;;;;;;;;;;;
Pegu1.T;The Spanish Demand the Coast;;;;;;;;;;;;;
Pegu1.D;Today the Spanish government has formally demanded our coastline. Shall we accept their demands or fight them?;;;;;;;;;;;;;
333040.A;We will give them the coastline ...;;;;;;;;;;;;;
333040.B;Over our dead bodies !;;;;;;;;;;;;;
22239.T;Unrest in the northern mountains!;;;;;;;;;;;;;
22239.D;The various arab tribes are asking our help to overthrow the european oppressors!;;;;;;;;;;;;;
22239.A;We will fight against the oppressors!;;;;;;;;;;;;;
22239.B;We will not risk our precarious independence;;;;;;;;;;;;;
22241.T;The Arab tribes invaded our colony!;;;;;;;;;;;;;
22241.D;The arabs rebelled against our control and now are pushing us out of Maghreb!;;;;;;;;;;;;;
22241.A;We will fight against the heathens!;;;;;;;;;;;;;
22241.B;We can´t fight them now;;;;;;;;;;;;;
22242.T;We lost control of Province;;;;;;;;;;;;;
22242.D;The infidels are pushing us back!;;;;;;;;;;;;;
22242.A;Damn;;;;;;;;;;;;;
22243.T;We lost control of Province;;;;;;;;;;;;;
22243.D;The infidels are pushing us back!;;;;;;;;;;;;;
22243.A;Damn;;;;;;;;;;;;;
22244.T;We gained new land!;;;;;;;;;;;;;
22244.D;The arabs are retreating!;;;;;;;;;;;;;
22244.A;Lol easy!;;;;;;;;;;;;;
22245.T;We gained new land!;;;;;;;;;;;;;
22245.D;The arabs are retreating!;;;;;;;;;;;;;
22245.A;Lol easy!;;;;;;;;;;;;;
22246.T;Division of Maghreb;;;;;;;;;;;;;
22246.D;We should divide the new territories beetwen us!;;;;;;;;;;;;;
22246.A;Ok;;;;;;;;;;;;;
22246.B;Why?;;;;;;;;;;;;;
22247.T;The end of Maghreb Kaliffates!;;;;;;;;;;;;;
22247.D;The arabs in Maghreb are now defeated and now we can officially proclaim that the end of the Reconquista!;;;;;;;;;;;;;
22247.A;What? Constantinople is still turk, pls fix!;;;;;;;;;;;;;
22248.T;Region integrated in Mauretania!;;;;;;;;;;;;;
22248.D;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Yakutian colony;;;;;;;;;;;;;
22248.A;An excellent development!;;;;;;;;;;;;;
22249.T;Region integrated in Numidia!;;;;;;;;;;;;;
22249.D;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Numidian colony;;;;;;;;;;;;;
22249.A;An excellent development!;;;;;;;;;;;;;
22251.T;Region integrated in Libya!;;;;;;;;;;;;;
22251.D;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Libyan colony.;;;;;;;;;;;;;
22251.A;An excellent development!;;;;;;;;;;;;;
22260.T;The Mauretanian Dominion;;;;;;;;;;;;;
