#terrain types;;;;;;;;;;;;;;
#states;;;;;;;;;;;;;;
AMA_1;Cappadoce;Cappadoce;Cappadoce;;;;;;;;;;;
AMA_2;France Antartique;France Antartique;France Antartique;;;;;;;;;;;
AMA_3;Monts-Diamants;Monts-Diamants;Monts-Diamants;;;;;;;;;;;
AMA_4;Côte du Sucre;Côte du Sucre;Côte du Sucre;;;;;;;;;;;
AMA_5;Gouas;Gouas;Gouas;;;;;;;;;;;
LOT_1;Côte du Café;Côte du Café;Côte du Café;;;;;;;;;;;
LOT_2;Nouvelle Alsace;Nouvelle Alsace;Nouvelle Alsace;;;;;;;;;;;
LOT_3;Marches Ouest;Marches Ouest;Marches Ouest;;;;;;;;;;;
LOT_4;Lorraine Atlantique;Lorraine Atlantique;Lorraine Atlantique;;;;;;;;;;;
LOT_5;Bourgogne-du-Sud;Lorraine-du-Sud;Lorraine-du-Sud;;;;;;;;;;;
LOT_6;Transfleuve;Transfleuve;Transfleuve;;;;;;;;;;;
NAN_1;Northumbia;Northumbia;Northumbia;;;;;;;;;;;
NAN_2;Wessex;Wessex;Wessex;;;;;;;;;;;
NAN_3;Avalon;Avalon;Avalon;;;;;;;;;;;
NAN_4;Godwinson;Godwinson;Godwinson;;;;;;;;;;;
NAN_5;New Cornwall;New Cornwall;New Cornwall;;;;;;;;;;;
SA_1;Amazonie Profonde;Amazonie Profonde;Amazonie Profonde;;;;;;;;;;;
SA_2;Proche Amazonie;Proche Amazonie;Proche Amazonie;;;;;;;;;;;
SA_3;Amazonie Inférieure;Amazonie Inférieure;Amazonie Inférieure;;;;;;;;;;;
SA_4;Chaco Boreal;Chaco Boreal;Chaco Boreal;;;;;;;;;;;
SA_5;Grand Chaco;Grand Chaco;Grand Chaco;;;;;;;;;;;
SA_6;Collasuyu;Collasuyu;Collasuyu;;;;;;;;;;;
SA_7;Rapa Nui;Rapa Nui;Rapa Nui;;;;;;;;;;;
SA_8;Tapt Ø;Tapt Ø;Tapt Ø;;;;;;;;;;;
SA_9;Land's End;;;;;;;;;;;;;
NBG_1;Nouvelle Flandre;Nouvelle Flandre;Nouvelle Flandre;;;;;;;;;;;
NBG_2;Philippa;Philippa;Philippa;;;;;;;;;;;
NBG_3;Flandre Supérieure;Flandre Supérieure;Flandre Supérieure;;;;;;;;;;;
NBG_4;Haute Valoisie;Haute Valoisie;Haute Valoisie;;;;;;;;;;;
NBG_5;Basse Valoisie;Basse Valoisie;Basse Valoisie;;;;;;;;;;;
NBG_6;Nouvelle Lorraine;Nouvelle Lorraine;Nouvelle Lorraine;;;;;;;;;;;
NBG_7;Carolina;Carolina;Carolina;;;;;;;;;;;
PLA_1;Nouveau Leinstre;Nouveau Leinstre;Nouveau Leinstre;;;;;;;;;;;
PLA_2;Léonie;Léonie;Léonie;;;;;;;;;;;
PLA_3;Charlésie;Charlésie;Charlésie;;;;;;;;;;;
PLA_4;Pays Chérokîs;Pays Chérokîs;Pays Chérokîs;;;;;;;;;;;
PLA_5;Tuskgi;Tuskgi;Tuskgi;;;;;;;;;;;
PLA_6;Alibamon;Alibamon;Alibamon;;;;;;;;;;;
PLA_7;Nouvelle France;Nouvelle France;Nouvelle France;;;;;;;;;;;
PLA_8;Messippi;Messippi;Messippi;;;;;;;;;;;
PLA_9;Pays des Illinois;Pays des Illinois;Pays des Illinois;;;;;;;;;;;
VIN_1;Trävälde;Trävälde;Trävälde;;;;;;;;;;;
VIN_2;Østerland;Østerland;Østerland;;;;;;;;;;;
VIN_3;Vinland;Vinland;Vinland;;;;;;;;;;;
VIN_4;Storsjøarna;Storsjøarna;Storsjøarna;;;;;;;;;;;
VIN_5;Kroneland;Kroneland;Kroneland;;;;;;;;;;;
VIN_6;Markland;Markland;Markland;;;;;;;;;;;
VIN_7;Nye Trøndelag;Nye Trøndelag;Nye Trøndelag;;;;;;;;;;;
VIN_8;Skrælingmark;Skrælingmark;Skrælingmark;;;;;;;;;;;
VIN_9;Kristiania;Kristiania;Kristiania;;;;;;;;;;;
VIN_10;Helluland;Helluland;Helluland;;;;;;;;;;;
GAN_6;Yolngu;Yolngu;Yolngu;;;;;;;;;;;
GAN_7;Noongar;Noongar;Noongar;;;;;;;;;;;
GAN_8;Coomalong;Coomalong;Coomalong;;;;;;;;;;;
GAN_10;Oodnatta;Oodnatta;Oodnatta;;;;;;;;;;;
GAN_11;Pitjantjatjara;Pitjantjatjara;Pitjantjatjara;;;;;;;;;;;
DNG_1;Qingqiu;Qingqiu;Qingqiu;;;;;;;;;;;
DNG_2;Dayan;Dayan;Dayan;;;;;;;;;;;
DNG_3;Dongji;Dongji;Dongji;;;;;;;;;;;
DNG_4;Xiazhou;Xiazhou;Xiazhou;;;;;;;;;;;
DNG_5;Julinyutian;Julinyutian;Julinyutian;;;;;;;;;;;
DNG_88;Shangu Siwang;Shangu Siwang;Shangu Siwang;;;;;;;;;;;
NA_1;Messipi Supérieur;Messipi Supérieur;Messipi Supérieur;;;;;;;;;;;
NA_2;Terres-Rouges;Terres-Rouges;Terres-Rouges;;;;;;;;;;;
NA_3;Nouveau Lancastre;Nouveau Lancastre;Nouveau Lancastre;;;;;;;;;;;
NA_4;Terres-Cau;Terres-Cau;Terres-Cau;;;;;;;;;;;
NA_7;Terres-Maha;Terres-Maha;Terres-Maha;;;;;;;;;;;
NA_8;Tjørnin;Tjørnin;Tjørnin;;;;;;;;;;;
NA_9;Torsmark;Torsmark;Torsmark;;;;;;;;;;;
NA_10;Kita Kaigan;Kita kaigan;Kita kaigan;;;;;;;;;;;
NA_11;Guretonosu;Guretonosu;Guretonosu;;;;;;;;;;;
NA_12;Odensmark;Odensmark;Odensmark;;;;;;;;;;;
NA_16;Athesia;Athesia;Athesia;;;;;;;;;;;
NA_30;Røhnnst;Røhnnst;Røhnnst;;;;;;;;;;;
TEX_132;Lusitania;Lusitania;Lusitania;;;;;;;;;;;
TEX_134;Bahia;Bahia;Bahia;;;;;;;;;;;
UCA_2186;Guatemala;Guatemala;Guatemala;;;;;;;;;;;
UCA_2191;San Salvador;San Salvador;San Salvador;;;;;;;;;;;
UCA_2197;Managua;Managua;Managua;;;;;;;;;;;
UCA_2201;Costa Rica;Costa Rica;Costa Rica;;;;;;;;;;;
CLM_1723;Andagoya;Andagoya;Andagoya;;;;;;;;;;;
ECU_2279;Ecuador;Equateur;Ecuador;;;;;;;;;;;
SWE_329;Götaland;Götaland;Götaland;;;;;;;;;;;
SWE_318;Norrland;Norrland;Norrland;;;;;;;;;;;
SCA_345;Western Finland;;;;;;;;;;;;;
SWE_322;Svealand;Svealand;Svealand;;;;;;;;;;;
SIC_763;Sicily;Sicile;Sizilien;;;;;;;;;;;
GRE_826;Peloponnese;Péloponnèse;Peloponnes;;;;;;;;;;;
TUR_853;Albania;Albanie;Albanien;;;;;;;;;;;
TUR_788;Bosnia;Bosnie;Bosnien;;;;;;;;;;;
AUS_657;Eastern Siebenbürgen;Transylvanie orientale;Ostsiebenbürgen;;;;;;;;;;;
HAW_658;Hawaiian Islands;Îles d'Hawaï;Hawaii-Inseln;;;;;;;;;;;
AUS_654;Western Siebenbürgen;Transylvanie occidentale;Westsiebenbürgen;;;;;;;;;;;
MOL_673;Moldavia;Moldavie;Moldau;;;;;;;;;;;
WAL_665;Wallachia;Valachie;Walachei;;;;;;;;;;;
SPA_474;Galicia;Galice;Galizien;;;;;;;;;;;
SPA_477;León-Castilla;León-Castilla;León-Castilla;;;;;;;;;;;
SPA_492;Vasconia-Aragón;Vasconia-Aragón;Vasconia-Aragón;;;;;;;;;;;
ESK_1;Euskadia;Euskadi;Euskadi;;;;;;;;;;;
SPA_498;Catalonia;Catalogne;Katalonien;;;;;;;;;;;
ENG_2509;Motu Pari;Motu Pari;Motu Pari;;;;;;;;;;;
ENG_2513;Motu Timu;Motu Timu;Motu Timu;;;;;;;;;;;
SPA_2517;Micronesia;Micronésie;Mikronesien;;;;;;;;;;;
ENG_1321;Selon;Selon;Selon;;;;;;;;;;;
OMA_1166;Oman;Oman;Oman;;;;;;;;;;;
ABU_1162;Abu Dhabi;Abu Dhabi;Abu Dhabi;;;;;;;;;;;
YEM_1173;Yemen;Yémen;Yemen;;;;;;;;;;;
HDJ_1151;Hedjaz;Hedjaz;Hedjaz;;;;;;;;;;;
TUN_1726;Tunisia;Tunisie;Tunesien;;;;;;;;;;;
FRA_1879;Guinea;Guinée;Guinea;;;;;;;;;;;
FRA_1880;Timba;Timba;Timba;;;;;;;;;;;
FRA_1907;Ghana;Ghana;Ghana;;;;;;;;;;;
FRA_1914;Togo;Togo;Togo;;;;;;;;;;;
FRA_1919;Dahomey;Dahomey;Dahomey;;;;;;;;;;;
FRA_1972;Ntumu;Ntumu;Ntumu;;;;;;;;;;;
ENG_2074;Botswana;Botswana;Botswana;;;;;;;;;;;
ENG_2014;Zambia;Zambie;Zambia;;;;;;;;;;;
SIA_1366;Khmer;Khmer;Khmer;;;;;;;;;;;
SAR_466;Savoie;Savoie;Savoie;;;;;;;;;;;
ENG_1887;Kpelle;Kpelle;Kpelle;;;;;;;;;;;
MOD_739;Emilia;Émilie;Emilia;;;;;;;;;;;
TUS_744;Toscana;Toscane;Toskana;;;;;;;;;;;
PAP_741;Romagna;Romagne;Romagna;;;;;;;;;;;
PAP_752;Lazio;Lazio;Lazio;;;;;;;;;;;
MEX_103;Terras Vermelhas;Terras Vermelhas;Terras Vermelhas;;;;;;;;;;;
MEX_2138;Santa Catarina;Santa Catarina;Santa Catarina;;;;;;;;;;;
MEX_90;California;California;California;;;;;;;;;;;
MEX_2142;Tejas;Tejas;Tejas;;;;;;;;;;;
MEX_2146;Nuevo León;Nuevo León;Nuevo León;;;;;;;;;;;
MEX_2151;Durango;Durango;Durango;;;;;;;;;;;
MEX_2183;Yucatán;Yucatán;Yucatán;;;;;;;;;;;
MEX_2161;Jalisco;Jalisco;Jalisco;;;;;;;;;;;
MEX_2173;Zacatecas;Zacatecas;Zacatecas;;;;;;;;;;;
ENG_1979;Guayana;Guayana;Guayana;;;;;;;;;;;
VNZ_2234;Zulia;Zulia;Zulia;;;;;;;;;;;
VNZ_2265;Miranda;Miranda;Miranda;;;;;;;;;;;
VNZ_2278;Bolívar;Bolívar;Bolívar;;;;;;;;;;;
CLM_2251;Antioquía;Antioquía;Antioquía;;;;;;;;;;;
CLM_2262;Guaviare;Guaviare;Guaviare;;;;;;;;;;;
CLM_2247;Cundinamarca;Cundinamarca;Cundinamarca;;;;;;;;;;;
PEU_2289;Pastaza;Pastaza;Pastaza;;;;;;;;;;;
PEU_2291;Cajamarca;Cajamarca;Cajamarca;;;;;;;;;;;
PEU_2300;Lima;Lima;Lima;;;;;;;;;;;
PEU_2297;Cuzco;Cuzco;Cuzco;;;;;;;;;;;
BRZ_2408;Pará;Pará;Pará;;;;;;;;;;;
ARG_2387;Catamarca;Catamarca;Catamarca;;;;;;;;;;;
ARG_2368;Tilcara;Tilcara;Tilcara;;;;;;;;;;;
CHL_2322;Antisuyu;Antisuyu;Antisuyu;;;;;;;;;;;
ENG_2132;Atlantic Islands;Atlantic Islands;Atlantic Islands;;;;;;;;;;;
MOR_1696;West Morocco;Maroc Occidental;West-Marokko;;;;;;;;;;;
MOR_1694;Agadir;Agadir;Agadir;;;;;;;;;;;
ALD_1704;Oran;Oran;Oran;;;;;;;;;;;
ALD_1714;West Central Sahara;Sahara central Ouest;Westlich-zentrale Sahara;;;;;;;;;;;
ALD_1718;East Central Sahara;Sahara central Est;Östlich-zentrale Sahara;;;;;;;;;;;
FRA_1700;Constantine;Constantine;Constantine;;;;;;;;;;;
ALD_1708;Tuggurt;Tuggurt;Tuggurt;;;;;;;;;;;
TRI_1743;Tripolitania;Tripolitania;Tripolitania;;;;;;;;;;;
TRI_1741;Murzuk;Murzuk;Murzuk;;;;;;;;;;;
TRI_1739;Al Kufrah;Al Kufrah;Al Kufrah;;;;;;;;;;;
EGY_1754;Cyrenaica;Cyrenaica;Cyrenaica;;;;;;;;;;;
EGY_1750;Lower Egypt;Lower Egypt;Lower Egypt;;;;;;;;;;;
EGY_1746;Sinai;Sinai;Sinai;;;;;;;;;;;
EGY_1838;Kordofan;Kordofan;Kordofan;;;;;;;;;;;
EGY_1842;Darfur;Darfour;Darfur;;;;;;;;;;;
POR_1999;North Angola;Nord de l’Angola;Nord-Angola;;;;;;;;;;;
POR_2003;South Angola;Sud de l’Angola;Süd-Angola;;;;;;;;;;;
POR_2006;East Angola;Est de l’Angola;Ost-Angola;;;;;;;;;;;
POR_2049;Nieuw Vlaanderen;Nieuw Vlaanderen;Nieuw Vlaanderen;;;;;;;;;;;
POR_2060;Makua;Makua;Makua;;;;;;;;;;;
ENG_2096;Oost Kaap;Oost Kaap;Oost Kaap;;;;;;;;;;;
ENG_2087;Province du Cap;Province du Cap;Province du Cap;;;;;;;;;;;
ENG_2092;Trans-Oranje;Trans-Oranje;Trans-Oranje;;;;;;;;;;;
ENG_2097;Ylnerdam;Ylnerdam;Ylnerdam;;;;;;;;;;;
ENG_296;South West England;Angleterre du Sud-Ouest;Südwestengland;;;;;;;;;;;
ENG_277;North West England;Angleterre du Nord-Ouest;Nordwestengland;;;;;;;;;;;
ENG_273;Wales;Pays de Galles;Wales;;;;;;;;;;;
ENG_280;North East England;Angleterre du Nord-Est;Nordostengland;;;;;;;;;;;
ENG_266;Highlands;Highlands;Highlands;;;;;;;;;;;
ENG_284;Midlands;Midlands;Midlands;;;;;;;;;;;
ENG_291;Eastern Counties;Pays de l'Est;Eastern Counties;;;;;;;;;;;
ENG_300;South East England;Angleterre du Sud-Est;Südostengland;;;;;;;;;;;
ENG_271;Lowlands;Lowlands;Lowlands;;;;;;;;;;;
ENG_254;Ulster;Ulster;Ulster;;;;;;;;;;;
ENG_260;Munster;Münster;Munster;;;;;;;;;;;
ENG_263;Leinster-Connacht;Leinster-Connacht;Leinster-Connacht;;;;;;;;;;;
FRA_461;Languedoc;Languedoc;Languedoc;;;;;;;;;;;
FRA_451;Rhone;Rhône;Rhone;;;;;;;;;;;
FRA_435;Loire;Loire;Loire;;;;;;;;;;;
FRA_399;Pas de Calais;Pas de Calais;Pas de Calais;;;;;;;;;;;
FRA_467;Provence;Provence;Provence;;;;;;;;;;;
FRA_412;Alsace;;;;;;;;;;;;;
FRA_418;Normandie;Normandie;Normandie;;;;;;;;;;;
FRA_442;Poitou;Poitou;Poitou;;;;;;;;;;;
FRA_455;Le Midi;Midi;Le Midi;;;;;;;;;;;
FRA_445;Limousin;Limousin;Limousin;;;;;;;;;;;
FRA_420;Bretagne;Bretagne;Bretagne;;;;;;;;;;;
FRA_428;Bourgogne;Bourgogne;Bourgogne;;;;;;;;;;;
FRA_404;Champagne;Champagne;Champagne;;;;;;;;;;;
FRA_411;Lorraine;;;;;;;;;;;;;
FRA_448;Auvergne;Auvergne;Auvergne;;;;;;;;;;;
FRA_458;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;
FRA_438;Region Centre;Région Centre;Region Centre;;;;;;;;;;;
FRA_425;Ile de France;Ile-de-France;Ile de France;;;;;;;;;;;
HAM_528;Hanover;Hanover;Hanover;;;;;;;;;;;
POR_518;Douro;Douro;Douro;;;;;;;;;;;
POR_521;Estremadura;Estrémadure;Estremadura;;;;;;;;;;;
POR_525;Alentejo;Alentejo;Alentejo;;;;;;;;;;;
POR_2134;Macaronesia;Macaronésie;Macaronesien;;;;;;;;;;;
SPA_513;Granada;Grenade;Granada;;;;;;;;;;;
SPA_512;Andalucía;Andalousie;Andalusien;;;;;;;;;;;
SPA_484;Extremadura;Estrémadure;Extremadura;;;;;;;;;;;
SPA_503;Valencia;Valence;Valencia;;;;;;;;;;;
SPA_487;Castilla la Nueva;Nouvelle-Castille;Castilla la Nueva;;;;;;;;;;;
BEL_394;Wallonie;Wallonie;Wallonien;;;;;;;;;;;
BEL_395;Luxembourg;Luxembourg;Luxembourg;;;;;;;;;;;
BEL_387;Flandres;Flandres;Flandres;;;;;;;;;;;
NET_375;Holland;Hollande;Holland;;;;;;;;;;;
NET_385;Friesland;Frise;Friesland;;;;;;;;;;;
NET_381;Gelderland;Gelderland;Gelderland;;;;;;;;;;;
DEN_367;Jylland;Jutland;Jylland;;;;;;;;;;;
DEN_372;Sjaelland;Sjaelland;Sjaelland;;;;;;;;;;;
DEN_334;Skane;Skane;Skane;;;;;;;;;;;
SWE_309;Vestlandet;Vestlandet;Vestlandet;;;;;;;;;;;
SWE_313;Ostlandet;Ostlandet;Ostlandet;;;;;;;;;;;
SWI_603;East Switzerland;Suisses de l'Est;Ostschweiz;;;;;;;;;;;
SWI_605;West Switzerland;Suisse de l'Ouest;Westschweiz;;;;;;;;;;;
ENG_2228;Lesser Antilles;Petites Antilles;Kleine Antillen;;;;;;;;;;;
ENG_2224;West Indies;Antilles;Westindien;;;;;;;;;;;
MUG_3;Malwa;;;;;;;;;;;;;
ENG_1251;South Bengal;Bengal du Sud;Südbengalen;;;;;;;;;;;
ENG_1252;North Bengal;Bengal du Nord;Nordbengalen;;;;;;;;;;;
ENG_1258;Assam;Assam;Assam;;;;;;;;;;;
MUG_1;Awadh;;;;;;;;;;;;;
MUG_2;Allahabad;;;;;;;;;;;;;
NET_1426;Lanfang;Lanfang;Lanfang;;;;;;;;;;;
BAL_1446;Timor;Timor;Timor;;;;;;;;;;;
SPA_1463;Mindanao;Mindanao;Mindanao;;;;;;;;;;;
SPA_1455;Lusong;Lusong;Lusong;;;;;;;;;;;
SPA_1459;Visayas;Visayas;Visayas;;;;;;;;;;;
GRE_837;Attica;Attica;Attica;;;;;;;;;;;
TUR_806;North Macedonia;Macédoine du Nord;Nordmazedonien;;;;;;;;;;;
TUR_819;West Macedonia;Macédoine de l'Ouest;Westmazedonien;;;;;;;;;;;
TUR_832;Thessalía;Thessalía;Thessalía;;;;;;;;;;;
TUR_805;East Macedonia;Macédoine de l'Est;Ostmazedonien;;;;;;;;;;;
TUR_809;Rumelia;Roumélie;Rumelien;;;;;;;;;;;
TUR_810;Bulgaria;Bulgarie;Bulgarien;;;;;;;;;;;
TUR_674;Dobrudja;Dobrudja;Dobrudja;;;;;;;;;;;
ENG_1868;Somaliland;Somalie;Somaliland;;;;;;;;;;;
ETH_1874;Adal;Adal;Adal;;;;;;;;;;;
ENG_2083;Namaqualand;Namaqualand;Namaqualand;;;;;;;;;;;
GRQ_2081;Noordland;Noordland;Noordland;;;;;;;;;;;
ENG_2024;Kirinyasu;Kirinyasu;Kirinyasu;;;;;;;;;;;
ENG_2026;Kisumu;Kisumu;Kisumu;;;;;;;;;;;
ENG_1825;Abeche;Abeche;Abeche;;;;;;;;;;;
ENG_1818;Maroua;Maroua;Maroua;;;;;;;;;;;
ENG_2039;Kilwa;Kilwa;Kilwa;;;;;;;;;;;
BCH_1;Tabora;Tabora;Tabora;;;;;;;;;;;
ENG_2029;Zanzibar;Zanzibar;Zanzibar;;;;;;;;;;;
FRA_1775;Mauritanian Coast;Côte de la Mauritanie;Mauretanische Küste;;;;;;;;;;;
FRA_1780;Inner Mauritania;Mauritanie intérieure;Inneres Mauritanien;;;;;;;;;;;
FRA_1803;Mali;Mali;Mali;;;;;;;;;;;
FRA_1930;Kogi;Kogi;Kogi;;;;;;;;;;;
FRA_1923;Ife;Ife;Ife;;;;;;;;;;;
FRA_1813;Niger;Niger;Niger;;;;;;;;;;;
BEL_1987;Katanga;Katanga;Katanga;;;;;;;;;;;
BEL_1990;Congo Orientale;Congo Oriental;Congo Orientale;;;;;;;;;;;
BEL_1984;Kasai;Kasai;Kasai;;;;;;;;;;;
BEL_1977;Bas-Congo;Bas-Congo;Bas-Congo;;;;;;;;;;;
BEL_1992;Equateur;Equateur;Equateur;;;;;;;;;;;
ENG_2019;Uganda;Ouganda;Uganda;;;;;;;;;;;
ENG_1960;North Adamawa;North Adamawa;North Adamawa;;;;;;;;;;;
ENG_1956;South Adamawa;South Adamawa;South Adamawa;;;;;;;;;;;
FRA_1978;Congo;Congo;Kongo;;;;;;;;;;;
FRA_1892;Gyaaman;Gyaaman;Gyaaman;;;;;;;;;;;
FRA_1783;Senegal;Sénégal;Senegal;;;;;;;;;;;
VEN_1784;Terra d'Oro;Terra d'Oro;Terra d'Oro;;;;;;;;;;;
FRA_1788;Gambia;Gambie;Gambia;;;;;;;;;;;
FRA_1884;Sierra Leone;Sierra Leone;Sierra Leone;;;;;;;;;;;
ORA_2103;Vrystaat;Vrystaat;Vrystaat;;;;;;;;;;;
TRN_2108;Transvaal;Transvaal;Transvaal;;;;;;;;;;;
AST_2543;Samoa;Samoa;Samoa;;;;;;;;;;;
AST_2527;Kiribati;Kiribati;Kiribati;;;;;;;;;;;
AST_2454;Fiji;Fidji;Fidschi;;;;;;;;;;;
AST_2244;Islas Cocos y de Navidad;Islas Cocos y de Navidad;Islas Cocos y de Navidad;;;;;;;;;;;
