;;;;;;;;;;;;;x,,,,,
EVTDESC96165;The Italians have managed to unify at long last, threatening $COUNTRY_ADJ$ interests in the region. We will have to decide whether it is in our best interests to object or to make friends with the new rulers. What has been done cannot now be undone, after all, and a united Italy could be a formidable enemy or a powerful $COUNTRY_ADJ$ ally.;;;;;;;;;;;;x,,
EVTNAME96170;Il Risorgimento;;;;;;;;;;;;x,,,,,
EVTDESC96170;$COUNTRY$ has become the center of Italian nationalism, its people calling out for unification. Italian flags are flying in the streets of $CAPITAL$, and we must decide if we wish to support this call and bring all of Italy peacefully under our banner. If we refuse, our people will be upset... and it's unlikely the opportunity will arise again.;;;;;;;;;;;;x,,
EVTNAME160001;The Taiping Rebellion;;;;;;;;;;;;x,,,,,
EVTDESC160001;The followers of the so-called 'Heavenly Kingdom' have finally risen in rebellion against Imperial rule. A peasant army has been organized by the rebels Feng Yunshan and Wei Changhui, followers of Hong Xiuquan, and have actually managed to defeat the Imperial garrisons and drive out the local governors. These Christians are driven to topple the Qing Dynasty and led by a madman... we must act quickly, before this rebellion succeeds and proves to the rest of China that the Mandate of Heaven no longer rests with the Manchu.;;;;;;;;;;;;x,,
EVTNAME160002;Taiping Rebellion Defeated;;;;;;;;;;;;x,,,,,
EVTDESC160002;We have crushed the 'Heavenly Kingdom', and proven to all of China that the Qing Dynasty yet maintains the Mandate of Heaven. We will abide no more insurrections.;;;;;;;;;;;;x,,,,
EVTNAME160003;Taiping Rebellion Victorious;;;;;;;;;;;;x,,,,,
EVTDESC160003;Even though we are not yet done with the 'Heavenly Kingdom', the fact the rebels have forced us to a ceasefire and have not been crushed is being taken by our Chinese subjects as a sign of weakness. Officials are predicting rebellions in many other places in the years to come.;;;;;;;;;;;;x,,,,
EVTNAME160011;The Female Shortage;;;;;;;;;;;;x,,,,,
EVTDESC160011;Due to the low value assigned to the birth of daughters, female infanticide has become wide-spread across much of China. The practice has become so common, in fact, it has led to a shortage of women.;;;;;;;;;;;;x,,
EVTNAME160501;Missionaries in $PROVINCENAME$;;;;;;;;;;;;x,,,,,
EVTDESC160501;Christian missionaries are stirring up trouble in southern China, handing out pamphlets in an effort to gain converts. This would not be so objectionable were the pamphlet not also preaching sedition against the Qing Dynasty. The fact that so many in $PROVINCENAME$ are willing to listen to these fools is worrying.;;;;;;;;;;;;x,,,,
EVTNAME160502;Anti-Manchu Sentiment;;;;;;;;;;;;x,,,,,
EVTDESC160502;To many people in China, the Qing Dynasty is seen as ineffective and corrupt, ruled by Manchu foreigners. Bitter hatred has been stirring, particularly in the south. This is especially true in $PROVINCENAME$, where there are reports of rioting after a recent confrontation between locals and Manchu officials.;;;;;;;;;;;;x,
EVTNAME162503;The Taiping Sect Spreads!;;;;;;;;;;;;x,,,,,
EVTDESC162503;The followers of the so-called 'Heavenly Kingdom' have infested yet another province. According to officials in $PROVINCENAME$, followers of Hong Xiuquan have been spotted and sentiment against the Qing Dynasty is on the rise.;;;;;;;;;;;;x,,,,
EVTNAME164503;The Heavenly Kingdom;;;;;;;;;;;;x,,,,,
EVTDESC164503;A troublemaker has arisen in the southern lands. According to reports, this man claims to have received a vision to the effect that he is the younger brother of Jesus Christ and was sent to rid China of the corrupt Manchu Qing Dynasty rulers. He has been winning converts to Christianity, and it seems there are many willing to listen to his words of sedition and join his so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,
EVTNAME164504;Hong Xiuquan;;;;;;;;;;;;x,,,,,
EVTDESC164504;The man behind the so-called 'Heavenly Kingdom' has been given a name: Hong Xiuquan. A former farmer who attempted the civil service examinations in Guangzhou and failed, he has now become a charismatic visionary taking advantage of anti-Manchu sentiment in the south. Some say he is crazed and mad, but regardless he is a danger to the Qing Dynasty and his words are finding eager ears.;;;;;;;;;;;;x,,,
EVTNAME164505;Yang Xiuqing;;;;;;;;;;;;x,,,,,
EVTDESC164505;Reports have arrived at the palace that a firewood seller has taken to walking the Southlands, claiming to speak with the voice of God. Regardless of his seeming madness, the man has proven very effective at spreading the word of the so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,
EVTNAME800050;The Power of Tradition;;;;;;;;;;;;x,,,,,
EVTDESC800050;Reactionary elements have taken over the $COUNTRY_ADJ$ government, and their influence is felt both here and abroad. Their leadership has already begun to institute widespread changes in the government, while crowds cheer from the central square in $CAPITAL$.;;;;;;;;;;;;x,,,
EVTNAME800051;The New $COUNTRY_ADJ$ Order;;;;;;;;;;;;x,,,,,
EVTDESC800051;Fascist elements have taken over the $COUNTRY_ADJ$ government, and their influence is felt both here and abroad. Their leadership has already begun to institute widespread changes in the government, while crowds cheer from the central square in $CAPITAL$.;;;;;;;;;;;;x,,,
EVTNAME800052;The New Communist Regime;;;;;;;;;;;;x,,,,,
EVTDESC800052;Communists have taken over the $COUNTRY_ADJ$ government, and their influence is felt both here and abroad. Their leadership has already begun to institute widespread changes in the government, while crowds cheer from the central square in $CAPITAL$.;;;;;;;;;;;;x,,,
EVTNAME800053;A New Order in $COUNTRY$;;;;;;;;;;;;x,,,,,
EVTDESC800053;Anarcho-Liberal elements have taken over the $COUNTRY_ADJ$ government, and their influence is felt both here and abroad. Their leadership has already begun to institute widespread changes in the government, while crowds cheer from the central square in $CAPITAL$.;;;;;;;;;;;;x,,,
EVTNAME800054;Democracy Comes to $COUNTRY$!;;;;;;;;;;;;x,,,,,
EVTDESC800054;Cheering crowds in $CAPITAL$ are celebrating the toppling of the old $COUNTRY_ADJ$ government, now replaced by a new and liberal order that has already declared plans for free elections. Even so, they have already begun to institute changes in $COUNTRY$ that are being felt here and abroad.;;;;;;;;;;;;x,,,
EVTNAME800055;Rebellion in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,
EVTDESC800055;The $FROMCOUNTRY_ADJ$ goverment has been overthrown, and the rebel government has declared themselves free from $COUNTRY_ADJ$ rule. Many are calling for a restoration of order, while others are saying that $FROMCOUNTRY$ is too much trouble. If they want to be free, let them go.;;;;;;;;;;;;x,,
EVTNAME800056;Rebellion in our ally!;;;;;;;;;;;;x,,,,,
EVTDESC800056;The $FROMCOUNTRY_ADJ$ government has been toppled, and the rebels blame $COUNTRY_ADJ$ influence as one of the primary causes of the old regime's corruption. We have lost our influence in $FROMCOUNTRY$ as a result, and the only question that remains is whether we wish to press our claim by force.;;;;;;;;;;;;x,,,
EVTNAME800060;The Proletariat Cause;;;;;;;;;;;;x,,,,,
EVTDESC800060;An opportunity has arisen to fund the spread of communism in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, the workers around the world will continue to slave under bourgeois oppression. The proletariats in $CAPITAL$ are calling on us to aid the cause!;;;;;;;;;;;;x,,,
EVTNAME800061;The Spread of Fascism;;;;;;;;;;;;x,,,,,
EVTDESC800061;An opportunity has arisen to fund the spread of fascism in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, we will be seen as shirking our duty to the fascist cause. The government elite in $CAPITAL$ are calling on us to aid the cause!;;;;;;;;;;;;x,,,
EVTNAME800062;The Spread of Anarcho-Liberalism;;;;;;;;;;;;x,,,,,
EVTDESC800062;An opportunity has arisen to fund the spread of anarcho-liberalism in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, we will be admitting that we cannot aid the spread of the bourgeois revolution. The liberal elite in $CAPITAL$ are calling on us to aid the cause!;;;;;;;;;;;;x,,,
EVTNAME800063;The Cause of Freedom;;;;;;;;;;;;x,,,,,
EVTDESC800063;An opportunity has arisen to fund the spread of democracy in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, we will be seen as abandoning those who live under the rule of tyrants. Liberals in $CAPITAL$ are calling on us to aid the cause of world freedom!;;;;;;;;;;;;x,,,
EVTNAME800064;We Were Discovered;;;;;;;;;;;;x,,,,,
EVTDESC800064; Several of our agents in $FROMCOUNTRY$ were discovered and interrogated, and word of our efforts have spread. This will have an impact on our infamy, and the $FROMCOUNTRY_ADJ$ may choose to take the issue as cause for war against us.;;;;;;;;;;;;x,,,
EVTNAME800065;Diplomatic Incident;;;;;;;;;;;;x,,,,,
EVTDESC800065;We have reports of $FROMCOUNTRY_ADJ$ propaganda being spread in one of our border provinces. Clearly the $FROMCOUNTRY$ government does not respect our sovereignty. Word of the event has leaked out, and members of the $COUNTRY_ADJ$ government are calling for immediate action!;;;;;;;;;;;;x,,,,
EVTNAME800066;Workers of the World;;;;;;;;;;;;x,,,,,
EVTDESC800066;If communism is to make strides in the modern era, the ruling proletariat of every nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow communist nation to bring us closer together.;;;;;;;;;;;;x,,,
EVTNAME800067;$FROMCOUNTRY_ADJ$ Envoy Arrives;;;;;;;;;;;;x,,,,,
EVTDESC800067;An envoy has arrived from $FROMCOUNTRY$, offering to improve relations between our country and theirs. The $FROMCOUNTRY_ADJ$ leadership believes that nations so closely aligned in ideology should become closer in truth. Refusing their overtures could be seen as an insult.;;;;;;;;;;;;x,,,,
EVTNAME800068;Workers of the World;;;;;;;;;;;;x,,,,,
EVTDESC800068;If communism is to make strides in the modern era, the ruling proletariat of every nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow communist nation to bring us closer together.;;;;;;;;;;;;x,,,
EVTNAME800069;The $COUNTRY_ADJ$ Destiny;;;;;;;;;;;;x,,,,,
EVTDESC800069;If fascism is to make strides in the modern era, the rulers of every fascist nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow nation to bring us closer together.;;;;;;;;;;;;x,,,
EVTNAME800070;The $COUNTRY_ADJ$ Destiny;;;;;;;;;;;;x,,,,,
EVTDESC800070;If fascism is to make strides in the modern era, the rulers of every fascist nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow nation to bring us closer together.;;;;;;;;;;;;x,,,
EVTNAME800071;The Anarcho-Liberal Agenda;;;;;;;;;;;;x,,,,,
EVTDESC800071;If anarcho-liberalism is to make strides in the modern era, the rulers of every enlightened nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow anarcho-liberal nation to bring us closer together.;;;;;;;;;;;;x,,,
EVTNAME800072;The Anarcho-Liberal Agenda;;;;;;;;;;;;x,,,,,
EVTDESC800072;If anarcho-liberalism is to make strides in the modern era, the rulers of every enlightened nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow anarcho-liberal nation to bring us closer together.;;;;;;;;;;;;x,,,
EVTNAME800073;The Light of Democracy;;;;;;;;;;;;x,,,,,
EVTDESC800073;The threats to the modern world are many: communism, fascism, tyranny in all forms. If the free and democratic nations of the world are to survive, they must stand together. $COUNTRY_ADJ$ leaders are calling on the government to initiate closer ties with a fellow democratic nation.;;;;;;;;;;;;x,,
EVTNAME800074;The Light of Democracy;;;;;;;;;;;;x,,,,,
EVTDESC800074;The threats to the modern world are many: communism, fascism, tyranny in all forms. If the free and democratic nations of the world are to survive, they must stand together. $COUNTRY_ADJ$ leaders are calling on the government to initiate closer ties with a fellow democratic nation.;;;;;;;;;;;;x,,
EVTNAME800075;A Communist Summit?;;;;;;;;;;;;x,,,,,
EVTDESC800075;The time has come for the great communist powers of the world to stand together. A summit has been proposed in $CAPITAL$ that would bring our nations closer, though it also has the chance of going badly and driving us further apart. Do we dare make the attempt?;;;;;;;;;;;;x,,,,
EVTNAME800076;The $FROMCOUNTRY_ADJ$ Summit;;;;;;;;;;;;x,,,,,
EVTDESC800076;An envoy has arrived from $FROMCOUNTRY$, offering to hold a summit in their capital to bring our two great powers closer together. Refusing their overtures could be seen as an insult, but it's also possible the summit could go poorly and make our relations worse rather than better.;;;;;;;;;;;;x,,,
EVTNAME800077;$COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Summit of $YEAR$ a Success!;;;;;;;;;;;;x,,,,,
EVTDESC800077;The summit in $CAPITAL$ was a smashing success! $FROMCOUNTRY_ADJ$ diplomats left pleased with the progress, and our relations have improved significantly.;;;;;;;;;;;;x,,,,
EVTNAME800078;$COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Summit of $YEAR$;;;;;;;;;;;;x,,,,,
EVTDESC800078;The summit in $CAPITAL$ unfortunately failed to make any significant progress. Talks with $FROMCOUNTRY$ stalled, and even with our common ideological ground there are just too many issues remaining between our nations to improve relations more than marginally.;;;;;;;;;;;;x,,,,
EVTNAME800079;$COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Summit of $YEAR$ a Disaster!;;;;;;;;;;;;x,,,,,
EVTDESC800079;The summit in $CAPITAL$ went very poorly. There are too many issues between our nations, and $FROMCOUNTRY_ADJ$ diplomats left in a huff. Our relations have suffered as a result.;;;;;;;;;;;;x,,,,
EVTNAME800080;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,
EVTDESC800080;$FROMCOUNTRY$ has sent a polite refusal to our summit request, saying now is not a good time for a summit.;;;;;;;;;;;;x,,,,
EVTNAME800081;A Fascist Summit?;;;;;;;;;;;;x,,,,,
EVTDESC800081;The time has come for the great fascist powers of the world to stand together. A summit has been proposed in $CAPITAL$ that would bring our nations closer, though it also has the chance of going badly and driving us further apart. Do we dare make the attempt?;;;;;;;;;;;;x,,,,
EVTNAME800082;An Anarcho-Liberal Summit?;;;;;;;;;;;;x,,,,,
EVTDESC800082;The time has come for the great anarcho-liberal powers of the world to stand together. A summit has been proposed in $CAPITAL$ that would bring our nations closer, though it also has the chance of going badly and driving us further apart. Do we dare make the attempt?;;;;;;;;;;;;x,,,,
EVTNAME800083;A Summit of Equals;;;;;;;;;;;;x,,,,,
EVTDESC800083;The time has come for the great democratic powers of the world to stand together. A summit has been proposed in $CAPITAL$ that would bring our nations closer, though it also has the chance of going badly and driving us further apart. Do we dare make the attempt?;;;;;;;;;;;;x,,,,
EVTNAME800084;Diplomatic Incident;;;;;;;;;;;;x,,,,,
EVTDESC800084;A violent incident has occurred at one of the foreign embassies in $CAPITAL$, spurred on by resentment towards their nation and its ideological hostility towards our communist regime. We will need to decide now whether we are conciliatory in our response, potentially losing prestige for the socialist movement, or whether we imply that their nation's policies are what led to this unfortunate event.;;;;;;;;;;;;x,,
EVTNAME800085;Diplomatic Incident;;;;;;;;;;;;x,,,,,
EVTDESC800085;A violent incident has occurred at one of the foreign embassies in $CAPITAL$, spurred on by resentment towards their nation and its ideological hostility towards our fascist regime. We will need to decide now whether we are conciliatory in our response, potentially losing prestige for our nationalist movement, or whether we imply that their nation's policies are what led to this unfortunate event.;;;;;;;;;;;;x,,
EVTNAME800086;Diplomatic Incident;;;;;;;;;;;;x,,,,,
EVTDESC800086;A violent incident has occurred at one of the foreign embassies in $CAPITAL$, spurred on by resentment towards their nation and its ideological hostility towards our anarcho-liberal regime. We will need to decide now whether we are conciliatory in our response, potentially losing prestige for our liberal movement, or whether we imply that their nation's policies are what led to this unfortunate event.;;;;;;;;;;;;x,,
EVTNAME800087;Diplomatic Incident;;;;;;;;;;;;x,,,,,
EVTDESC800087;A violent incident has occurred at one of the foreign embassies in $CAPITAL$, spurred on by resentment towards their nation and its ideological extremism. We will need to decide now whether we are conciliatory in our response, potentially losing prestige for our nation and the cause of democracy in the world, or whether we imply that their nation's policies are what led to this unfortunate event.;;;;;;;;;;;;x,,
EVTNAME800088;Incident in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,
EVTDESC800088;A violent incident has occurred at one of the foreign embassies in $CAPITAL$, spurred on by $FROMCOUNTRY_ADJ$ resentment towards $COUNTRY$ and our ideology. Their response to the unfortunate event has thankfully been conciliatory, and our government has received an official apology.;;;;;;;;;;;;x,,,
EVTNAME800089;Insult from $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,
EVTDESC800089;A violent incident has occurred at our embassy in $FROMCOUNTRY$, spurred on by $FROMCOUNTRY_ADJ$ resentment towards $COUNTRY$ and our ideology. Their response has been insulting, publicly blaming our policies even though their own careless disregard for the safety of our diplomats and their political upheaval is clearly at fault.;;;;;;;;;;;;x,,,
EVTNAME800090;$FROMCOUNTRY$ Does Not Accept;;;;;;;;;;;;x,,,,,
EVTDESC800090;Despite our apology, the $FROMCOUNTRY_ADJ$ government has declared it is enraged by the incident and that our lack of control over our citizens is to blame. While they are seen as being unreasonably aggressive, war is even a possibility.;;;;;;;;;;;;x,,,
EVTNAME800091;$FROMCOUNTRY$ Accepts;;;;;;;;;;;;x,,,,,
EVTDESC800091;The $FROMCOUNTRY_ADJ$ government has accepted our apology for the incident, and while our relations have been damaged the incident has mostly blown over.;;;;;;;;;;;;x,,,,
EVTNAME800092;$FROMCOUNTRY$ Enraged;;;;;;;;;;;;x,,,,,
EVTDESC800092;$FROMCOUNTRY_ADJ$ leaders have declared our actions outrageous, and that the incident was no doubt secretly supported by our government. They claim this provides them ample grounds for war.;;;;;;;;;;;;x,,,,
EVTNAME800093;$FROMCOUNTRY$ Backs Down;;;;;;;;;;;;x,,,,,
EVTDESC800093;The $FROMCOUNTRY_ADJ$ has backed down from escalating the incident into a war. The entire business has harmed relations between our nations.;;;;;;;;;;;;x,,,,,
EVTNAME800094;Diplomatic Incident;;;;;;;;;;;;x,,,,,
EVTDESC800094;Several foreigners were attacked in $CAPITAL$, an incident spurred on by differences between their country and our government's communist policies. It has severely harmed our relations.;;;;;;;;;;;;x,,,,
EVTNAME800095;Diplomatic Incident;;;;;;;;;;;;x,,,,,
EVTDESC800095;Several foreigners were attacked in $CAPITAL$, an incident spurred on by differences between their country and our government's fascist policies. It has severely harmed our relations.;;;;;;;;;;;;x,,,,
EVTNAME800096;Diplomatic Incident;;;;;;;;;;;;x,,,,,
