WARSUBSIDIES_DI;Offer of Warsubsidies;Offre d'indemnités de guerre;Angebot von Kriegssubventionen;;;;;;;;;;x
CANCEL_WARSUBSIDIES_DI;Cancellation of Warsubsidies;Annulation des indemnités de guerre;Einstellung von Kriegssubventionen;;;;;;;;;;x
ASKMILITARYACCESS_DI;Request for Military Access;Demande d'accès militaire;Anfrage nach Militärzugang;;;;;;;;;;x
CANCELASKMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;;;;;;;;;x
GIVEMILITARYACCESS_DI;Offer of Military Access;Offre d'accès militaire;Angebot von Militärzugang;;;;;;;;;;x
CANCELGIVEMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;;;;;;;;;x
ALLIANCE_DI;Alliance Offer;Offre d'alliance;Bündnisangebot;;;;;;;;;;x
CANCELALLIANCE_DI;Alliance Broken;Alliance rompue;Bündnis gebrochen;;;;;;;;;;x
CALLALLY_DI;Call Ally;Faire appel à un allié;Bündnisparter zu Hilfe rufen;;;;;;;;;;x
DISCREDIT_DI;Discredit;Discréditer;In Verruf bringen;;;;;;;;;;x
EXPELADVISORS_DI;Expulsion of Advisors;Expulsion de conseillers;Ausweisung von Beratern;;;;;;;;;;x
BANEMBASSY_DI;Banning of Embassy;Fermeture d'ambassade;Botschaftsverbannung;;;;;;;;;;x
INCREASEOPINION_DI;Opinion Increase;Opinion en hausse;Meinungssteigerung;;;;;;;;;;x
DECREASEOPINION_DI;Opinion Decrease;Opinion en baisse;Meinungsverringerung;;;;;;;;;;x
ADDTOSPHERE_DI;Add to Sphere;Ajouter à la sphère;Zu Einflusssphäre hinzufügen;;;;;;;;;;x
CANTBUILD_FORCEDISARM;We can't build new military units, as we are under a peace treaty that has forced us to disarm.;Le traité de paix qui nous a contraints à nous désarmer ne nous permet pas de construire de nouvelles unités.;Wir können keine neuen Militäreinheiten bauen, da uns ein Friedensvertrag zur Abrüstung zwingt.;;;;;;;;;;x;
SOME_LIFE_NEEDS;Life Needs partly fulfilled;Besoins vitaux partiellement satisfaits;Lebensbedürfnisse teilweise gedeckt;;;;;;;;;;x;
TOPBAR_AVG_CHANGE;We estimate that it will change by $VAL$§W during the next month.;Nous estimons que cela changera à hauteur de $VAL$§W au cours du mois prochain.;Wir vermuten eine Veränderung von $VAL$§W für den nächsten Monat.;;;;;;;;;;;x
TECH_DAILY_RESEARCHPOINTS_BASE_TOOLTIP;Daily base research points: §Y$VALUE$§W;Points de recherche de base quotidiens : §Y$VALUE$§W;Tägliche Basis-Forschungspunkte: §Y$VALUE$§W;;;;;;;;;;;x
TECH_DAILY_RESEARCHPOINTS_TOTAL_TOOLTIP;Daily research points: §G+$VALUE$§W;Points de recherche quotidiens : §G+$VALUE$§W;Tägliche Forschungspunkte: §G+$VALUE$§W;;;;;;;;;;;x
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;$POPTYPE$ provide §G$VALUE$§W research points.\n (§Y$FRACTION$%§W of the population, $OPTIMAL$% is optimal.);$POPTYPE$ propose §G$VALUE$§W points de recherche.\n (§Y$FRACTION$%§W de la population, $OPTIMAL$% de manière optimale.);$POPTYPE$ bietet §G$VALUE$§W Forschungspunkte.\n (§Y$FRACTION$%§W von der Bevölkerung, $OPTIMAL$% ist optimal.);;;;;;;;;;x
average_literacy;Literacy;Alphabétisation;Alphabetisierung;;;;;;;;;;x
MODIFIER_RESEARCH_POINTS;Research Points;Points de recherche;Forschungspunkte;;;;;;;;;;x
gas;Gas Attack;Attaque aux gaz;Gasangriff;;;;;;;;;;x
COMBAT_GAS;Gas attacks while the opponent lacks the technology to defend against it may be devastating.;Les attaques aux gaz, lorsque l'adversaire ne dispose pas de la technologie pour s'en défendre, peuvent être dévastatrices.;Gasangriffe gegen Gegner, deren Technologie noch nicht zu deren Abwehr ausreicht, können verheerend ausfallen.;;;;;;;;;;x
MAY_GAS_ATTACK;Can use Gas Attack\n;Peut utiliser les attaques aux gaz\n;Kann Gasangriff einsetzen.\n;;;;;;;;;;x
MAY_GAS_DEFEND;Can defend against Gas Attack\n;Peut se défendre des attaques aux gaz\n;Kann sich gegen Gasangriff verteidigen.\n;;;;;;;;;;x
IMMIGRANTS_FROM;There were §G$VAL$§W immigrants from $NAME$.;Il y avait §G$VAL$§W immigrants de $NAME$.;Es gab §G$VAL$§W Immigranten aus $NAME$.;;;;;;;;;;x
EMIGRANTS_TO;§R$VAL$§W emigrated to $NAME$.;§R$VAL$§W ont émigré vers $NAME$.;§R$VAL$§W emigrierten nach $NAME$.;;;;;;;;;;x
PW_ALL_FOCUSES_USED;All national focuses are already used.;Toutes les causes nationales ont déjà été utilisées.;Alle nationalen Fokusse sind bereits eingesetzt.;;;;;;;;;;x
HAS_NO_FACTORIES;Has NO factories.\n;Ne dispose d'AUCUNE usine.\n;Hat KEINE Fabriken.\n;;;;;;;;;;x
HAS_FACTORIES;Has factories.\n;Dispose d'usines.\n;Hat Fabriken.\n;;;;;;;;;;x
RETREAT_DELAY_IRO;There is still §Y$VAL$§W day(s) left until a voluntary retreat can be made.;Il reste §Y$VAL$§W jour(s) jusqu'à ce qu'une retraite volontaire puisse intervenir.;Ein freiwilliger Rückzug ist noch für §Y$VAL$§W Tag(e) möglich.;;;;;;;;;;x
PW_CANTCOLONIZE;Not Possible to colonize here yet.;Impossible de coloniser ici pour le moment.;Kolonisierung hier noch nicht möglich.;;;;;;;;;;x
IS_COLONIAL_STATE_POPVIEW;Colonial State;État colonial;Kolonialstaat;;;;;;;;;;x
CULTURE_IS_NOT;Culture is NOT;La culture n'est PAS;Kultur ist NICHT;;;;;;;;;;x
CULTURE_IS;Culture is;La culture est;Kultur ist;;;;;;;;;;x;;;
INVALID_WARTARGET_TROOPS_IN_THEM;We have troops inside their borders.;Nous avons des troupes à l'intérieur de leurs frontières.;Wir haben Truppen innerhalb ihrer Grenzen.;;;;;;;;;;x;;;
WEX_EFFECTS;Current Effects;Effets actuels;Aktuelle Effekte;;;;;;;;;;x;;;
NOBODY_CAN_VOTE_HERE;Nobody is allowed the vote.;Personne n'est autorisé à voter.;Niemand darf wählen.;;;;;;;;;;x;;;
NOT_ABLE_TO_REINFORCE;This pop is now too small to reinforce this brigade.;Ce POP est trop petit pour renforcer cette brigade.;Diese Bev ist zur Verstärkung dieser Brigade nun zu klein.;;;;;;;;;;;x;;
POP_SIZE_UNITVIEW;This pop has §Y$VAL$§W people and can support §Y$ALLOWED$§W brigades. Currently it has §Y$CURRENT$§W brigades..;Ce POP dispose de §Y$VAL$§W personnes et peut soutenir §Y$ALLOWED$§W brigades. Il dispose actuellement de §Y$CURRENT$§W brigades.;Diese Bev besteht aus §Y$VAL$§W Menschen und kann §Y$ALLOWED$§W Brigaden unterstützen. Derzeit hat sie §Y$CURRENT$§W Brigaden.;;;;;;;;;;;x;;
MAX_REINF_UNITVIEW;Reinforcing at §G100%§W speed.;Renfort à une vitesse de §G100%§W.;Verstärkung trifft mit §G100%§W Geschwindigkeit ein.;;;;;;;;;;;x;;
POP_IMPACT_UNITVIEW;Due to losses in the reserves, this unit reinforces at §Y$VAL$%§W speed.;Compte tenu des pertes subies dans les réserves, cette unité se renforce à une vitesse de §Y$VAL$%§W.;Aufgrund von Verlusten bei den Reservetruppen wird diese Einheit mit §Y$VAL$%§W Geschwindigkeit verstärkt.;;;;;;;;;;;x;;
MOB_IS_REINFORCE;Mobilized units reinforce at §Y50%§W speed.;Les unités mobilisées se renforcent à une vitesse de §Y50%§W.;Mobilisierte Einheiten werden mit §Y50%§W Geschwindigkeit verstärkt.;;;;;;;;;;x;;;
EVTNAME60120;Increasing Federalism;Fédéralisme en hausse;Steigender Föderalismus;;;;;;;;;;;x;;
EVTDESC60120;A sentiment of cultural nationalism is sweeping $COUNTRY$, as people begin to clamor for unification with our cultural brethren in $CULTURE_GROUP_UNION$. We have little reason to doubt that they would object to a petition of annexation.;Un sentiment de nationalisme culturel déferle sur $COUNTRY$ et les gens commencent à appeler à l'unification avec nos frères culturels de $CULTURE_GROUP_UNION$. Nous avons peu de raison de douter qu'ils s'opposeront à une pétition d'annexion.;In der gesamten Bevölkerung von $COUNTRY$ macht sich kultureller Nationalismus breit. Das Volk schreit nach der Vereinigung mit unseren kulturellen Brüdern in $CULTURE_GROUP_UNION$. Wir haben kaum Zweifel daran, dass sie einer Anschlusspetition zustimmen würden.;;;;;;;;;;;;;x
EVTOPTA60120;Let's do it;Allons-y;Machen wir das.;;;;;;;;;;;x;;
EVTNAME60130;$FROMCOUNTRY$ Petitions for Annexation;$FROMCOUNTRY$ Pétitions d'annexion;$FROMCOUNTRY$ Anschlusspetitionen;;;;;;;;;;;x;;
EVTDESC60130;Following a surge in popular nationalist sentiments, the $FROMCOUNTRY_ADJ$ government has placed a formal request with our authorities in $CAPITAL$ that they be allowed to join $COUNTRY$ in perpetual union. There seems to be little reason to oppose this move.;À la suite d'une montée de sentiments nationalistes, le gouvernement $FROMCOUNTRY_ADJ$ a formulé une demande officielle auprès de nos autorités de $CAPITAL$ pour les autoriser à rejoindre $COUNTRY$ dans le cadre d'une union perpétuelle. Il n'existe apparemment aucune raison de s'opposer à ce mouvement.;Nach einem Aufwogen nationalistischer Strömungen in der Bevölkerung hat die $FROMCOUNTRY_ADJ$ Regierung unseren Behörden in $CAPITAL$ einen formalen Antrag überreicht, sich $COUNTRY$ in einer in dauerhaften Union anschließen zu dürfen. Es bestehen wohl kaum Gründe, sich diesem Schritt zu verweigern.;;;;;;;;;;;x;;
EVTOPTA60130;Let's do it;Allons-y;Machen wir das.;;;;;;;;;;;x;;
EVTOPTB60130;By god no, $FROMCOUNTRY_ADJ$ scum;Dieu du ciel, pas cette racaille $FROMCOUNTRY_ADJ$;Um Himmels Willen, $FROMCOUNTRY_ADJ$ Abschaum!;;;;;;;;;;;x;;
ATPEACE;At Peace;En paix;Im Frieden;;;;;;;;;;;x
NORMAL_WAR_RUDEBOI_NAME;$ORDER$$FIRST$ War of $SECOND$ Containment;$ORDER$$FIRST$ guerre de confinement $SECOND$;$ORDER$$FIRST$ Krieg der $SECOND$ Beherrschung;;;;;;;;;;;x
AGRESSION_WAR_RUDEBOI_NAME;$ORDER$$FIRST$ War of $SECOND$ Containment;$ORDER$$FIRST$ guerre de confinement $SECOND$;$ORDER$$FIRST$ Krieg der $SECOND$ Beherrschung;;;;;;;;;;;x
rude_boy;Containment;Confinement;Beherrschung;;;;;;;;;;;x
rude_boy_desc;Force another §Ycountry§W, which has thrown off all pretenses of civilized conduct in the realm of international affairs, to vastly reduce its ambitions.;Obligez un autre §Ypays§W, qui s'est débarrassé de tout faux-semblant de conduite civilisée au royaume des affaires internationales, à limiter considérablement ses ambitions.;Zwingen Sie ein anderes §YLand§W, das bezüglich internationaler Beziehungen sämtliche Vortäuschungen zivilisierten Benehmens über Bord geworfen hat, seine Ambitionen drastisch zu reduzieren.;;;;;;;;;;;x
rude_boy_setup;Contain $RECIPIENT$ by reducing their territory, prestige and military.;Confinez $RECIPIENT$ en réduisant son territoire, son prestige et son armée.;Halten Sie $RECIPIENT$ in Schach, indem Sie ihr Territorium, Prestige und Militär reduzieren.;;;;;;;;;;;x
rude_boy_short;Contain $RECIPIENT$;Contenir $RECIPIENT$;Halten Sie $RECIPIENT$ in Schach.;;;;;;;;;;;x
POP_DETAILS_EXPENSES;Expenses:;Dépenses :;Ausgaben:;;;;;;;;;;;x
CONFIRM_CREATE_VASSAL;Release Nation;Libérer une nation;Nation entlassen;;;;;;;;;;;x
CONFIRM_CREATE_VASSAL_DESC;Do you want to release §Y$COUNTRY$§W as a §Y$TYPE$§W?\n §Y$COUNTRY$§W will receive the following §Y$NUM$§W province(s): §Y$PROVINCES$§W.;Souhaitez-vous libérer §Y$COUNTRY$§W en tant que §Y$TYPE$§W ?\n §Y$COUNTRY$§W recevra la(les) §Y$NUM$§W province(s) suivante(s) : §Y$PROVINCES$§W.;Möchten Sie §Y$COUNTRY$§W als §Y$TYPE$§W entlassen?\n §Y$COUNTRY$§W würde folgende §Y$NUM$§W Provinz(en) erhalten: §Y$PROVINCES$§W.;;;;;;;;;;;x
egyptian_excavations;Egyptian Excavations;Fouilles égyptiennes;Ägyptische Ausgrabungen;;;;;;;;;;;x
egyptian_excavations_desc;Our country is spearheading archeological excavations in The Valley of the Kings.;Notre pays mène des fouilles archéologiques dans la vallée des rois.;Unser Land führt die archäologischen Ausgrabungen im Tal der Könige.;;;;;;;;;;;x
red_shirts_title;Camiciee Rosse;Camicie rosse;Camicie Rosse;;;;;;;;;;;x
red_shirts_name;Garibaldi's Redshirts;Chemises rouges de Garibaldi;Garibaldis Rothemden;;;;;;;;;;;x
red_shirts_desc;The Redshirts (Camicie rosse) was the name given to the volunteers who served under Giuseppe Garibaldi during his struggles to forge a nation state out of the many splintered Italian states, thus aptly named on account of the red shirts that Garibaldi and his men had taken to wearing. The charismatic Garibaldi, vastly popular both at home and abroad, and generally seen as a freedom fighter, was instrumental in securing Italian Unification under the Sardinian Crown. These Italian Pan-Nationalists fight for the Unification of Italy.;Le nom de Chemises rouges (Camicie rosse, en italien) a été donné aux volontaires qui ont servi sous Giuseppe Garibaldi afin de créer un État-nation réunissant les nombreux États italiens. Ce nom vient des chemises rouges que portaient Garibaldi et ses hommes. Le charismatique Garibaldi, célèbre en Italie comme à l'étranger et perçu comme un défenseur de la liberté, a contribué à asseoir l'unification italienne sous la couronne sarde. Ces pan-nationalistes italiens luttent pour l'unification de l'Italie.;Die Rothemden (Camicie rosse) waren Freiwillige, die unter Giuseppe Garibaldi dienten, als dieser darum kämpfte, die vielen italienischen Splitterstaaten zu einem Nationalstaat zu vereinen. Ihren Namen bekamen sie durch die roten Hemden, die Garibaldi und seine Männer trugen. Der charismatische und national wie international beliebte Garibaldi, der im Allgemeinen als Freiheitskämpfer angesehen wird, war maßgeblich an der italienischen Vereinigung unter der sardinischen Krone beteiligt. Diese italienischen Pan-Nationalisten kämpfen für die Vereinigung Italiens.;;;;;;;;;;;x
red_shirts_army;Redshirt Expedition of the Thousand;Expédition des Chemises rouges des Mille;Rothemden-Expedition der Tausend;;;;;;;;;;;x
EVTNAME11103;Expedition of The Thousand!;Expédition des Mille;Expedition der Tausend!;;;;;;;;;;;x
EVTDESC11103;$MONARCHTITLE$! News have just reached us that renowned Italian freedom fighter Giuseppe Garibaldi and his 'Expedition of The Thousand' have broken and taken control of the government in $FROMCOUNTRY$. Everywhere this rugged freedom fighter goes jubilant crowds of Italians turn out to greet him -- waving the tricolor of the Italian nation -- as the liberator of all of Italy. On account of our dominant position on the peninsula, the newly formed government in $FROMCOUNTRY$ sends word that they accept $COUNTRY$'s natural position as the foremost among equals of the newly formed Italy.;"$MONARCHTITLE$ ! Nous avons appris que Giuseppe Garibaldi, le célèbre défenseur de la liberté italien, et ses ""Mille"" ont pris le contrôle du gouvernement de $FROMCOUNTRY$. Partout, ce vigoureux défenseur de la liberté suscite l'intérêt des nombreux Italiens, brandissant le drapeau tricolore de la nation italienne, et s'érige en libérateur de toute l'Italie. Compte tenu de notre position dominante sur la péninsule, le nouveau gouvernement de $FROMCOUNTRY$ accepte la position naturelle de $COUNTRY$ au tout premier rang de la nouvelle Italie.";$MONARCHTITLE$ Gerade erreichten uns Nachrichten, dass der berühmte italienische Freiheitskämpfer Giuseppe Garibaldi und seine 'Expedition der Tausend' die Regierungsgewalt in $FROMCOUNTRY$ übernommen haben. Wohin auch immer dieser schroffe Freiheitskämpfer geht, strömen jubelnde Italiener in Massen auf diese Straßen, um ihn als Befreier Italiens zu feiern -- dabei wedeln sie mit der Flagge der italienischen Nation. Aufgrund unserer dominanten Position auf der Halbinsel hat die neu gebildete Regierung in $FROMCOUNTRY$ bekannt gegeben, dass sie $COUNTRY$s natürliche Stellung als erster unter ebenbürtigen Partner des neuen Italiens akzeptieren.;;;;;;;;;;;x
EVTOPTA11103;Long live Il Risorgimento!;Longue vie au Risorgimento !;Lang lebe Il Risorgimento!;;;;;;;;;;;x
EVTOPTB11103;Who is this man, and what does he want from me?;Qui est cet homme et qu'attend-il de moi ?;Wer ist dieser Mann und was will er von mir?;;;;;;;;;;;x
CB_DESC_HEAD;This Casus Belli allows us to demand: ;Ce Casus Belli nous permet de demander : ;Dieser Kriegsgrund erlaubt uns folgende Forderungen:;;;;;;;;;;;x
CB_ALLOWED_DISARMAMENT;Forced Disarmament;Désarmement forcé;Erzwungene Abrüstung;;;;;;;;;;;x
CB_ALLOWED_REPARATIONS;War Reparations;Réparations de guerre;Kriegsreparationen;;;;;;;;;;;x
CB_ALLOWED_STATES;Secession of Territory;Sécession de territoire;Gebietsabspaltung;;;;;;;;;;;x
TRADE_DISABLED_AUTOMATE;Trade for this goods type is automated. turn off automation to change setting;Le commerce de ce type de biens est automatisé. désactiver l'automatisation pour changer de paramètre;Der Handel dieses Gütertyps ist automatisiert. Deaktivieren Sie zur Einstellungsänderung die Automatisierung.;;;;;;;;;;;x
AUTOMATE_TRADE_CHECK;Automate the trade for this goods type;Automatiser le commerce pour ce type de biens;Automatisierung Sie den Handel dieses Gütertyps.;;;;;;;;;;;x
TECHNOLOGYVIEW_RESEARCH_TOOLTIP;We are currently researching §Y$TECH$§W.\nAt the present pace, the project should be completed on §Y$DATE$§W.;Nous effectuons actuellement des recherches dans le domaine suivant : §Y$TECH$§W.\nAu rythme actuel, le projet devrait être terminé le §Y$DATE$§W.;Wir erforschen derzeit §Y$TECH$§W.\nBei der momentanen Geschwindigkeit sollte das Projekt am §Y$DATE$§W abgeschlossen sein.;;;;;;;;;;;x
INCREASERELATION_THEY_ACCEPT_4;Our relation increased by §G$CHANGE$§W to §Y$RELATION$§W.;Nos relations ont augmenté de §G$CHANGE$§W pour §Y$RELATION$§W.;Unsere Beziehung verbesserte sich um §G$CHANGE$§W auf §Y$RELATION$§W.;*;*;*;*;;;;;;;x
INCREASERELATION_WE_ACCEPT_4;Our relation increased by §G$CHANGE$§W to §Y$RELATION$§W.;Nos relations ont augmenté de §G$CHANGE$§W pour §Y$RELATION$§W.;Unsere Beziehung verbesserte sich um §G$CHANGE$§W auf §Y$RELATION$§W.;*;*;*;*;;;;;;;x
DECREASERELATION_WE_ACCEPT_5;Our relation changed by §R$CHANGE$§W to §Y$RELATION$§W.;Nos relations ont évolué de §G$CHANGE$§W pour §Y$RELATION$§W.;Unsere Beziehung änderte sich um §G$CHANGE$§W auf §Y$RELATION$§W.;;;;;;;;;;;x
DECREASERELATION_THEY_ACCEPT_6;Our relation changed by §R$CHANGE$§W to §Y$RELATION$§W.;Nos relations ont évolué de §G$CHANGE$§W pour §Y$RELATION$§W.;Unsere Beziehung änderte sich um §G$CHANGE$§W auf §Y$RELATION$§W.;;;;;;;;;;;x
NORMAL_WAR_CONCESSION_NAME;$ORDER$ War of The $STATE$ Concession;$ORDER$ Guerre de concession de $STATE$;$ORDER$ Krieg der $STATE$-Konzession;;;;;;;;;;;x
AGRESSION_WAR_CONCESSION_NAME;$ORDER$ War of The $STATE$ Concession;$ORDER$ Guerre de concession de $STATE$;$ORDER$ Krieg der $STATE$-Konzession;;;;;;;;;;;x
demand_concession_casus_belli;Demand Concession;Demande de concession;Konzession verlangen;;;;;;;;;;;x
demand_concession_casus_belli_desc;Force an §Yuncivilized country§W to secede territory to form a colonial concession.;Obligez un §Ypays non civilisé§W à faire sécession d'un territoire pour former une concession coloniale.;Zwingen Sie ein §Yunzivilisiertes Land§W, Gebiete zur Gründung einer Kolonialkonzession abzuspalten.;;;;;;;;;;;x
demand_concession_casus_belli_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;Demandez à ce que $RECIPIENT$ fasse sécession d'un territoire pour former une concession coloniale.;Verlangen Sie, dass $RECIPIENT$ Gebiete zur Gründung einer Kolonialkonzession abspaltet.;;;;;;;;;;;x
demand_concession_casus_belli_short;Demand $STATE$;Demander $STATE$;Fordern Sie $STATE$;;;;;;;;;;;x
NORMAL_WAR_PROTECTORATE_NAME;$ORDER$ Acquisition of $FIRST$ $SECOND_COUNTRY$;$ORDER$ $FIRST$ acquisition de $SECOND_COUNTRY$;$ORDER$ Übernahme von $FIRST$ $SECOND_COUNTRY$;;;;;;;;;;;x
AGRESSION_WAR_PROTECTORATE_NAME;$ORDER$ Acquisition of $FIRST$ $SECOND_COUNTRY$;$ORDER$ $FIRST$ acquisition de $SECOND_COUNTRY$;$ORDER$ Übernahme von $FIRST$ $SECOND_COUNTRY$;;;;;;;;;;;x
establish_protectorate_casus_belli;Establish Protectorate;Établir un protectorat;Protektorat gründen;;;;;;;;;;;x
establish_protectorate_casus_belli_desc;Annex an §Yuncivilized country§W by forcing them to become a protectorate of ours.;Annexez un §Ypays non civilisé§W en l'obligeant à devenir l'un de nos protectorats.;Annektieren Sie ein §Yunzivilisiertes Land§W, indem Sie es zwingen, eines Ihrer Protektorate zu werden.;;;;;;;;;;;x
establish_protectorate_casus_belli_setup;Annex $RECIPIENT$ by establishing a protectorate over them.;Annexez $RECIPIENT$ en établissant un protectorat.;Annektieren Sie $RECIPIENT$ durch die Gründung eines Protektorats.;;;;;;;;;;;x
establish_protectorate_casus_belli_short;Annex $RECIPIENT$;Annexer $RECIPIENT$;Annektieren Sie $RECIPIENT$;;;;;;;;;;;x
NORMAL_WAR_UNIFICATION_NAME;$ORDER$ $FIRST$ Liberation of $STATE$;$ORDER$$FIRST$ libération de $STATE$;$ORDER$$FIRST$ Befreiung von $STATE$;;;;;;;;;;;x
AGRESSION_WAR_UNIFICATION_NAME;$ORDER$ $FIRST$ Liberation of $STATE$;$ORDER$$FIRST$ libération de $STATE$;$ORDER$$FIRST$ Befreiung von $STATE$;;;;;;;;;;;x
unification_casus_belli;War of Unification;Guerre d'unification;Vereinigungskrieg;;;;;;;;;;;x
unification_casus_belli_desc;Liberate core territory of our §YCultural Union§W;Libérer un territoire clé de notre §Yunion culturelle§W;Befreien Sie das Kerngebiet unserer §YKulturunion§W;;;;;;;;;;;x
unification_casus_belli_setup;Liberate core territory of our §YCultural Union§W.;Libérez un territoire clé de notre §Yunion culturelle§W.;Befreien Sie das Kerngebiet unserer §YKulturunion§W;;;;;;;;;;;x
unification_casus_belli_short;Liberate $STATE$ ;Libérer $STATE$ ;Befreien Sie $STATE$;;;;;;;;;;;x
POP_PROMOTE_INFO_ON_SEL;$VAL$ have signed up to be $WHO$ in $WHERE$ recently.;Aujourd'hui, $VAL$ ont signé pour être $WHO$ à $WHERE$.;$VAL$ haben sich heute in $WHERE$ angemeldet, um $WHO$ zu werden.;;;;;;;;;;;x
POP_LEAVE_INFO_ON_SEL;$VAL$ have stopped being $WHO$ in $WHERE$ recently.;Aujourd'hui, $VAL$ ont cessé d'être $WHO$ à $WHERE$.;$VAL$ haben heute in $WHERE$ aufgehört, $WHO$ zu sein.;;;;;;;;;;;x
DOMINION;Dominion;Dominion;Dominion;;;;;;;;;;;x
SATELLITE;Satellite;Satellite;Satellitenstaat;;;;;;;;;;;x
DOMINION_OF_NOCOLOR;Dominion of;Dominion de;Dominion von;;;;;;;;;;;x
SATELLITE_OF_NOCOLOR;Satellite of;Satellite de;Satellitenstaat von;;;;;;;;;;;x
DIPLOMACY_CANNOT_SET_PRIO_MYVASSAL;They are a §Y$TYPE$§W of ours and are always in our §YSphere of Influence§W;Ils constituent l'un de nos §Y$TYPE$§W et sont toujours dans notre §Ysphère d'influence§W;Sie sind ein §Y$TYPE$§W und gehören daher auf immer zu unserer §YEinflusssphäre§W;;;;;;;;;;;x
DIPLOMACY_TRUCE_WITH;Truce with:;Trêve avec :;Waffenruhe mit:;;;;;;;;;;;x
DIPLOMACY_CASUSBELLIS;Casus bellis:;Casus bellis :;Kriegsgründe:;;;;;;;;;;;x
