immigration_policy;Immigration Policy;Immigration Policy;Immigration Policy;;Immigration Policy;;;;;;;;;x,,,,,
nobody_gets_out;Nobody Gets Out;Charcutage électoral;Wahlkreisschiebungen;;División fraudulenta de distritos;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
nobody_gets_out_l;Nobody Gets Out;Charcutage électoral;Wahlkreisschiebungen;;División fraudulenta de distritos;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
nobody_gets_out_desc;Nobody gets out of here alive. Not legally, anyway.;Les circonscriptions électorales sont délibérément modifiées à des fins électorales, ce qui signifie que les voix pour le parti dirigeant comptent davantage. Le parti dirigeant peut recourir au charcutage électoral pour que la population vote pour lui.;Wahlkreise oder -bezirke werden für Wahlen nach Belieben modifiziert. Als Resultat daraus zählen die Stimmen für die Regierungspartei mehr. Die Regierungspartei kann Wahlkreisschiebungen einsetzen, um die Bevölkerung dazu zu bewegen, für sie zu stimmen.;;Se modifican de manera deliberada los distritos o las fronteras electorales con fines interesados, lo que significa que los votos para el partido gobernante tienen más valor. El partido gobernante puede utilizar esta práctica para conseguir que la gente lo vote.;;;;;;;;;x;;;;;;;;;;;;;;
good_envir_desc;The dumping or emissions of all dangerous substances are strictly controlled, and violation of pollution laws carries hefty penalties.;Strict Standards;Strict Standards;;Strict Standards;;;;;;;;;x;;;;;;;;;;;;;;,,,,
pollution;Pollution;Pollution;Pollution;;Pollution;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor_illegal;Illegal;Illegal;Illegal;;Illegal;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor_illegal_l;Child Labor Illegal;Illegal;Illegal;;Illegal;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor_illegal_desc;Child Labor is viewed as immoral and is illegal.;Illegal;Illegal;;Illegal;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor_restricted;Restricted;Restricted;Restricted;;Restricted;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor_restricted_l;Child Labor Restricted;Child Labor Restricted;Child Labor Restricted;;Child Labor Restricted;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor_restricted_desc;Children cannot work in certain dangerous professions.;Restricted;Restricted;;Restricted;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor_legal;Legal;Legal;Legal;;Legal;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor_legal_l;Child Labor Legal;Legal;Legal;;Legal;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor_legal_desc;No child labor regulation exists.;Illegal;Illegal;;Illegal;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
child_labor;Child Labor;Child Labor;Child Labor;;Child Labor;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
trial_no;No Trials;No Trials;No Trials;;No Trials;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
trial_no_l;No Trials;No Trials;No Trials;;No Trials;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
trial_no_desc;The accused does not have the right to a trial.;No Trials;No Trials;;No Trials;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
trial_yes;Trials;Trials;Trials;;Trials;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
trial_yes_l;Trials;Trials;Trials;;Trials;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
trial_yes_desc;The accused has a right to a trial by an impartial jury of his peers;Trials;Trials;;Trials;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
right_to_trial;Justice;Justice;Justice;;Justice;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
bear_arms;Right to Bear Arms;Right to Bear Arms;Right to Bear Arms;;Right to Bear Arms;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
bear_arms_l;Right to Bear Arms;Right to Bear Arms;Right to Bear Arms;;Right to Bear Arms;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
bear_arms_desc;Citizens have the right to bear arms. Anyone can own a gun.;Right to Bear Arms;Right to Bear Arms;;Right to Bear Arms;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
some_controls;Some Controls;Some Controls;Some Controls;;Some Controls;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
some_controls_l;Some Controls;Some Controls;Some Controls;;Some Controls;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
some_controls_desc;The government regulates gun sales and ownership in an attempt to keep them out of the hands of criminals.;Some Controls;Some Controls;;Some Controls;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
guns_banned;Guns Banned;Guns Banned;Guns Banned;;Guns Banned;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
guns_banned_l;Guns Banned;Guns Banned;Guns Banned;;Guns Banned;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
guns_banned_desc;Small arms and concealable weapons are illegal.;Guns Banned;Guns Banned;;Guns Banned;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
gun_control;Gun Control;Gun Control;Gun Control;;Gun Control;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_endowment;No Endowment;No Endowment;No Endowment;;No Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_endowment_l;No Endowment;No Endowment;No Endowment;;No Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_endowment_desc;The arts are privated funded.;No Endowment;No Endowment;;No Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
small_endowment;Small Endowment;Small Endowment;Small Endowment;;Small Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
small_endowment_l;Small Endowment;Small Endowment;Small Endowment;;Small Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
small_endowment_desc;The government provides a trinket sum for the arts.;Small Endowment;Small Endowment;;Small Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
medium_endowment;Medium Endowment;Medium Endowment;Medium Endowment;;Medium Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
medium_endowment_l;Medium Endowment;Medium Endowment;Medium Endowment;;Medium Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
medium_endowment_desc;Artists are moderately subsidized by the government.;Medium Endowment;Medium Endowment;;Medium Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
large_endowment;Large Endowment;Large Endowment;Large Endowment;;Large Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
large_endowment_l;Large Endowment;Large Endowment;Large Endowment;;Large Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
large_endowment_desc;Artists are heavily supported by the government.;Large Endowment;Large Endowment;;Large Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
massive_endowment;Massive Endowment;Massive Endowment;Massive Endowment;;Massive Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
massive_endowment_l;Massive Endowment;Massive Endowment;Massive Endowment;;Massive Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
massive_endowment_desc;There's a museum on every street corner.;Large Endowment;Large Endowment;;Large Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
arts_endowment;Arts Endowment;Arts Endowment;Arts Endowment;;Arts Endowment;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
unemployment_subsidies;Unemployment;Allocations chômage;Arbeitlosenunterstützung;;Subsidios de desempleo;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
safety_regulations;Safety;Règles de sécurité;Sicherheitsvorschriften;;Legislación de seguridad laboral;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
good_safety;Excellent Safety;Excellentes règles de sécurité;Hervorragende Sicherheitsvorschriften;;Excelente;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
proportional_representation;Proportional;Proportionnelle;Proportional;;Proporcional;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
limited;Limited Minority Rights;;;;;;;;;;;;x,,,,,
limited_l;Limited Minority Rights;;;;;;;;;;;;x,,,,,
limited_desc;Minorities are protected by a limited array of laws, but given far less rights than full citizens.;;;;;;;;;;;;x,,,,
naturalization;Naturalization;;;;;;;;;;;;x,,,,,
naturalization_l;Naturalization;;;;;;;;;;;;x,,,,,
naturalization_desc;It is possible for immigrants not born in the country to become full citizens, provided they have been residents for an extended period.;;;;;;;;;;;;x,,,,
education;Education;;;;;;;;;;;;x,,,,,
elite;Elite Only;;;;;;;;;;;;x,,,,,
elite_l;Elite Only;;;;;;;;;;;;x,,,,,
elite_desc;Only the wealthy elite of the country have access to a proper education.;;;;;;;;;;;;x,,,,,
church;Religious Education;;;;;;;;;;;;x,,,,,
church_l;Religious Education;;;;;;;;;;;;x,,,,,
church_desc;Education is possible for those outside of the wealthy elite, but only via religious institutions.;;;;;;;;;;;;x,,,,
public;Public Education;;;;;;;;;;;;x,,,,,
public_l;Public Education;;;;;;;;;;;;x,,,,,
public_desc;Everyone has an equal opportunity at education.;;;;;;;;;;;;x,,,,,
movement_no_slavery;Abolitionist Movement;Mouvement abolitionniste;Anti-Sklaverei-Bewegung;;;;;;;;;;;x,,,,,
movement_nobody_gets_out;Movement for Immigration Restriction;;;;;;;;;;;;;x,,,,,
movement_quota_immigration;Movement for Immigration Reform;;;;;;;;;;;;;x,,,,,
movement_open_immigration;Movement for Immigration Reform;;;;;;;;;;;;;x,,,,,
movement_naturalization;Movement for Immigration Reform;;;;;;;;;;;;;x,,,,,
movement_mandatory_service;'Everyone Must Serve!' Movement;;;;;;;;;;;;;x,,,,,
movement_four_year_draft;Movement for Draft Reform;;;;;;;;;;;;;x,,,,,
movement_two_year_draft;Movement for Draft Reform;;;;;;;;;;;;;x,,,,,
movement_one_year_draft;Movement for Draft Reform;;;;;;;;;;;;;x,,,,,
movement_no_draft;Military Service Abolitionists;;;;;;;;;;;;;x,,,,,
movement_oppression;Cultural Purity Movement;;;;;;;;;;;;;x,,,,,
movement_limited;Minority Rights Movement;;;;;;;;;;;;;x,,,,,
movement_protected;Minority Rights Movement;;;;;;;;;;;;;x,,,,,
movement_no_controls;Industrial Freedom Campaign;;;;;;;;;;;;;x,,,,,
movement_trinket_envir;Anti-Pollution League;;;;;;;;;;;;;x,,,,,
movement_low_envir;Anti-Pollution League;;;;;;;;;;;;;x,,,,,
movement_acceptable_envir;Anti-Pollution League;;;;;;;;;;;;;x,,,,,
movement_good_envir;Anti-Pollution League;;;;;;;;;;;;;x,,,,,
movement_child_labor_legal;Industrial Freedom Campaign;;;;;;;;;;;;;x,,,,,
movement_child_labor_restricted;Child Labor Abolition Movement;;;;;;;;;;;;;x,,,,,
movement_child_labor_illegal;Child Labor Abolition Movement;;;;;;;;;;;;;x,,,,,
movement_elite;Education Restriction Movement;;;;;;;;;;;;;x,,,,,
movement_church;Education Reform Movement;;;;;;;;;;;;;x,,,,,
movement_public;Education Reform Movement;;;;;;;;;;;;;x,,,,,
movement_no_endowment;Fiscal Responsibility League;;;;;;;;;;;;;x,,,,,
movement_small_endowment;Cultural Movement;;;;;;;;;;;;;x,,,,,
movement_medium_endowment;Cultural Movement;;;;;;;;;;;;;x,,,,,
movement_large_endowment;Cultural Movement;;;;;;;;;;;;;x,,,,,
movement_massive_endowment;Movement for the Promotion of the Arts;;;;;;;;;;;;;x,,,,,
modern_weapons;Modern weapons;;;;;;;;;;;;;x,,,,,
modern_weapons_desc;The best weapons foreign nations have to offer;;;;;;;;;;;;;x,,,,,
naval_architecture;Naval architecture;;;;;;;;;;;;;x,,,,,
naval_architecture_l;Naval architecture;;;;;;;;;;;;;x,,,,,
traditional;Traditional;;;;;;;;;;;;;x,,,,,
traditional_desc;Simple ship design;;;;;;;;;;;;;x,,,,,
scientific;Scientific;;;;;;;;;;;;;x,,,,,
scientific_desc;Advanced ship design;;;;;;;;;;;;;x,,,,,
naval_facilities;Naval facilities;;;;;;;;;;;;;x,,,,,
naval_facilities_l;Naval facilities;;;;;;;;;;;;;x,,,,,
no_naval_bases;Non-existent;;;;;;;;;;;;;x,,,,,
no_naval_bases_desc;Primitive port capabilities;;;;;;;;;;;;;x,,,,,
yes_naval_bases;Naval bases;;;;;;;;;;;;;x,,,,,
yes_naval_bases_desc;Able to build military ports;;;;;;;;;;;;;x,,,,,
advanced_foreign_navies;Advanced foreign navies;;;;;;;;;;;;;x,,,,,
advanced_foreign_navies_desc;The best ships that we can purchase;;;;;;;;;;;;;x,,,,,
academic_institutions;Academic institutions;;;;;;;;;;;;;x,,,,,
academic_institutions_l;Academic institutions;;;;;;;;;;;;;x,,,,,
nonexistent;None;;;;;;;;;;;;;x,,,,,
nonexistent_desc;Traditional education methods only;;;;;;;;;;;;;x,,,,,
madrasahs;Madrasahs;;;;;;;;;;;;;x,,,,,
madrasahs_desc;Simple schooling institutions;;;;;;;;;;;;;x,,,,,
universities;Universities;;;;;;;;;;;;;x,,,,,
universities_desc;Advanced centers of learning;;;;;;;;;;;;;x,,,,,
medicine_reform;Medical reform;;;;;;;;;;;;;x,,,,,
medicine_reform_l;Medical reform;;;;;;;;;;;;;x,,,,,
herbalism;Herbalism;;;;;;;;;;;;;x,,,,,
herbalism_desc;Only traditional medicines allowed;;;;;;;;;;;;;x,,,,,
alchemy;Imported medicines;;;;;;;;;;;;;x,,,,,
alchemy_desc;Foreign pharmaceuticals are permitted;;;;;;;;;;;;;x,,,,,
foreign_surgeons;Foreign surgeons;;;;;;;;;;;;;x,,,,,
foreign_surgeons_desc;Foreign doctors are permitted to practice;;;;;;;;;;;;;x,,,,,
taxation_reform;Taxation reform;;;;;;;;;;;;;x,,,,,
taxation_reform_l;Taxation reform;;;;;;;;;;;;;x,,,,,
tribute;Tribute;;;;;;;;;;;;;x,,,,,
tribute_desc;Collected through traditional means;;;;;;;;;;;;;x,,,,,
tax_farmers;Taxed goods;;;;;;;;;;;;;x,,,,,
tax_farmers_desc;Organized system to tax farmers;;;;;;;;;;;;;x,,,,,
tax_inspectors;Tax inspectors;;;;;;;;;;;;;x,,,,,
tax_inspectors_desc;Modern taxation system;;;;;;;;;;;;;x,,,,,
diplomatic_reform;Diplomatic reform;;;;;;;;;;;;;x,,,,,
diplomatic_reform_l;Diplomatic reform;;;;;;;;;;;;;x,,,,,
isolationism;Isolationism;;;;;;;;;;;;;x,,,,,
isolationism_desc;We shall interact with no other nations;;;;;;;;;;;;;x,,,,,
interactive;Interactive;;;;;;;;;;;;;x,,,,,
interactive_desc;We can ignore the rest of the world no longer;;;;;;;;;;;;;x,,,,,
disciplinary_reform;Disciplinary reform;;;;;;;;;;;;;x,,,,,
disciplinary_reform_l;Disciplinary reform;;;;;;;;;;;;;x,,,,,
punishment;Retribution;;;;;;;;;;;;;x,,,,,
punishment_desc;An eye for an eye, no less;;;;;;;;;;;;;x,,,,
rehabilitation;Rehabilitation;;;;;;;;;;;;;x,,,,,
rehabilitation_desc;The concepts of mercy and parole;;;;;;;;;;;;;x,,,,,
