CSA_democracy;The CSA;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
CAL_absolute_monarchy;Kingdom of California;Royaume de Californie;Kingdom of California;;;;;;;;;;x ;
CAL_hms_government;Kingdom of California;Royaume de Californie;Kingdom of California;;;;;;;;;;x ;
USA_absolute_monarchy;Kingdom of America;Royaume d'Amérique;Kingdom of America;;;;;;;;;;x ;
USA_hms_government;Kingdom of America;Royaume d'Amérique;Kingdom of America;;;;;;;;;;x ;
DOM_absolute_monarchy;Santo Domingo;Santo Domingo;Santo Domingo;;;;;;;;;;x ;
DOM_hms_government;Santo Domingo;Santo Domingo;Santo Domingo;;;;;;;;;;x ;
TECH_DAILY_LEADERSHIP_BASE_TOOLTIP;Monthly base leadership: §Y$VALUE$§W;Commandement de base mensuel : §Y$VALUE$§W;Monatliche Basis-Anführerpunkte: §Y$VALUE$§W;;;;;;;;;;x ;
TECH_DAILY_LEADERSHIP_TOTAL_TOOLTIP;Monthly leadership: §G+$VALUE$§W;Commandement mensuel : §G+$VALUE$§W;Monatliche Anführerpunkte: §G+$VALUE$§W;;;;;;;;;;x ;
TECH_DAILY_LEADERSHIP_TOOLTIP;$POPTYPE$ provide §G$VALUE$§W leadership.\n (§Y$FRACTION$%§W of the population, $OPTIMAL$% is optimal.);$POPTYPE$ propose §G$VALUE$§W de commandement.\n (§Y$FRACTION$%§W de la population, $OPTIMAL$% est optimal.);$POPTYPE$ bietet §G$VALUE$§W Anführerpunkte.\n (§Y$FRACTION$%§W der Bevölkerung, $OPTIMAL$% ist optimal.);;;;;;;;;;x ;
MODIFIER_CORE_POP_MILITANCY_MODIFIER;Militancy in Non-Colonial;Militantisme des États non coloniaux;Militanz in Nicht-Koloniestaat;;;;;;;;;;x ;
MODIFIER_CORE_POP_CONSCIOUSNESS_MODIFIER;Consciousness in Non-Colonial;Conscience nationale des États non coloniaux;Bewusstsein in Nicht-Koloniestaat;;;;;;;;;;x ;
MODIFIER_NON_ACCEPTED_POP_MILITANCY_MODIFIER;Militancy for Non-Accepted;Militantisme des cultures non acceptées;Militanz für nicht akzeptierte Kulturen;;;;;;;;;;x ;
MODIFIER_NON_ACCEPTED_POP_CONSCIOUSNESS_MODIFIER;Consciousness for Non-Accepted;Conscience nationale des cultures non acceptées;Bewusstsein für nicht akzeptierte Kulturen;;;;;;;;;;x 
AUS_734;South Tirol;Tyrol du Sud;Südtirol;;;;;;;;;;x 
EVTNAME23212;Comet Sighted;Comète aperçue;Komet gesichtet;;;;;;;;;;x 
EVTDESC23212;A Comet was sighted in the sky, some believe that this portends fell times ahead. Others believe that they are in fact pixie faries floating in the sky. There are also those who believe that this comet is most probably a gaint ball of ice floating through the sky and the long tail is created due to the energy of the sun. The arguements amoungst the three equally viable theories is stimulating the pursuit of knowledge in our country.;Une comète a été aperçue dans le ciel, ce qui selon certains augure de temps difficiles. D'autres croient qu'il s'agit en fait de fées qui flottent dans le ciel. Puis, il y a ceux qui pensent que cette comète est, vraisemblablement, une boule de glace géante qui traverse le ciel et dont la longue queue résulte de l'énergie solaire. Les discussions liées à ces trois théories viables stimulent la soif de connaissance de notre pays.;Am Nachthimmel wurde ein Komet gesichtet, und manche sehen darin ein Omen für die Zukunft. Andere dagegen glauben, dass Kometen Feen sind, die am Himmel schweben, aber es gibt auch solche, die einen Komet für nichts als einen riesigen Eisball halten, der durch den Himmel zieht, und dessen langer Schweif von der Sonnenenergie erzeugt wird. Die Argumente dieser drei Denkansätze stimulieren in unserem Land das Streben nach Wissen.;;;;;;;;;;x 
EVTOPTA23212;Thank God we live in such enlighted times;Dieu merci, nous vivons une période des plus éclairées.;Gott sei Dank leben wir in solch aufgeklärten Zeiten!;;;;;;;;;;x  
EVTNAME60140;Consitutional Convention;Convention constitutionnelle;Konstitutionelle Verfassung;;;;;;;;;;x  
EVTDESC60140;With the liberals firmly in control of our country, they feel that now is the time for a consitutional convention. Everyone's views, well at least everyone who truly matters, will be representend in this new gathering to shape the path of our nations.;Alors que les libéraux tiennent les rênes de notre pays, ils estiment le moment venu pour une convention constitutionnelle. Les vues de chacun, du moins de tous ceux qui importent vraiment, seront représentées dans cette nouvelle assemblée afin de forger la voie de nos nations.;Die Liberalen haben unser Land fest im Griff, und sie glauben, dass es jetzt an der Zeit für eine konstitutionelle Verfassung ist. In dieser neuen Verfassung, die den zukünftigen Weg unserer Nation eben wird, werden die Meinungen aller repräsentiert sein, zumindest jener, auf deren Meinung es wirklich ankommt.;;;;;;;;;;x  
EVTOPTA60140;Otherwise people would exploit the situation;Sinon, les gens exploiteraient la situation.;Ansonsten würde das Volk die Situation ausnutzen.;;;;;;;;;;x  
become_guatemala_title;Become Guatemala;Devient le Guatemala;Werden Sie Guatemala;;;;;;;;;;x  
BUDGET_STOCKPILE_YESTERDAYS;Yesterdays purchases for stockpile:;Achats d'hier pour les réserves :;Gestrige Vorratskäufe:;;;;;;;;;;x
become_guatemala_desc;The dream of a united central america has died. The other provinces were too concerned about being dominated by Guatemala to realise the sacrifices we had made to keep the union alive. Well no more.We are done with them. Guatemala will find its own destiny.;Le rêve d'une Amérique centrale unie a volé en éclats. Les autres provinces étaient trop inquiètes par une éventuelle domination du Guatemala pour comprendre les sacrifices concédés pour préserver l'union. Eh bien, voilà. On a en fini avec elles. Le Guatemala trouvera son propre destin.;Der Traum eines vereinigten Zentralamerikas ist tot. Die anderen Provinzen waren zu sehr mit der Dominanz Guatemalas beschäftigt, um sich der Opfer gewahr zu werden, die wir zur Beibehaltung der Union gebracht hatten. Jetzt ist es genug. Wir sind fertig mit ihnen. Guatemala wird seine eigenes Schicksal schmieden.;;;;;;;;;;x  
MOR_1683;Taza;Taza;Taza;;;;;;;;;;x
LAG_PAUSE;$PLAYER$ is lagging behind, pausing game.;$PLAYER$ est à la traîne, partie en pause.;$PLAYER$ hat Verbindungsprob., Spiel wird pausiert.;;;;;;;;;;x
LAG_DECREASE_SPEED;$PLAYER$ is lagging behind, decreasing speed.;$PLAYER$ est à la traîne, ralentissement.;$PLAYER$ hat Verbindungsprobl., Spielgeschw. wird reduziert.;;;;;;;;;;x
PAUSED_BY;§Y$PLAYER$§W paused the game.;§Y$PLAYER$§W a mis la partie en pause.;§Y$PLAYER$§W pausiert das Spiel.;;;;;;;;;;x
WARGOAL_OTHER_ACCEPT_SETUP;When a nation adds a wargoal in a war.;Si une nation ajoute un objectif de guerre.;Wenn eine Nation in einem Krieg ein Kriegsziel hinzufügt.;;;;;;;;;;x
WARGOAL_THEY_ACCEPT_SETUP;When we add a wargoal against another nation.;Si nous ajoutons un objectif de guerre contre une autre nation.;Wenn wir ein Kriegsziel gegen eine andere Nation hinzufügen.;;;;;;;;;;x;
WARGOAL_WE_ACCEPT_SETUP;When a nation adds a wargoal against us..;Si une nation ajoute un objectif de guerre contre nous.;Wenn eine Nation ein Kriegsziel gegen uns hinzufügt.;;;;;;;;;;x;
status_quo_setup;All we ask is to be left alone;Nous demandons juste à ce qu'on nous laisse tranquilles.;Wir wollen nur in Ruhe gelassen werden.;;;;;;;;;;x;
PROV3041;Argentine Rise;Soulèvement de l'Argentine;Argentinisches Seegebirge;;;;;;;;;;;x
TUR_819;West Macedonia;Macédoine de l'Ouest;Westmazedonien;;;;;;;;;;;x
TUR_806;North Macedonia;Macédoine du Nord;Nordmazedonien;;;;;;;;;;;x
GUNBOAT_OTHER_ACCEPT_LOG;$ACTOR$ is using gunboats to force $RECIPIENT$ to pay their debt!;$ACTOR$ utilise des canonnières pour obliger $RECIPIENT$ à rembourser sa dette !;$ACTOR$ setzt Kanonenbootpolitik ein, um $RECIPIENT$ zur Rückzahlung ihrer Schulden zu zwingen!;;;;;;;;;;;x
GUNBOAT_THEY_ACCEPT_LOG;We are using gunboats to force $RECIPIENT$ to pay their debt!;Nous utilisons des canonnières pour obliger $RECIPIENT$ à rembourser sa dette !;Wir setzen Kanonenbootpolitik ein, um $RECIPIENT$ zur Rückzahlung ihrer Schulden zu zwingen!;;;;;;;;;;;x
GUNBOAT_WE_ACCEPT_LOG;$ACTOR$ is using gunboats to force us to pay back our debt!;$ACTOR$ utilise des canonnières pour nous obliger à rembourser notre dette !;$ACTOR$ setzt Kanonenbootpolitik ein, um uns zur Rückzahlung unserer Schulden zu zwingen!;;;;;;;;;;;x
