;;;;;;;;;;;;x,,,
steam_kettles_desc;Steam kettles are a good way to boil water, whether you want to make tea, or provide steam for an industrial process.;;;;;;;;;;;;x,
power_conversion;Power Conversion;;;;;;;;;;;;x,,,
power_conversion_desc;Power conversion is the key to our future. Is there a limit we can use it for?;;;;;;;;;;;;x,,,
Luxury_tours;Luxury Tours;;;;;;;;;;;;x,,,
Luxury_tours_desc;Our clipper convoys can take people all over the world.;;;;;;;;;;;;x,,,
Private_transport;Private Transport;;;;;;;;;;;;x,,,
Private_transport_desc;Steam turbines aren't just good for industrial ventures. We can use them for cruise ships, too!;;;;;;;;;;;;x,,
Domestic_grid;Domestic Grid;;;;;;;;;;;;x,,,
Domestic_grid_desc;Small scale electrical grids are becoming available, and where there's power, there's ways to use it to meet our needs and desires.;;;;;;;;;;;;x,
viva_capitalism;Viva Capitalism;;;;;;;;;;;;x,,,
viva_capitalism_desc;Long live capitalism!;;;;;;;;;;;;x,,,
Consumer_machinery;Consumer Machinery;;;;;;;;;;;;x,,,
Consumer_machinery_desc;More machinery is becoming available for use by our citizens in their everyday occupations.;;;;;;;;;;;;x,,,
culture_of_conformity;Culture of Conformity;;;;;;;;;;;;x,,,
culture_of_conformity_desc;The expression “Keeping up with the Joneses” may not have existed in the 19th century, but the idea behind it surely did.;;;;;;;;;;;;x,,
mass_consumption;Mass Consumption;;;;;;;;;;;;x,,,
mass_consumption_desc;People keep consuming. As long as there are wants, there will be customers.;;;;;;;;;;;;x,,
age_of_plenty;Age of Plenty;;;;;;;;;;;;x,,,
age_of_plenty_desc;In this age there's enough of everything to go around. In our nation at least.;;;;;;;;;;;;x,,,
gun_sports;Gun Sports;;;;;;;;;;;;x,,,
gun_sports_desc;Guns are not just for fighting... many people enjoy a good hunt!;;;;;;;;;;;;x,,,
coal_delivery;Coal Delivery;;;;;;;;;;;;x,,,
coal_delivery_desc;There's an ever bigger demand for coal, and home delivery services are coming on the market that allow our people to use coal to heat their homes and offices.;;;;;;;;;;;;x,,
iron_goods;Iron Goods;;;;;;;;;;;;x,,,
iron_goods_desc;We're learning more and more ways of incorporating iron into our lives, both industrially and for consumer goods.;;;;;;;;;;;;x,,
Steel_cans;Steel Cans;;;;;;;;;;;;x,,,
Steel_cans_desc;The steel can: a thing of simplicity and beauty that allows us to keep food for much longer.;;;;;;;;;;;;x,,,
Alloyed_goods;Alloyed Goods;;;;;;;;;;;;x,,,
Alloyed_goods_desc;More and more alloys have come on the market, allowing us to build superior goods for superior prices.;;;;;;;;;;;;x,,
Age_of_steel;Age of Steel;;;;;;;;;;;;x,,,
Age_of_steel_desc;The age of steel is upon us, and there is no limit to what we can build with this miracle metal.;;;;;;;;;;;;x,,
Inefficient_goods_transport;Inefficient Goods Transport;;;;;;;;;;;;x,,,
Inefficient_goods_transport_desc;Early railroads were a far cry from the advanced lines of the modern age. Still, it beat using a horse and buggy.;;;;;;;;;;;;x,,
Package_tours;Package Tours;;;;;;;;;;;;x,,,
Package_tours_desc;Small scale railways are starting to offer vacations to our citizens.;;;;;;;;;;;;x,,,
Package_Holidays;Package Holidays;;;;;;;;;;;;x,,,
Package_Holidays_desc;Cheap vacations come within reach as our railway network expands, increasing consumer spending drastically.;;;;;;;;;;;;x,,
cheap_transit;Cheap Transit;;;;;;;;;;;;x,,,
cheap_transit_desc;As railways are getting cheaper, goods become more and more plentiful for the average citizen.;;;;;;;;;;;;x,,
mass_transit;Mass Transit;;;;;;;;;;;;x,,,
mass_transit_desc;Enormous railway tracks crisscross the nation, bringing goods to all major cities and towns.;;;;;;;;;;;;x,,
Truck_transport;Truck Transport;;;;;;;;;;;;x,,,
Truck_transport_desc;Small trucks are starting to transport goods around the country, bringing ever more goods into consumer's reach and further increasing demands.;;;;;;;;;;;;x,,
medical_science;Medical Science;;;;;;;;;;;;x,,,
medical_science_desc;Recent breakthroughs in medical sciences are spurring more consumer demand in pharmaceuticals, from salves and common potions to the most expensive miracle cures!;;;;;;;;;;;;x,,
cheap_paint;Cheap Paint;;;;;;;;;;;;x,,,
cheap_paint_desc;Who doesn't want some paint for their walls?;;;;;;;;;;;;x,,,
parafin;Parafin;;;;;;;;;;;;x,,,
parafin_desc;Parafin can be used for just about anything.;;;;;;;;;;;;x,,,
coco_chanel;Coco Chanel;;;;;;;;;;;;x,,,
coco_chanel_desc;Science advancements have turned the art of smell into many delicious fragrances.;;;;;;;;;;;;x,,,
establishing_priorities;Establishing Priorities;;;;;;;;;;;;x,,,
establishing_priorities_desc;Figuring out what is important in life allows people to make better decisions, and free more money for investment and consumer spending.;;;;;;;;;;;;x,,
do_more_with_less;Do More With Less;;;;;;;;;;;;x,,,
do_more_with_less_desc;Being frugal is more than a habit, it's a way of life.;;;;;;;;;;;;x,,
budgeting;Budgeting;;;;;;;;;;;;x,,,
budgeting_desc;Making a budget is hard. Sticking to one is harder still.;;;;;;;;;;;;x,,,
limitless_ambition;Limitless Ambition;;;;;;;;;;;;x,,,
limitless_ambition_desc;A man can never desire enough, can he?;;;;;;;;;;;;x,,
deepest_desires;Deepest Desires;;;;;;;;;;;;x,,,
deepest_desires_desc;Introspection helps you discover your deepest wants and desires.;;;;;;;;;;;;x,,,
popular_culture;Popular Culture;;;;;;;;;;;;x,,,
popular_culture_desc;Popular culture is encouraging our citizens to spend more and more money on goods as their standard of living rises.;;;;;;;;;;;;x,,,
Armoured_fist_doctrine;Armoured Fist Doctrine;;;;;;;;;;;;x,,,
Armoured_fist_doctrine_desc;Who needs to move a tank quickly when it can destroy anything it sees?;;;;;;;;;;;;x,,,
home_rifle_smiths;Home Rifle Smiths;;;;;;;;;;;;x,,,
home_rifle_smiths_desc;By using our limited battle experience we can set up small scale weapons manufacturies.;;;;;;;;;;;;x,,,
small_scale_riflemaking;Small Scale Riflemaking;;;;;;;;;;;;x,,,
small_scale_riflemaking_desc;Expanding on our experience in matters of war we can improve output in making arms.;;;;;;;;;;;;x,,,
rifle_war_experience;Rifle War Experience;;;;;;;;;;;;x,,,
rifle_war_experience_desc;Using our substantial experience in warfare allows us to produce weapons more efficiently than less warlike nations.;;;;;;;;;;;;x,,,
advanced_riflemaking;Advanced Riflemaking;;;;;;;;;;;;x,,,
advanced_riflemaking_desc;We have perfected small arms manufacturing to an artform.;;;;;;;;;;;;x,,,
improved_artillery_manufacturing;Improved Artillery Manufacturing;;;;;;;;;;;;x,,,
improved_artillery_manufacturing_desc;As artillery improved, so did its manufacture.;;;;;;;;;;;;x,,
practical_artillery_experience;Practical Artillery Experience;;;;;;;;;;;;x,,,
practical_artillery_experience_desc;You see, the end of the barrel goes towards them,not us!;;;;;;;;;;;;x,
advanced_target_practice;Advanced Target Practice;;;;;;;;;;;;x,,,
advanced_target_practice_desc;Fore!;;;;;;;;;;;;x,,,
heavy_artillery_making;Heavy Artillery Production;;;;;;;;;;;;x,,,
heavy_artillery_making_desc;Bigger. Better. More Production.;;;;;;;;;;;;x,,,
basic_ship_building_R&D;Basic Ship Building R&D;;;;;;;;;;;;x,,,
basic_ship_building_R&D_desc;early production techniques were aided by increasing ship research.;;;;;;;;;;;;x,,,
School_of_manuever;School of Maneuver;;;;;;;;;;;;x,,,
School_of_manuever_desc;The advent of Tank warfare led to a new school of thought-that impressive speed and superior positioning would win the day in military clashes;;;;;;;;;;;;x,,,
School_of_firepower;School of Firepower;;;;;;;;;;;;x,,,
school_of_firepower_desc;The awe-inspiring destructive capability of modern weaponry gave new credence to the School of Firepower.;;;;;;;;;;;;x,,,
improved_ship_building_R&D;Improved Ship Building R&D;;;;;;;;;;;;x,,,
improved_ship_building_R&D_desc;With advanced warships came advanced supply output.;;;;;;;;;;;;x,,,
late_colonial_ships;Late Colonial Ships;;;;;;;;;;;;x,,,
late_colonial_ships_desc;Ships with ever increasing naval ranges meant new methods of supply manufacture had to be devised.;;;;;;;;;;;;x,,,
early_modern_oil_ship;Early Modern Oil Ship;;;;;;;;;;;;x,,,
early_modern_oil_ship_desc;New advances in mobile refueling soon gave way to new advances in naval supply production.;;;;;;;;;;;;x, too!;;;;;;;;;;;;x,,
ship_artillery_making;Ship Artillery Production;;;;;;;;;;;;x,,,
ship_artillery_making_desc;The massive cannons required on warships ultimately led to more improvements in artillery production overall.;;;;;;;;;;;;x, resulting in more stable and fruitful marital unions.;;;;;;;;;;;;x,,
ship_cannon_building;Ship Cannon Building;;;;;;;;;;;;x,,,
ship_cannon_building_desc;As naval weaponry became larger and larger, so did its means of production.;;;;;;;;;;;;x,,
late_colonial_armaments_industry;Late Colonial Armaments Industry;;;;;;;;;;;;x,,,
late_colonial_armaments_industry_desc;Colonial ventures required arms production, but standard procedures often fell short. Thus, new methods were devised.;;;;;;;;;;;;x,
modern_armaments_industry;Modern Armaments Industry;;;;;;;;;;;;x,,,
modern_armaments_industry_desc;The modern armaments industry saw impressive gains in arms production.;;;;;;;;;;;;x,,,
private_coin_issuance;Private Coin Issuance;;;;;;;;;;;;x,,,
private_coin_issuance_desc;Small scale coin minting is giving more uses for our gold and precious metal.;;;;;;;;;;;;x,,,
private_mints;Private Mints;;;;;;;;;;;;x,,,
private_mints_desc;Banks are starting to issue their own coins made of gold and silver.;;;;;;;;;;;;x,,,
gold_backed_notes;Gold Backed Notes;;;;;;;;;;;;x,,,
gold_backed_notes_desc;Why carry heavy gold coins around if you can use a paper note backed by gold in a vault? It also allows us to further leverage our reserves.;;;;;;;;;;;;x,,,
inflationary_measures;Inflationary Measures;;;;;;;;;;;;x,,,
inflationary_measures_desc;Inflation is becoming more and more common as our money supply is growing.;;;;;;;;;;;;x,,,
cheap_retirement_planning;Cheap Retirement Planning;;;;;;;;;;;;x,,,
cheap_retirement_planning_desc;Because children are the future. And your retirement insurance;;;;;;;;;;;;x,,,
family_values;Family Values;;;;;;;;;;;;x,,,
family_values_desc;New psychological theory has further reinforced the importance of a stable family unit.;;;;;;;;;;;;x,,,
coal_power;Coal Power;;;;;;;;;;;;x,,,
coal_power_desc;Coal-powered turbines, the very driving force behind the industrialization of the western world.;;;;;;;;;;;;x,,
genetics_hereditary;Hereditary Genetics;;;;;;;;;;;;x,,,
genetics_hereditary_desc;Understanding of genetics and the role it plays in biological traits has improved our medicine.;;;;;;;;;;;;x,,,
bakery_power;Bakeries and Mills;;;;;;;;;;;;x,,,
bakery_power_desc;With natural power being harnessed to help process food, our people are taking the first small steps towards a culture of commercial consumption.;;;;;;;;;;;;x,,
combine_harvesters;Powered Combine;;;;;;;;;;;;x,,,
combine_harvesters_desc;With George Stockton Berry's use of a steam engine in a combine harvester, the potential harvest of a single worker increased dramatically.;;;;;;;;;;;;x,,
EVTNAME44122;Webster-Ashburton Treaty;;;;;;;;;;;;x,,,
EVTDESC44122;This treaty resolved several border disputes between the United States and the United Kingdom. In particular, it clearly established the border between Maine and New Brunswick.;;;;;;;;;;;;x,,
EVTOPTA44122;Great!;;;;;;;;;;;;x,,,
EVTNAME44123;Oregon Treaty;;;;;;;;;;;;x,,,
EVTDESC44123;This treaty resolved the Oregon boundary dispute between the United States and the United Kingdom. The two parties agreed to split the territory along the 49th parallel.;;;;;;;;;;;;x,,,
EVTOPTA44123;Great!;;;;;;;;;;;;x,,,
EVTNAME44124;54-40 or Fight!;;;;;;;;;;;;x,,,
EVTDESC44124;American settlement of northern Oregon territory is creating a political crisis. Attempts to peacefully resolve the Oregon boundary dispute have failed.;;;;;;;;;;;;x,,,
EVTOPTA44124;Oregon shall be mine!;;;;;;;;;;;;x,,,
EVTOPTB44124:They do have a point.;;;;;;;;;;;;x,,,
EVTNAME9999999989;Inflationary Crisis;;;;;;;;;;;;x,,,
EVTDESC9999999989;Poor decisions made at the Treasury Office have led to a dangerous surplus of money in the country. As the value of your currency is begins to tumble, the only option is a massive devaluation.;;;;;;;;;;;;x,,
EVTOPTA9999999989;Blast!;;;;;;;;;;;;x,,,
EVTNAME99999999999;Money Injection;;;;;;;;;;;;x,,,
EVTDESC99999999999;Upon discovering that no single person in the world has any money, they have all raided their grandparents stockings to get at those savings.;;;;;;;;;;;;x,,
EVTOPTA9999999999;Great!;;;;;;;;;;;;x,,,
EVTNAME225002;Recession;;;;;;;;;;;;x,,,
EVTDESC225002;The economy has fallen into recession. Bankers are weeping everywhere.;;;;;;;;;;;;x,,,
EVTOPTA225002;Time for a speech about tightening belts.;;;;;;;;;;;;x,,,
EVTNAME225001;Bull Market;;;;;;;;;;;;x,,,
EVTDESC225001;The markets are bullish, and investments in industry are prospering.;;;;;;;;;;;;x,,
EVTOPTA225001;How Profitable!;;;;;;;;;;;;x,,,
Waking_the_dragon_title;Waking The Dragon;;;;;;;;;;;;x,,,
Waking_the_dragon_desc;The oppressive shackles of the western world must be thrown off. It is time for China to retake its rightful place as the center of the world!;;;;;;;;;;;;x,,,
patrimonium_petri_title;Patrimonium Sancti Petri;;;;;;;;;;;;x,,,
patrimonium_petri_desc;Italy will be reunited sooner or later and, if that have to happen, why shouldn't be reunited under the lovely hand of god? But sadly we can't make it alone, and every help will come with it's price;;;;;;;;;;;;x
south_italian_repartition_title;Spartizione delle Sicilie;;;;;;;;;;;;x,,,
south_italian_repartition_desc;Once again the french soldiers will come in handy and, once again, their protection will have a price;;;;;;;;;;;;x,
pact_with_the_devil_title;Patto col diavolo;;;;;;;;;;;;x,,,
pact_with_the_devil_desc;Sometimes, in order to achieve a greater good for it's sheeps, even a minister have to sign a pact with the Devil;;;;;;;;;;;;x,
brothers_mod_title;Benvenuti fratelli!;;;;;;;;;;;;x,,,
brothers_mod_desc;During the past years our mighty country has grown strong, rich, with an unrivaled culture. Now it seems that everybody wants to be a part of the dream!;;;;;;;;;;;;x,
serfs_mod_title;Benvenuti sudditi!;;;;;;;;;;;;x,,,
serfs_mod_desc;During the past years your mighty kingdom has grown strong, rich, with an unrivaled culture. Now it seems that everybody wants to be a part of your dream!;;;;;;;;;;;;x,
brothers_par_title;Benvenuti fratelli!;;;;;;;;;;;;;x,,,
brothers_par_desc;During the past years our mighty country has grown strong, rich, with an unrivaled culture. Now it seems that everybody wants to be a part of the dream!;;;;;;;;;;;;x,
serfs_par_title;Benvenuti sudditi!;;;;;;;;;;;;x,,,
serfs_par_desc;During the past years your mighty kingdom has grown strong, rich, with an unrivaled culture. Now it seems that everybody wants to be a part of your dream!;;;;;;;;;;;;x,
brothers_luc_title;Benvenuti fratelli!;;;;;;;;;;;;x,,,
brothers_luc_desc;During the past years our mighty country has grown strong, rich, with an unrivaled culture. Now it seems that everybody wants to be a part of the dream!;;;;;;;;;;;;x,
serfs_luc_title;Benvenuti sudditi!;;;;;;;;;;;;x,,,
serfs_luc_desc;During the past years your mighty kingdom has grown strong, rich, with an unrivaled culture. Now it seems that everybody wants to be a part of your dream!;;;;;;;;;;;;x,
accademia_della_crusca_title;Accademia della Crusca;;;;;;;;;;;;x,,,
accademia_della_crusca_desc;The Accademy of the Crusca, the most prertigious center of study for the italian language, would gladly appreciate an economic help from your majesty to keep on with the good work on italian literature's history... and to pay those new paintings for the main hall;;;;;;;;;;;;x,
brothers_tus_title;Benvenuti fratelli!;;;;;;;;;;;;x,,,
brothers_tus_desc;During the past years our mighty country has grown strong, rich, with an unrivaled culture. Now it seems that everybody wants to be a part of the dream!;;;;;;;;;;;;x,
serfs_tus_title;Benvenuti sudditi!;;;;;;;;;;;;x,,,
serfs_tus_desc;During the past years your mighty kingdom has grown strong, rich, with an unrivaled culture. Now it seems that everybody wants to be a part of your dream!;;;;;;;;;;;;x,
plombieres_title;Accordo di Plombières;;;;;;;;;;;;x,,,
plombieres_desc;We should seek french help to kick Austria out of Italy.;;;;;;;;;;;;x,,,
societa_geografica_title;La Societa Geografica Italiana;;;;;;;;;;;;x,,,
societa_geografica_desc;The 11th day of the April of 1867 at florence, by initiative of Cristoforo Negri the Italian Geographic Society was created. Should we spend our money onto this dream?;;;;;;;;;;;;x,,
assab_bay_title;Acquisto della baia di Assaba;;;;;;;;;;;;x,,,
assab_bay_desc;During the 1870 the italian company Rubattino managed to convince the local sultanate of Assab to sell them the city and into 1880 Assab became officially an italian land. Should we finance it?;;;;;;;;;;;;x,,,
massawa_buy_title;Acquisto di Massaua;;;;;;;;;;;;x,,,
massawa_buy_desc;In 1884, when the egyptian government fell under the British forces, Italy managed to buy the city of Massawa from the Great Britain. Should we buy Massawa?;;;;;;;;;;;;x,
african_horn_protectorates_title;I protettorati di Somalia;;;;;;;;;;;;x,,,
african_horn_protectorates_desc;During 1889, thanks to the sultanate of aden, Italy was able to take control of Somalia's coast. Should we pay for it?;;;;;;;;;;;;x,
fiat_title;La Fiat;;;;;;;;;;;;x,,,
fiat_desc;It seems that in Turin someone had the funny idea to create an Automobile Factory... Should we finance them?;;;;;;;;;;;;x,,,
agropontino_bonification_title;La Bonifica dell'Agro-pontino;;;;;;;;;;;;x,,,
agropontino_bonification_desc;The Agro-pontino region into Lazio has allways been an inospitable place and a malary incubator, it's time to resolve this problem once and for all;;;;;;;;;;;;x,,
la_fenice_theater_title;La Fenice;;;;;;;;;;;;x,,,
la_fenice_theater_desc;La Fenice theater is one of the most important italian opera theaters. It's construction began over the ashes of the old San Benedetto Theater burned in 1774 during the June of 1790 and it was finally completed by May 1792 just to burn again in 1836. Should we build it again?;;;;;;;;;;;;x,,,
rome_italy_title;Move the capital to Rome;;;;;;;;;;;;x,,,
rome_italy_desc;The city of Rome is a more fitting capital for our glorious nation.;;;;;;;;;;;;x,,,
financial_services;Financial Services;;;;;;;;;;;;x,,,
national_lifeboat_institutions;National Lifeboat Institutions;;;;;;;;;;;;x,,,
national_lifeboat_institutions_desc;Encouraging use of lifeboats on searfaring vessels drastically reduced deaths at sea and; as a result, fishermen could produce far more easily than before.;;;;;;;;;;;;x,,
coal_powered_fishing_trawlers;Coal Powered Fishing Trawlers;;;;;;;;;;;;x,,,
coal_powered_fishing_trawlers_desc;As coal became the engine of industrialization, it became more and more predominant at sea as well.;;;;;;;;;;;;x,,
turbine_driven_trawlers;Turbine Driven Trawlers;;;;;;;;;;;;x,,,
turbine_driven_trawlers_desc;With new turbines added to trawlers across the country, who needs actual fishermen?;;;;;;;;;;;;x,,
power_transformers;Power Transformers;;;;;;;;;;;;x,,,
power_transformer_descs;The age of Electricity has begun!;;;;;;;;;;;;x,,,
regular;Regular;;;;;;;;;;;;x,,,
regular_short;Reg;;;;;;;;;;;;x,,,
horse_artillery;Mobile Artillery;;;;;;;;;;;;x,,,
horse_artillery_short;M-art;;;;;;;;;;;;x,,,
nv_supremacy;Supremacy;;;;;;;;;;;;x,,,
nv_egalitarianism;Egalitarianism;;;;;;;;;;;;x,,,
nv_military;Military;;;;;;;;;;;;x,,,
nv_security;Security;;;;;;;;;;;;x,,,
nv_fraternity;Fraternity;;;;;;;;;;;;x,,,
colonial_destiny_title;Colonial Destiny;;;;;;;;;;;;x,,,
colonial_destiny_desc;It is the destiny of the Belgian people to civilize the last remaining wilds of the world. To Africa!;;;;;;;;;;;;x,,,
force_publique;Force Publique;;;;;;;;;;;;x,,,
force_publique_title;Form the Force Publique;;;;;;;;;;;;x,,,
force_publique_desc;The Force Publique was the official armed force of the Belgian-controlled Congo Free State. Though ostensibly formed to combat Arab Slavers, the soldiers were often used to enforce economic quotas with brutal punishment.;;;;;;;;;;;;x,,
the_golden_law_title;Enact Lei Aurea;;;;;;;;;;;;x,,,
the_golden_law_desc;Lei Aurea, or the Golden Law, abolished slavery once and for all throughout Brazil. The law contained only two artices; Slavery was to be abolished, and any previous ruling contradicting the first article was now void.;;;;;;;;;;;;x
integration_title;Integration;;;;;;;;;;;;x,,,
integration_desc;The Afro-Brazillian people are becoming an inherent part of Brazillian culture. It is time for them to obtain a modicum of citizenship.;;;;;;;;;;;;x,,,
national_confusion;National Confusion;;;;;;;;;;;;x,,,
national_confusion_desc;There has been a great deal of change in our country. It will take some time to sort things out, before business as usual can resume.;;;;;;;;;;;;x,,
switch_to_might_title;Embrace the Ideal of Might;;;;;;;;;;;;x,,,
switch_to_might_desc;Our people live in a war-torn world. Constant aggression from all sides seeks to hem our great nation in. Only by embracing the magnificence of our armies will we be able to claim our rightful place in the world.;;;;;;;;;;;;x,,,
switch_to_fraternity_title;Embrace the ideal of Fraternity;;;;;;;;;;;;x,,,
switch_to_fraternity_desc;In our country, all men are created equal. It is time we fully embrace that maxim and throw off the shackle of iniquity!;;;;;;;;;;;;x,,
switch_to_order_title;Embrace the ideal of Order;;;;;;;;;;;;x,,,
switch_to_order_desc;Internal strife threatens to break this grand country apart at the seems. Our people clamor for a return to order-it is time to embrace it.;;;;;;;;;;;;x,,,
switch_to_egalitarianism_title;Embrace the ideal of Egalitarianism;;;;;;;;;;;;x,,,
switch_to_egalitarianism_desc;Our country ought to be a shining beacon of freedom for the huddled masses. Our egalitarianism ideals shall be admired throughout the world.;;;;;;;;;;;;x,,,
switch_to_equality_title;Embrace the ideal of Equality;;;;;;;;;;;;x,,,
switch_to_equality_desc;Man is born equal. Once our people endorse the ideal of equality, he will die equal as well.;;;;;;;;;;;;x,,
switch_to_liberty_title;Embrace the Ideal of Liberty;;;;;;;;;;;;x,,,
switch_to_liberty_desc;Our people have long suffered under the yolk of oppression. It is time to slough off those shackles and embrace liberty!;;;;;;;;;;;;x,,,
switch_to_security_title;Embrace the ideal of Security;;;;;;;;;;;;x,,,
switch_to_security_desc;In this frightening age, there is only one body of power strong enough to ensure the safety of the populace across the realm. If we were to embrace the Police State, we could finally eradicate the vestiges of rebellion.;;;;;;;;;;;;x,
switch_to_supremacy_title;Embrace the ideal of Supremacy;;;;;;;;;;;;x,,,
switch_to_supremacy_desc;Our culture is astounding. Our military might is unparalleled. Our industry is dazzling. Shouldn’t the rest of the world bask in our glory?;;;;;;;;;;;;x,,,
declare_neutrality_title;Declare Swiss Neutrality;;;;;;;;;;;;x,,,
declare_neutrality_desc;The Swiss have little interest in the wars of Europe.;;;;;;;;;;;;x,,,
abandon_neutrality_title;Abandon Swiss Neutrality;;;;;;;;;;;;x,,,
abandon_neutrality_desc;The might of the Swiss army is such that we can repel our neighbors without difficulty. Our policy of neutrality is no longer necessary.;;;;;;;;;;;;x,,,
embrace_czech_minority_title;Favor Czecks;;;;;;;;;;;;x,,,
embrace_czech_minority_desc;The Czecks are angered by their unequal status in our empire and are demanding equal treatment.  We can change the laws to address their concerns, but it will make us look weak before the world and anger the Hungarians who do not wish to lose their special status.;;;;;;;;;;;;x,,
embrace_slovone_minority_title;Favor Slovonians;;;;;;;;;;;;x,,,
embrace_slovone_minority_desc;The Slovones are angered by their unequal status in our empire and are demanding equal treatment.  We can change the law to address their concerns but it will make us look weak before the world anger the Hungarians and Czecks who do not wish to lose their elevated status.  The Croats will be permanently alienated by our decision to favor the Slovones over them.;;;;;;;;;;;;x,,,
embrace_croat_minority_title;Favor Croatians;;;;;;;;;;;;x,,,
embrace_croat_minority_desc;The Croatians are angered by their unequal status in our empire and are demanding equal treatment.  We can change the law to address their concerns but it will make us look weak before the world anger the Hungarians and Czecks who do not wish to lose their elevated status.  The Slovenes will be permanently alienated by our decision to favor the Croats over them.;;;;;;;;;;;;x,,,
five_year_plan_title;Five Year Plan;;;;;;;;;;;;x,,,
five_year_plan_desc;A bright industrial future lies ahead for our glorious socialist nation!  We must relentlessly pour our sweat, toil and even blood into our industry and build our way to a glorious paradise.  By setting ambitious five year targets for industrial output we will focus the might of our people.;;;;;;;;;;;;x,,
purge_the_traitors_title;Great Purge;;;;;;;;;;;;x,,,
purge_the_traitors_desc;Counter revolutionary elements are lurking with our officer core, planning to usurp our bold leadership.  We must cut down these dogs before they have a chance to strike in order to safeguard our revolution.;;;;;;;;;;;;x,,
whistle_stop_tour_title;Whistlestop Tour;;;;;;;;;;;;x,,,
whistle_stop_tour_desc;Aren't trains a wonderful way to connect to the people?;;;;;;;;;;;;x,,,
suez_canal_treaty_annuity;Suez Canal Annuity;;;;;;;;;;;;x,,,
suez_canal_treaty_annuity_test;We receive income from the Suez canal once per year.;;;;;;;;;;;;x,,,
agrarianism;Agrarianism;;;;;;;;;;;;x,,,
agrarianism_l;Agrarianism;;;;;;;;;;;;x,,,
