PROV3;坂能;;;;;;;;;;x
PROV77;瑟隆霍姆;;;;;;;;;;;x
PROV78;孝肃;;;;;;;;;;;x
PROV79;华中;;;;;;;;;;;x
PROV80;云州;;;;;;;;;;;x
PROV81;祁州;;;;;;;;;;;x
PROV82;瑞林;;;;;;;;;;;x
PROV83;俊临;;;;;;;;;;;x
PROV83;瑞安;;;;;;;;;;;x
PROV84;三宝;;;;;;;;;;;x
PROV85;兴业;;;;;;;;;;;x
PROV86;东极山;;;;;;;;;;;x
PROV87;东海;;;;;;;;;;;x
PROV88;玉田山;;;;;;;;;;;x
PROV89;永乐;;;;;;;;;;;x
PROV90;诺沃港;;;;;;;;;;;x
PROV91;门州;;;;;;;;;;;x
PROV92;盈江;;;;;;;;;;;x
PROV93;新州;;;;;;;;;;;x
PROV94;镇东府;;;;;;;;;;;x
PROV95;大荒;;;;;;;;;;;x
PROV96;青马;;;;;;;;;;;x
PROV97;建设;;;;;;;;;;;x
PROV98;宜城;;;;;;;;;;;x
PROV99;新河;;;;;;;;;;;x
PROV100;福塔雷萨;;;;;;;;;;;;;x
PROV101;Serra Vermelha;Serra Vermelha;Serra Vermelha;;;;;;;;;;;x
PROV102;尼古拉斯;;;;;;;;;;;x
PROV103;大关;;;;;;;;;;;;;x
PROV104;贝洛奥里藏特;;;;;;;;;;;;;x
PROV105;克鲁兹;;;;;;;;;;;;;x
PROV106;玉林;;;;;;;;;;;x
PROV107;德宽;;;;;;;;;;;x
PROV108;龙石桥;;;;;;;;;;;x
PROV109;劳丰;;;;;;;;;;;x
PROV110;龙山;;;;;;;;;;;x
PROV111;长丰;;;;;;;;;;;x
PROV112;集贤;;;;;;;;;;;x
PROV113;华湘;;;;;;;;;;;x
PROV114;海口;;;;;;;;;;;x
PROV115;菱湖;;;;;;;;;;;x
PROV116;石华;;;;;;;;;;;x
PROV117;斯洛特肖姆;;;;;;;;;;;x
PROV118;克瓦尼贝;;;;;;;;;;;x
PROV119;德拉桑德;;;;;;;;;;;x
PROV120;朱忒斯;;;;;;;;;;;x
PROV121;考林斯;;;;;;;;;;;x
PROV122;格兰德斯;;;;;;;;;;;x
PROV123;雷诺;;;;;;;;;;;;;x
PROV123;奥马哈;;;;;;;;;;;x
PROV124;潘尼马哈;;;;;;;;;;;x
PROV126;托普克;;;;;;;;;;;x
PROV127;弗朗尼奥斯;;;;;;;;;;;x
PROV128;新兰开斯特;;;;;;;;;;;;;x
PROV129;圣乔治;;;;;;;;;;;;;x
PROV130;塔勒库阿;;;;;;;;;;;x
PROV131;奥克莫尔季;;;;;;;;;;;x
PROV132;萨尔瓦多;;;;;;;;;;;;;x
PROV133;贝纳玛德;;;;;;;;;;;x
PROV134;赫奎辛格;;;;;;;;;;;x
PROV135;阿帕塞奥;;;;;;;;;;;x
PROV137;新里斯本;;;;;;;;;;;x
PROV139;新奥尔良;;;;;;;;;;;x
PROV140;巴吞鲁日;;;;;;;;;;;x
PROV141;理查德湖;;;;;;;;;;;x
PROV142;布兰考特;;;;;;;;;;;x
PROV143;圣哈维尔;;;;;;;;;;;x
PROV144;绍德斯;;;;;;;;;;;x
PROV145;里帕恩;;;;;;;;;;;x
PROV146;圣乔治堡;;;;;;;;;;;x
PROV147;拉尼奥;;;;;;;;;;;x
PROV148;格莱蒂;;;;;;;;;;;;;x
PROV149;哈文特;;;;;;;;;;;;;x
PROV150;奥奇塔;;;;;;;;;;;x
PROV151;萨拜恩;;;;;;;;;;;x
PROV152;奥斯卡鲁伊;;;;;;;;;;;x
PROV153;奇卡帕;;;;;;;;;;;x
PROV154;弗克索;;;;;;;;;;;x
PROV155;霍拉尔堡;;;;;;;;;;;x
PROV156;索奥克;;;;;;;;;;;x
PROV157;阿斯克约维;;;;;;;;;;;x
PROV158;延恩堡;;;;;;;;;;;x
PROV160;阿斯加塞拉;;;;;;;;;;;x
PROV161;瓦拉德考根;;;;;;;;;;;x
PROV162;拉姆瑟亚;;;;;;;;;;;x
PROV163;托博尔;;;;;;;;;;;x
PROV164;拉伯克格林达;;;;;;;;;;;x
PROV165;提尔尼塞特;;;;;;;;;;;x
PROV167;布莱特维尔;;;;;;;;;;;x
PROV168;密西西比河畔;;;;;;;;;;;x
PROV169;沃尔芒森;;;;;;;;;;;x
PROV170;康特桥;;;;;;;;;;;x
PROV171;阿斯玛卡;;;;;;;;;;;x
PROV172;特劳茨考根;;;;;;;;;;;x
PROV173;朗斯莫恩;;;;;;;;;;;x
PROV174;奥斯莫恩;;;;;;;;;;;x
PROV176;奥达斯沃克;;;;;;;;;;;x
PROV177;奥帝斯塔德;;;;;;;;;;;x
PROV178;新尼达洛斯;;;;;;;;;;;x
PROV179;斯基维克;;;;;;;;;;;x
PROV180;斯科尔德贝;;;;;;;;;;;x
PROV181;斯特龙堡;;;;;;;;;;;x
PROV182;拉克奈斯;;;;;;;;;;;x
PROV183;碧榭;;;;;;;;;;;x
PROV184;坎特伯雷;;;;;;;;;;;x
PROV185;考尔波特;;;;;;;;;;;x
PROV186;达戈勃特堡;;;;;;;;;;;x
PROV187;帕杜查;;;;;;;;;;;x
PROV188;阿莱特;;;;;;;;;;;x
PROV189;里切利;;;;;;;;;;;x
PROV190;洛夫雷森林;;;;;;;;;;;x
PROV191;查塔农加;;;;;;;;;;;x
PROV192;比洛奇堡;;;;;;;;;;;x
PROV193;布兰维尔;;;;;;;;;;;x
PROV194;圣弗朗西斯;;;;;;;;;;;x
PROV195;布劳瓦;;;;;;;;;;;x
PROV196;塔斯卡罗萨;;;;;;;;;;;x
PROV197;莫比尔;;;;;;;;;;;x
PROV198;塔拉哈希;;;;;;;;;;;x
PROV199;丹多洛港;;;;;;;;;;;;;x;;;;
PROV200;里亚尔托;;;;;;;;;;;;;x
PROV201;图鲁斯堡;;;;;;;;;;;x
PROV202;克莱维萨尔;;;;;;;;;;;x
PROV204;路易斯港;;;;;;;;;;;x
PROV205;圣克莱尔;;;;;;;;;;;x
PROV206;雷塞克森;;;;;;;;;;;x
PROV207;圣拉斐尔;;;;;;;;;;;x
PROV208;朱莉叶;;;;;;;;;;;x
PROV209;理查维尔;;;;;;;;;;;x
PROV210;国王堡;;;;;;;;;;;x
PROV211;弗兰彻;;;;;;;;;;;x
PROV212;佛德;;;;;;;;;;;x
PROV213;莫兰维尔兹角;;;;;;;;;;;x
PROV214;维尔塞特;;;;;;;;;;;x
PROV215;穆斯克山;;;;;;;;;;;x
PROV216;罗纳克;;;;;;;;;;x
PROV217;梅斯;;;;;;;;;;;x
PROV218;小克里斯;;;;;;;;;;;x
PROV219;瓦罗瓦角;;;;;;;;;;;x
PROV220;布鲁塞尔-阿特莱克;;;;;;;;;;;x
PROV221;阿尔金;;;;;;;;;;;x
PROV222;莱布洛瓦;;;;;;;;;;;x
PROV223;乔治城;;;;;;;;;;;x
PROV224;新安伐;;;;;;;;;;;x
PROV225;希纳德;;;;;;;;;;x
PROV226;瓦尔德斯;;;;;;;;;;;x
PROV227;哈森堡;;;;;;;;;;;x
PROV228;劳伦港;;;;;;;;;;;x
PROV229;玛林恩;;;;;;;;;;;x
PROV230;卢瑟;;;;;;;;;;;x
PROV231;克莱尔港;;;;;;;;;;;x
PROV232;瓦卢瓦港;;;;;;;;;;;x
PROV233;新布鲁日;;;;;;;;;;;x
PROV234;杜克索斯;;;;;;;;;;;x
PROV235;布莱格尼;;;;;;;;;;;x
PROV236;查尔斯;;;;;;;;;;;x
PROV237;鲁塞尔;;;;;;;;;;;x
PROV238;尼沃达尔;;;;;;;;;;;x
PROV239;兰切福特;;;;;;;;;;;x
PROV240;日内瓦;;;;;;;;;;;x
PROV241;埃斯佩兰斯;;;;;;;;;;;x
PROV241;贝诺杜桑;;;;;;;;;;;x
PROV242;维塞雅;;;;;;;;;;x
PROV243;菲利普;;;;;;;;;;;x
PROV244;伯恩角;;;;;;;;;;;x
PROV245;路易斯维尔;;;;;;;;;;;x
PROV246;鲁吉山;;;;;;;;;;;x
PROV247;宾彻;;;;;;;;;;;x
PROV248;海明娜;;;;;;;;;;;x
PROV249;西萨德;;;;;;;;;;;x
PROV250;马克贝;;;;;;;;;;;x
PROV273;卡的夫;Caerdydd;Caerdydd;;;;;;;;;;;x
PROV274;阿伯尔泰菲;Aberteifi;Aberteifi;;;;;;;;;;;x
PROV276;凯尔格比;Caergybi;Caergybi;;;;;;;;;;;x
PROV277;利物浦特;Livreport;Livreport;;;;;;;;;;;x
PROV278;曼赛斯特;Mamcestre;Mamcestre;;;;;;;;;;;x
PROV280;泰恩河畔诺肖;Nouchat-desur-Tyne;Nouchat-desur-Tyne;;;;;;;;;;;x
PROV281;赫尔河畔巴黎;Paris-desur-Hull;Paris-desur-Hull;;;;;;;;;;;x
PROV282;洛宁兹;Loin栩;Loin栩;;;;;;;;;;;x
PROV283;谢非-香榭;Chef-des-Champs;Chef-des-Champs;;;;;;;;;;;x
PROV285;切斯特尔;Cestre;Cestre;;;;;;;;;;;x
PROV286;阿莫什格;Amwythig;Amwythig;;;;;;;;;;;x
PROV286;什鲁斯伯勒;Slopesbery;Slopesbery;;;;;;;;;;;x
PROV288;诺丁维尔;Notinville;Nottinville;;;;;;;;;;;x
PROV289;莱斯特尔;Leicestre;Leicestre;;;;;;;;;;;x
PROV290;林德尔;Lindre;Lindre;;;;;;;;;;;x
PROV297;索尔兹伯勒;Seresbery;Seresbery;;;;;;;;;;;x
PROV299;普利维尔;Plymville;Plymville;;;;;;;;;;;x
PROV300;泰晤士河畔伦德勒斯;Londres-desur-Tamise;Londres-desur-Tamise;;;;;;;;;;;x
PROV303;汉通;Hantone;Hantone;;;;;;;;;;;x
PROV304;曼恩岛;Isle de Mann;Isle de Mann;;;;;;;;;;;x
PROV390;安伐;;;;;;;;;;;x
PROV464;佩皮尼昂;;;;;;;;;;x
PROV490;孔卡;Conca;Conca;;;;;;;;;;;x
PROV492;毕尔博;Bilbo;Bilbo;;;;;;;;;;;x
PROV493;潘帕洛那;Iru襻;Iru襻;;;;;;;;;;;x
PROV494;埃里奥萨;Errioxa;Errioxa;;;;;;;;;;;x
PROV495;萨拉戈萨;Saragossa;Saragossa;;;;;;;;;;;x
PROV496;奥斯卡;Osca;Osca;;;;;;;;;;;x
PROV497;特洛尔;Terol;Terol;;;;;;;;;;;x
PROV499;吉罗纳;Girona;Girona;;;;;;;;;;;x
PROV500;莱里达;Lleida;Lleida;;;;;;;;;;;x
PROV502;巴利阿里群岛;Illes Balears;Illes Balears;;;;;;;;;;;x
PROV503;巴伦西亚;Val桀cia;Val桀cia;;;;;;;;;;;x
PROV504;卡斯蒂利亚;Castell?Castell?;;;;;;;;;;x
PROV505;阿拉坎;Alacant;Alacant;;;;;;;;;;;x
PROV507;穆尔西亚;Mrcia;Mrcia;;;;;;;;;;;x
PROV686;圣诞岛;Kiritimati;Kiritimati;;;;;;;;;;;x
PROV754;拿波里;N囵ols;N囵ols;;;;;;;;;;;x
PROV765;卡利亚里;C囔ler;C囔ler;;;;;;;;;;;x
PROV766;萨萨里;S囿ser;S囿ser;;;;;;;;;;;x
PROV950;乌日哥罗德;Uzgorod;Uzgorod;;;;;;;;;;;x
PROV1058;米亚斯;;;;;;;;;;;x
PROV1059;伊塞特;;;;;;;;;;;x
PROV1061;提门;;;;;;;;;;;x
PROV1062;罕迪;;;;;;;;;;;x
PROV1063;楚儿当;;;;;;;;;;;x
PROV1064;亚德加;;;;;;;;;;;x
PROV1065;塔兹;;;;;;;;;;;x
PROV1066;夸什里克;;;;;;;;;;;x
PROV1069;伊勒呼里;;;;;;;;;;;x
PROV1070;楚瓦什;;;;;;;;;;;x
PROV1071;雅库茨;;;;;;;;;;;x
PROV1072;尼武克;;;;;;;;;;;x
PROV1074;传兵卫;;;;;;;;;;x
PROV1075;布里亚特;;;;;;;;;;;x
PROV1076;托法拉尔;;;;;;;;;;;x
PROV1077;奇兹尔;;;;;;;;;;;x
PROV1079;乌斯特乌尔达;;;;;;;;;;;x
PROV1082;海参崴;;;;;;;;;;;x
PROV1097;卡纳基;Kanaky;Kanaky;;;;;;;;;;;x
PROV1235;坎格拉;Kangra;Kangra;;;;;;;;;;;x
PROV1271;达尔;Dhar;Dhar;;;;;;;;;;;x
PROV1293;东港;Osthavn;Osthavn;;;;;;;;;;;x
PROV1321;圣伊丽莎白;St. 伸isabeth;St. 伸isabeth;;;;;;;;;;;x
PROV1325;马尔代夫;Maaldiberne;Maaldiberne;;;;;;;;;;;x
PROV1366;吴哥;Ankgor;Ankgor;;;;;;;;;;;x
PROV1380;普利安哥;Prey Nokor;Prey Nokor;;;;;;;;;;;x
PROV1435;帕洛;Pallo;Pallo;;;;;;;;;;;x
PROV1439;弗洛雷斯;Lorrv咫;Lorrv咫;;;;;;;;;;;x
PROV1444;贝利维;Bellevue;Bellevue;;;;;;;;;;;x
PROV1445;古邦;Kupang;Kupang;;;;;;;;;;;x
PROV1446;圣詹姆斯堡;Fort St. James;Fort St. James;;;;;;;;;;;x
PROV1447;特尔纳特;;;;;;;;;;x
PROV1448;哈马黑拉;;;;;;;;;;x
PROV1449;安波姆;Annbom;Annbom;;;;;;;;;;;x
PROV1450;策拉姆;Kjerram;Kjerram;;;;;;;;;;;x
PROV1451;新温度;Neu-Windau;Neu-Windau;;;;;;;;;;;x
PROV1455;新埠;;;;;;;;;;;x
PROV1456;卫甘;;;;;;;;;;;x
PROV1457;黎牙实比;;;;;;;;;;;x
PROV1458;乡裙岛;;;;;;;;;;;x
PROV1462;三宝颜;;;;;;;;;;x
PROV1463;达沃;;;;;;;;;;x
PROV1469;唐努图瓦;;;;;;;;;;;x
PROV1481;大连;;;;;;;;;;;x
PROV1531;开封;Kaiveng;Kaivemg;;;;;;;;;;;x
PROV1558;玉树;;;;;;;;;;;x
PROV1695;圣克鲁斯;Santa Cruz;Santa Cruz;;;;;;;;;;;x
PROV1700;阿尔及尔;Alger;Alger;;;;;;;;;;;x
PROV1701;布吉亚;Bugia;Bugia;;;;;;;;;;;x
PROV1704;新莱昂;Dos Lleons;Dos Lleons;;;;;;;;;;;x
PROV1705;特雷米松;Tremiss桀;Tremiss桀;;;;;;;;;;;x
PROV1725;卡塔戈;Cartago;Cartago;;;;;;;;;;;x
PROV1783;康拉德斯塔特;Konradsstadt;Konradsstadt;;;;;;;;;;;x
PROV1876;佛得角半岛;Cap Vert;Cap Vert;;;;;;;;;;;x
PROV1892;班达马;;;;;;;;;;;x
PROV1907;弗雷登堡;Fredensborg;Fredensborg;;;;;;;;;;;x
PROV1908;普林森顿;Prinsensten;Prinsensten;;;;;;;;;;;x
PROV1909;克里斯蒂安堡;Christiansborg;Christiansborg;;;;;;;;;;;x
PROV1999;罗安达的圣帕布罗;San Pablo de Luanda;San Pablo de Luanda;;;;;;;;;;;x
PROV2001;姆班扎;Embaza;Embaza;;;;;;;;;;;x
PROV2002;巴托罗缪;Bartolom?D磲z;Bartolom?D磲z;;;;;;;;;;;x
PROV2003;奥古斯塔堡;Augustaborg;Augustaborg;;;;;;;;;;;x
PROV2004;西哨;Vestpost;Vestpost;;;;;;;;;;;x
PROV2036;圣皮埃尔;St. Pierre;St. Pierre;;;;;;;;;;;x
PROV2037;简雅格斯堡;Fort Jean-Jacques;Fort Jean-Jacques;;;;;;;;;;;x
PROV2049;新安特卫普;;;;;;;;;;;x
PROV2051;东哨;Ostpost;Ostpost;;;;;;;;;;;x
PROV2057;刚得堡;Gundersborg;Gundersborg;;;;;;;;;;;x
PROV2059;丹堡;Danborg;Danborg;;;;;;;;;;;x
PROV2060;康格堡;Kongeborg;Kongeborg;;;;;;;;;;;x
PROV2061;卡尔斯滕;Karlsten;Karlsten;;;;;;;;;;;x
PROV2087;开普城;;;;;;;;;;;x
PROV2088;霍纳霍维;;;;;;;;;;;x
PROV2089;海克斯伯;;;;;;;;;;;x
PROV2090;斯维尔丹;;;;;;;;;;;x
PROV2091;莫塞尔贝;;;;;;;;;;;x
PROV2092;列森福特;;;;;;;;;;;x
PROV2093;卡尔维约斯多普;;;;;;;;;;;x
PROV2094;科尔斯堡;;;;;;;;;;;x
PROV2096;雅尔丹;;;;;;;;;;;x
PROV2098;布费尔多普;;;;;;;;;;;x
PROV2099;瓦拉萨姆;;;;;;;;;;;x
PROV2100;瑞莫尔丹;;;;;;;;;;;x
PROV2103;菲利普斯多普;;;;;;;;;;;x
PROV2111;埃塞克伟;;;;;;;;;;;x
PROV2112;乌塔克拉;;;;;;;;;;;x
PROV2125;唐塞巴斯蒂安;Dom Sebasti泔;Dom Sebasti泔;;;;;;;;;;;x
PROV2127;塞舌尔;Veihavn;Veihavn;;;;;;;;;;;x
PROV2128;杜森;Deusen;Deusen;;;;;;;;;;;x
PROV2129;罗亚尔岛;Ile Royale;Ile Royale;;;;;;;;;;;x
PROV2130;埃里克吉斯特;Erikskyst;Erikskyst;;;;;;;;;;;x
PROV2131;塔普特;;;;;;;;;;x
PROV2132;新马耳他;;;;;;;;;;;x
PROV2133;杜夫堡;Duvborg;Duvborg;;;;;;;;;;;x
PROV2137;贝洛奥里藏特;;;;;;;;;;;x
PROV2138;圣保罗;;;;;;;;;;;x
PROV2143;塔莱扎;;;;;;;;;;;x
PROV2147;里约热内卢;;;;;;;;;;;x
PROV2204;安达哥亚城;;;;;;;;;;;x
PROV2213;太子港;Prvestenen;Prvestenen;;;;;;;;;;;x
PROV2214;伯格哨;Bergpost;Bergpost;;;;;;;;;;;x
PROV2215;阿吉提港;Cape Ajitti;Cape Ajitti;;;;;;;;;;;x
PROV2216;上施坦因纳;Oppersteina;Oppersteina;;;;;;;;;;;x
PROV2217;英德拉斯兰;Eendrachtsland;Eendrachtsland;;;;;;;;;;;x
PROV2218;开曼岛;Ilhas Caim泔;Ilhas Caim泔;;;;;;;;;;;x
PROV2218;拉斯托图加斯;Las Tortugas;Las Tortugas;;;;;;,,,,,,,,
PROV2219;伊柳塞拉;Eleuthera;Eleuthera;;Eleuthera;;;;;;;;;x;;;;,,,,,,,,
PROV2220;卢卡亚;Lucaya;Lucaya;;Lucaya;;;;;;;;;x;;;;,,,,,,,,
PROV2222;里格港;Righavn;Righavn;;;;;;;;;;;x
PROV2223;肯特的圣弗朗西斯;St. Fran顼is of Kent;St. Fran顼is of Kent;;;;;;;;;;;x
PROV2224;蒙特塞拉特;Monsterrat;Monsterrat;;;;;;;;;;;x
PROV2225;拉尔斯港;Larshavn;Larshavn;;;;;;;;;;;x
PROV2226;乔治威尔;Georgeville;Georgeville;;;;;;;;;;;x
PROV2227;圣基茨与尼维斯;San Crist筲al y Nieves;San Crist筲al y Nieves;;;;;;;;;;;x
PROV2229;新库尔兰;Neu-Kurland;Neu-Kurland;;;;;;;;;;;x
PROV2230;刚德尔港;Gundershavn;Gundershavn;;;;;;;;;;;x
PROV2231;圣约迪;Sant Jordi;Sant Jordi;;;;;;;;;;;x
PROV2233;圣安德烈;Swiety Andrzej;Swiety Andrzej;;;;;;;;;;;x
PROV2235;圣简安;St. Jeann;St. Jean;;;;;;;;;;;x
PROV2236;圣玛格丽特;St. Marguerite;St. Marguerite;;;;;;;;;;;x
PROV2244;纳维达岛;Isla de Navidad;Isla de Navidad;;;;;;;;;;;x
PROV2301;乌鲁巴;;;;;;;;;;;x
PROV2306;罗孚平原;;;;;;;;;;;x
PROV2310;提瓦纳库;;;;;;;;;;;x
PROV2316;瓜纳;;;;;;;;;;;x
PROV2317;马奇圭加;;;;;;;;;;;x
PROV2318;阿约里奥;;;;;;;;;;;x
PROV2319;拜尼;;;;;;;;;;;x
PROV2320;皮罗;;;;;;;;;;;x
PROV2321;亚米纳;;;;;;;;;;;x
PROV2323;苏尼帕查;;;;;;;;;;;x
PROV2324;玛普索;;;;;;;;;;;x
PROV2325;乌勒卡斯塔;;;;;;;;;;;x
PROV2326;奇查玛;;;;;;;;;;;x
PROV2328;乌尔库;;;;;;;;;;;x
PROV2333;瓦塔帕查;;;;;;;;;;;x
PROV2334;莫奇帕查;;;;;;;;;;;x
PROV2335;马拉帕;;;;;;;;;;;x
PROV2337;莫科维克;;;;;;;;;;x
PROV2338;查内;;;;;;;;;;x
PROV2339;列尔;;;;;;;;;;;x
PROV2340;康弗伦斯;;;;;;;;;;;x
PROV2341;玛森吉;;;;;;;;;;;x
PROV2342;洛夫雷;;;;;;;;;;;x
PROV2343;奥莫伊;;;;;;;;;;;x
PROV2344;查尔麦格;;;;;;;;;;;x
PROV2345;奥当河三角洲;;;;;;;;;;;x
PROV2346;弗陶特;;;;;;;;;;;x
PROV2347;乌楚;;;;;;;;;;;x
PROV2348;凯姆洛特;;;;;;;;;;;x
PROV2349;新肯特;;;;;;;;;;;x
PROV2350;埃德瓦迪亚;;;;;;;;;;;x
PROV2351;塞奥武夫;;;;;;;;;;;x
PROV2352;塞克森伯;;;;;;;;;;;x
PROV2353;埃塞武夫;;;;;;;;;;;x
PROV2354;卡斯瑞德;;;;;;;;;;;x
PROV2355;新伦敦;;;;;;;;;;;x
PROV2356;蒙特利昂;;;;;;;;;;;x
PROV2357;圣让勒弗泽;;;;;;;;;;;x
PROV2358;奥当-布鲁塞尔;;;;;;;;;;;x
PROV2359;外奥当;;;;;;;;;;;x
PROV2360;蒙塔隆;;;;;;;;;;;x
PROV2361;新耶路撒冷;;;;;;;;;;;x
PROV2362;艾弗维克;;;;;;;;;;;x
PROV2363;博斯维泽;;;;;;;;;;;x
PROV2364;贝卡斯尔;;;;;;;;;;;x
PROV2365;潘瑞斯;;;;;;;;;;;x
PROV2366;维奇;;;;;;;;;;;x
PROV2367;恩科塞特;;;;;;;;;;;x
PROV2368;普亚;;;;;;;;;;;x
PROV2372;提尔卡拉;;;;;;;;;;;x
PROV2376;辛卡斯特;;;;;;;;;;;x
PROV2377;卡麦尔;;;;;;;;;;;x
PROV2378;弗奈斯;;;;;;;;;;;x
PROV2379;沙鲁;;;;;;;;;;;x
PROV2380;海明堡;;;;;;;;;;;x
PROV2381;瑞斯普利斯;;;;;;;;;;;x
PROV2382;凯特维尔;;;;;;;;;;;x
PROV2383;昂斯莫济里;;;;;;;;;;;x
PROV2384;瑞戴尔;;;;;;;;;;;x
PROV2385;普卡拉;;;;;;;;;;;x
PROV2386;艾博斯顿;;;;;;;;;;;x
PROV2387;奇尔塞托;;;;;;;;;;;x
PROV2389;库琴查;;;;;;;;;;;x
PROV2390;坎贝尔福斯;;;;;;;;;;;x
PROV2391;伊瑞斯;;;;;;;;;;;x
PROV2392;克鲁毛克;;;;;;;;;;;x
PROV2393;拜奥提克;;;;;;;;;;;x
PROV2394;芬顿;;;;;;;;;;;x
PROV2395;斯坦瑟斯;;;;;;;;;;;x
PROV2396;萨凯尔德;;;;;;;;;;;x
PROV2397;怀特海文;;;;;;;;;;;x
PROV2398;巴伦;;;;;;;;;;;x
PROV2399;斯基贝;;;;;;;;;;;x
PROV2400;远望角;;;;;;;;;;;x
PROV2402;帕塞;;;;;;;;;;x
PROV2403;亚瓜;;;;;;;;;;;x
PROV2404;马蒂斯;;;;;;;;;;;x
PROV2405;塔帕霍;;;;;;;;;;;x
PROV2406;科克斯岛;Islas Cocos;Islas Cocos;;;;;;;;;;;x
PROV2407;玛约拿;;;;;;;;;;;x
PROV2409;圣文森特;S泔 Vicente;S泔 Vicente;;;;;;;;;;;x
PROV2410;贝斯莱姆;;;;;;;;;;;x
PROV2411;辛谷;;;;;;;;;;;x
PROV2413;哲罗纳;;;;;;;;;;;x
PROV2416;萨那帕纳;;;;;;;;;;;x
PROV2417;伊阿克;;;;;;;;;;;x
PROV2418;卡纳玛里;;;;;;;;;;;x
PROV2419;达克堡;;;;;;;;;;;x
PROV2420;方泰诺;;;;;;;;;;;x
PROV2421;瓦奥拉;;;;;;;;;;;x
PROV2422;印丁斯山;;;;;;;;;;;x
PROV2423;亚马逊维尔;;;;;;;;;;;x
PROV2424;圣乔治;;;;;;;;;;;x
PROV2425;圣路易斯高原;;;;;;;;;;;x
PROV2426;布朗内;;;;;;;;;;;x
PROV2427;弗朗内斯坎;;;;;;;;;;;x
PROV2428;圣弗洛瑞特;;;;;;;;;;;x
PROV2429;察容;;;;;;;;;;;x
PROV2430;普拉戴尔;;;;;;;;;;;x
PROV2431;自由港;;;;;;;;;;x
PROV2432;法乌;;;;;;;;;;;x
PROV2433;佩罗山;;;;;;;;;;;x
PROV2434;洛克朗安;;;;;;;;;;;x
