;;;;;;;;;;;;;x,,;;;;
gtfo_UMN_desc;We've had a good run, but it's time to end our relationship with Minnesota: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UMO_title;Remove Missouri From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UMO_desc;We've had a good run, but it's time to end our relationship with Missouri: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UMS_title;Remove Mississippi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UMS_desc;We've had a good run, but it's time to end our relationship with Mississippi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UNB_title;Remove Union of the Midwest From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UNB_desc;We've had a good run, but it's time to end our relationship with Union of the Midwest: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UNC_title;Remove North Carolinia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UNC_desc;We've had a good run, but it's time to end our relationship with North Carolinia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UNJ_title;Remove New Jersey From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UNJ_desc;We've had a good run, but it's time to end our relationship with New Jersey: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UNM_title;Remove Pueblo Republic From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UNM_desc;We've had a good run, but it's time to end our relationship with Pueblo Republic: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UNY_title;Remove New York From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UNY_desc;We've had a good run, but it's time to end our relationship with New York: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UOH_title;Remove Ohio From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UOH_desc;We've had a good run, but it's time to end our relationship with Ohio: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UOR_title;Remove Oregon Country From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UOR_desc;We've had a good run, but it's time to end our relationship with Oregon Country: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UPA_title;Remove Pennsylvania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UPA_desc;We've had a good run, but it's time to end our relationship with Pennsylvania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_USC_title;Remove South Carolina From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_USC_desc;We've had a good run, but it's time to end our relationship with South Carolina: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UTN_title;Remove Tennessee From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UTN_desc;We've had a good run, but it's time to end our relationship with Tennessee: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UVA_title;Remove Virginia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UVA_desc;We've had a good run, but it's time to end our relationship with Virginia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UWV_title;Remove West Virginia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UWV_desc;We've had a good run, but it's time to end our relationship with West Virginia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UWI_title;Remove Wisconsin From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UWI_desc;We've had a good run, but it's time to end our relationship with Wisconsin: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ALS_title;Remove Elsass From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ALS_desc;We've had a good run, but it's time to end our relationship with Elsass: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ATR_title;Remove Asturias From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ATR_desc;We've had a good run, but it's time to end our relationship with Asturias: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BYE_title;Remove Belarus From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BYE_desc;We've had a good run, but it's time to end our relationship with Belarus: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BRT_title;Remove Brittany From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BRT_desc;We've had a good run, but it's time to end our relationship with Brittany: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BSQ_title;Remove Vasconia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BSQ_desc;We've had a good run, but it's time to end our relationship with Vasconia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CRS_title;Remove Corsica From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CRS_desc;We've had a good run, but it's time to end our relationship with Corsica: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ENL_title;Remove England From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ENL_desc;We've had a good run, but it's time to end our relationship with England: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GLC_title;Remove Galicia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GLC_desc;We've had a good run, but it's time to end our relationship with Galicia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_IOM_title;Remove Isle of Man From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_IOM_desc;We've had a good run, but it's time to end our relationship with Isle of Man: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KER_title;Remove Cornwall From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KER_desc;We've had a good run, but it's time to end our relationship with Cornwall: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LEO_title;Remove Leon From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LEO_desc;We've had a good run, but it's time to end our relationship with Leon: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LOR_title;Remove Lorraine From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LOR_desc;We've had a good run, but it's time to end our relationship with Lorraine: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MDR_title;Remove Madurai From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MDR_desc;We've had a good run, but it's time to end our relationship with Madurai: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MLT_title;Remove Malta From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MLT_desc;We've had a good run, but it's time to end our relationship with Malta: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_OCC_title;Remove Occitania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_OCC_desc;We've had a good run, but it's time to end our relationship with Occitania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SMI_title;Remove Sapmi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SMI_desc;We've had a good run, but it's time to end our relationship with Sapmi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SPC_title;Remove Spain From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SPC_desc;We've had a good run, but it's time to end our relationship with Spain: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SWH_title;Remove Schleswig-Holstein From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SWH_desc;We've had a good run, but it's time to end our relationship with Schleswig-Holstein: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SYL_title;Remove Transylvania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SYL_desc;We've had a good run, but it's time to end our relationship with Transylvania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WHA_title;Remove Wales From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WHA_desc;We've had a good run, but it's time to end our relationship with Wales: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LUZ_title;Remove Lusatia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LUZ_desc;We've had a good run, but it's time to end our relationship with Lusatia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RHI_title;Remove Rhineland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RHI_desc;We've had a good run, but it's time to end our relationship with Rhineland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SAA_title;Remove Saarland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SAA_desc;We've had a good run, but it's time to end our relationship with Saarland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SLS_title;Remove Silesia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SLS_desc;We've had a good run, but it's time to end our relationship with Silesia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WES_title;Remove Wesphalia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WES_desc;We've had a good run, but it's time to end our relationship with Wesphalia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AKH_title;Remove Astrakhan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AKH_desc;We've had a good run, but it's time to end our relationship with Astrakhan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ALT_title;Remove Altai Republic From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ALT_desc;We've had a good run, but it's time to end our relationship with Altai Republic: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DON_title;Remove Cossack Republic From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DON_desc;We've had a good run, but it's time to end our relationship with Cossack Republic: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_IZH_title;Remove Ingria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_IZH_desc;We've had a good run, but it's time to end our relationship with Ingria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KAZ_title;Remove Kazakhstan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KAZ_desc;We've had a good run, but it's time to end our relationship with Kazakhstan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KAM_title;Remove Kamchatka From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KAM_desc;We've had a good run, but it's time to end our relationship with Kamchatka: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KMK_title;Remove Kalmykia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KMK_desc;We've had a good run, but it's time to end our relationship with Kalmykia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KRL_title;Remove Courland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KRL_desc;We've had a good run, but it's time to end our relationship with Courland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SIB_title;Remove Sibir From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SIB_desc;We've had a good run, but it's time to end our relationship with Sibir: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TAR_title;Remove Tatarstan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TAR_desc;We've had a good run, but it's time to end our relationship with Tatarstan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TNT_title;Remove Tannu Tuva From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TNT_desc;We've had a good run, but it's time to end our relationship with Tannu Tuva: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_URA_title;Remove Ural Republic From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_URA_desc;We've had a good run, but it's time to end our relationship with Ural Republic: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_YAK_title;Remove Yakutia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_YAK_desc;We've had a good run, but it's time to end our relationship with Yakutia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARB_title;Remove Arabia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARB_desc;We've had a good run, but it's time to end our relationship with Arabia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ASR_title;Remove Asir From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ASR_desc;We've had a good run, but it's time to end our relationship with Asir: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BHR_title;Remove Bahrain From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BHR_desc;We've had a good run, but it's time to end our relationship with Bahrain: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CIR_title;Remove Circassia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CIR_desc;We've had a good run, but it's time to end our relationship with Circassia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DAG_title;Remove Caucasian Imamate From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DAG_desc;We've had a good run, but it's time to end our relationship with Caucasian Imamate: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DUR_title;Remove Pashtunistan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DUR_desc;We've had a good run, but it's time to end our relationship with Pashtunistan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HAL_title;Remove Hail From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HAL_desc;We've had a good run, but it's time to end our relationship with Hail: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JOR_title;Remove Al-Urdan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JOR_desc;We've had a good run, but it's time to end our relationship with Al-Urdan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KDS_title;Remove Kurdistan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KDS_desc;We've had a good run, but it's time to end our relationship with Kurdistan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KWT_title;Remove Kuwait From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KWT_desc;We've had a good run, but it's time to end our relationship with Kuwait: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KYR_title;Remove Kyrgyzstan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KYR_desc;We've had a good run, but it's time to end our relationship with Kyrgyzstan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LEB_title;Remove Lebanon From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LEB_desc;We've had a good run, but it's time to end our relationship with Lebanon: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LEM_title;Remove Muslim Lebanon From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LEM_desc;We've had a good run, but it's time to end our relationship with Muslim Lebanon: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LEC_title;Remove Christian Lebanon From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LEC_desc;We've had a good run, but it's time to end our relationship with Christian Lebanon: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PLS_title;Remove Al-Quds From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PLS_desc;We've had a good run, but it's time to end our relationship with Al-Quds: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SYR_title;Remove Syria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SYR_desc;We've had a good run, but it's time to end our relationship with Syria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TAJ_title;Remove Tajikstan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TAJ_desc;We've had a good run, but it's time to end our relationship with Tajikstan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TKM_title;Remove the Salor Confederation From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TKM_desc;We've had a good run, but it's time to end our relationship with the Salor Confederation: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TKS_title;Remove Turkestan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TKS_desc;We've had a good run, but it's time to end our relationship with Turkestan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UYG_title;Remove Uyghurstan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UYG_desc;We've had a good run, but it's time to end our relationship with Uyghurstan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UZB_title;Remove Uzbekistan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UZB_desc;We've had a good run, but it's time to end our relationship with Uzbekistan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ASM_title;Remove Assam From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ASM_desc;We've had a good run, but it's time to end our relationship with Assam: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BIH_title;Remove Bihar From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BIH_desc;We've had a good run, but it's time to end our relationship with Bihar: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BLC_title;Remove Kalat From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BLC_desc;We've had a good run, but it's time to end our relationship with Kalat: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BNG_title;Remove Bengal From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BNG_desc;We've had a good run, but it's time to end our relationship with Bengal: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DRA_title;Remove Dravidistan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DRA_desc;We've had a good run, but it's time to end our relationship with Dravidistan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HDU_title;Remove Hindustan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HDU_desc;We've had a good run, but it's time to end our relationship with Hindustan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KRN_title;Remove Karnatak From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KRN_desc;We've had a good run, but it's time to end our relationship with Karnatak: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MAH_title;Remove Maharashtra From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MAH_desc;We've had a good run, but it's time to end our relationship with Maharashtra: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MRT_title;Remove Marathas From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MRT_desc;We've had a good run, but it's time to end our relationship with Marathas: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RAJ_title;Remove Rajputana From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RAJ_desc;We've had a good run, but it's time to end our relationship with Rajputana: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SRI_title;Remove Sri Lanka From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SRI_desc;We've had a good run, but it's time to end our relationship with Sri Lanka: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ANG_title;Remove Angola From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ANG_desc;We've had a good run, but it's time to end our relationship with Angola: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARO_title;Remove Aro From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARO_desc;We've had a good run, but it's time to end our relationship with Aro: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ASH_title;Remove Ashanti From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ASH_desc;We've had a good run, but it's time to end our relationship with Ashanti: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AZA_title;Remove Azande From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AZA_desc;We've had a good run, but it's time to end our relationship with Azande: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BEN_title;Remove Benin From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BEN_desc;We've had a good run, but it's time to end our relationship with Benin: if you love something, let it go!;;;;;;;;;;;;x;;;;
