##################################################;;;;;;;;;;;;;;x,,,,,,,,
# Common Event Options;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC101536;弗兰基谢克·帕拉茨基（Frantisek Palacky）被认为是现代捷克民族的奠基者，帕拉茨基在十九世纪早期的捷克文化与民族复兴里起了主导作用。一开始他是奥地利-斯拉夫主义的支持者，这种观点支持在哈布斯堡君主制框架下的斯拉夫民族团结与自治，但是帕拉茨基之后又呼吁捷克完全独立。帕拉茨基在文学方面最伟大的贡献是他的《波希米亚的历史》，这本书将波希米亚的历史视为一部持续的德意志民族与斯拉夫民族的斗争史，此观点极大地影响了捷克民族意识的成长。;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME101537;弗兰策·普列舍仁与斯洛文尼亚民族觉醒;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC101537;弗兰策·普列舍仁（France Preseren）是斯洛文尼亚民族主义发展的关键人物，当奥地利统治阶层对斯洛文尼亚语不屑一顾，学校也不教授这一语言时，普列舍仁发起了一场运动以推广斯洛文尼亚语而不是德语的使用。他同时也是一位技艺精湛的诗人，他的作品包括敬酒诗（Zdravljica），当时这首诗由于传递了民族主义与泛斯拉夫主义的信息而遭到了当局的审查。;;;;;;;;;;X;;;x,,,,,,,,
##### Brazil #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME116303;$YEAR$年大旱;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC116303;$YEAR$年史上最严重的一场干旱席卷了巴西东北部。结果这促使大批贫农向新地区移民，新地区例如亚马逊的玛瑙斯，这座城市由于橡胶热的兴起而变得富庶起来。;;;;;;;;;;X;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
# Flavor Events;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
##### Argentina #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME146603;萨丁尼亚国王访问阿根廷;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC146603;萨丁尼亚国王决定访问阿根廷以向这个新生国家表明有好姿态。;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME146604;探戈;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC146604;探戈最先兴起于19世纪下半叶布宜诺斯艾利斯的大众阶层，已经成为阿根廷的一种文化习俗。不仅仅是一种舞蹈，探戈也是阿根廷渴望确立自己的身份的象征。既忧郁又不失动感与表现力的探戈已享誉世界，而阿根廷也成为了“el pais del tango（探戈的国度）”。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA146604;我们跳舞吧！！;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME146605;坎波斯·萨莱斯总统访问阿根廷;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC146605;巴西总统坎波斯·萨莱斯（Campos Sales）已正式访问布宜诺斯艾利斯，一场庆祝巴根友谊的庆典也将持续三天。然而，智利的媒体怀疑阿根廷与巴西正在秘密地缔结联盟。;;;;;;;;;;X;;;x,,,,,,,,
##### Austria #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME131509;布拉格国民剧院;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC131509;布拉格国民剧院是捷克民族的民族认同与独立的结晶。从广大群众募集的资金促进了其建设，因此$YEAR$年5月16日的奠基礼相当于一场全区的政治示威。捷克国民剧院在1881年6月11日开业以迎接奥地利储君鲁道夫的拜访。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA131509;这是捷克民族成就的证明！;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME131510;布拉格的查尔斯大学;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC131510;渐渐地，随着捷克民族愈发兴旺以及受过教育的人的增多，重大的进展已经达成——尤其是在教育领域与法院中使用捷克语的问题。$YEAR$年，在布拉格一所古老的德意志大学的捷克系投票从大学分离并成立了独立的用捷克语授课的大学。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA131510;批准这一分离;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTB131510;拒绝分离大学;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME131511;西奥多·赫茨尔的《犹太国》;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC131511;《犹太国（Der Judenstaat）》由犹太裔记者西奥多·赫茨尔（Theodor Herzl）所著，并于1896年在莱比锡与维也纳首版。在这本书中，赫茨尔预言了20世纪未来一个独立的犹太国家的建立，并指出了在阿根廷建立这么一个国家的可行性。这被认为是早期锡安主义（Zionism）最重要的文字之一。的确本书极大地普及了由犹太裔思想家内森·伯恩鲍姆（Nathan Birnbaum）所创的“锡安主义”一词。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA131511;一个属于犹太人的独立国家？疯狂！;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME131512;斯坦奇克派;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC131512;1869年一伙年轻的保守主义公关人员发表了一系列名为“斯坦奇克的作品集（Teka Stanczyka）”的讽刺性小册子，这时距离悲剧性收场的一月起义仅仅过了五年。小册子调侃了武装民族起义的思想，并建议与波兰的敌人尤其是奥地利帝国妥协，以及更多地关注经济增长而不是政治独立。采用这一思想的政治派系以“斯坦奇克派（Stanczycy）”的名字而广为人知。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA131512;忠于维也纳！;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME131513;约瑟普·尤拉·斯特劳斯梅耶与南斯拉夫主义;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC131513;1874年，一位名叫约瑟普·尤拉·斯特劳斯梅耶（Josip Juraj Strossmayer）的克罗地亚主教发表了一本阐述其关于南斯拉夫民族与政治统一思想的小册子。斯特劳斯梅耶吸取了目标为以一个独立的联邦团结南斯拉夫民族的早期伊利里亚主义（Illyrianism）的思想，将他的意识形态称作南斯拉夫主义。斯特劳斯梅耶的思想在克罗地亚与塞尔维亚的自由主义资产阶级与年轻的激进派中赢得了支持，很快帝国内克罗地亚与塞尔维亚的政治家也开始拥护这一运动的理想。;;;;;;;;;;X;;;x,,,,,,,,
##### Brazil #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME146303;瓜拉尼人;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC146303;作曲家卡洛斯·哥梅斯（Carlos Gomes）的新歌剧《瓜拉尼人（O Guarani）》在米兰斯卡拉大剧院的首演获得空前成功。;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME146304;实证主义的影响;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC146304;实证主义认为政府应该使用理性主义与科学帮助社会进步与发展，为此应不惜抛弃传统势力与价值。这一思想已经在巴西社会获得广泛的支持，尤其是在军界当中，不少士官都抱怨巴西的政治阶层不能为了国家整体利益而放弃传统与特权。一些人已经建议军队应该推翻帝制，让巴西社会得以在实证主义目标的基础上重生。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA146304;Ordem e Progresso（秩序和进步）;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME146305;佩德罗二世结婚;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC146305;虽然配偶并非如给他的照片里的那样好看，经过了初期的犹豫后皇帝还是决定接受与两西西里王国公主特丽萨·克里斯蒂娜（Teresa Cristina）的婚姻。;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME146308;巴西文学院成立;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC146308;1896年，旨在鼓励巴西文学与艺术的进一步发展，马查多·德·阿西斯（Machado de Assis）帮助成立了国家文学院，并成为了它的首任院长。;;;;;;;;;;X;;;x,,,,,,,,
##### Netherlands #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME137400;方达勒荷兰语大词典;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC137400;《方达勒荷兰语大词典（Nieuw Woordenboek der Nederlandsche Taal van Van Dale）》是第一本荷兰语词典。该词典由方达勒（Van Dale）出版。;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME137401;阿姆斯特丹自由大学;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC137401;$YEAR$年亚伯拉罕·凯帕尔（Abraham Kuyper）成立阿姆斯特丹自由大学（Vrije Universiteit van Amsterdam）。;;;;;;;;;;X;;;x,,,,,,,,
##### Paraguay #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME146500;虎美塔要塞;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC146500;为配合1850年与巴西签订的《共同防卫同盟条约（Treaty of Defensive Alliance）》（该条约旨在遏制阿根廷征服乌拉圭与巴拉圭的企图），巴西军官已经开始着手计划修建臭名昭著的虎美塔要塞（Fortress of Humaita）的第一座碉堡。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA146500;建立要塞。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTB146500;这太昂贵了。;;;;;;;;;;X;;;x,,,,,,,,
