;;;;;;;;;;;;;x,,,,,,,,
EVTDESC10410_NEWS_LONG;人民对拿破仑三世的爱戴逐渐衰退。人们曾经认为他的即位会带领法国回到如同他叔叔统治时的鼎盛时期，然而现在的法国却即将被它的邻国所湮灭。拿破仑在巴黎培养的一批自由主义者也转而反对他，伺机举行罢工。现在，拿破仑已经被废黜，剩下的唯一问题就是法国应采取何种政体;;;;;;;;;;;;x,,,,,
EVTDESC10410_NEWS_MEDIUM;人民对拿破仑三世的爱戴逐渐衰退。拿破仑在巴黎培养的一批自由主义者也转而反对他，伺机举行罢工。现在，拿破仑已经被废黜，剩下的唯一问题就是法国应采取何种政体;;;;;;;;;;;;x,,,,,,
EVTDESC10410_NEWS_SHORT;现在，拿破仑已经被废黜，剩下的唯一问题就是法国应采取何种政体;;;;;;;;;;;;x,,,,,,,
EVTDESC10411_NEWS_MEDIUM;拿破仑三世近几个月身体状况越来越糟，不得不一点一点地将权力交回到贵族手中。因此当他过世的消息传来时，几乎没有人感到惊讶。全国人民以及他的挚爱欧也妮皇后为之哀伤，但这也太来一个问题：谁来接替他统领整个法国;;;;;;;;;;;;x,,,,,
EVTDESC10411_NEWS_SHORT;拿破仑三世过世的消息传来时，几乎没有人感到惊讶，全国人民以及他的挚爱欧也妮皇后为之哀伤，但这也带来一个问题：谁来接替他统领整个法国;;;;;;;;;;;;x,,,,,,
EVTNAME13021_NEWS_TITLE;$COUNTRY_ADJ$传教士被处决;;;;;;;;;;;;x,,,,,,,,
EVTDESC13021_NEWS_LONG;有一批$COUNTRY_ADJ$传教士在$FROMCOUNTRY$未经审判就被处决了，这是$FROMCOUNTRY$逮捕外籍人士行动的一部分。传教士是爱好和平的，然而$FROMCOUNTRY$此举意图明显，他们不欢迎任何外来者。当然$COUNTRY_ADJ$人民已经对此怒不可遏。许多人认为与他们开战是必需的，而其他人则觉得与$FROMCOUNTRY$开战很不值得——毕竟，传教士在传教前就已经知道此举的风险;;;;;;;;;;;;x,,,,
EVTDESC13021_NEWS_MEDIUM;有一批$COUNTRY_ADJ$传教士在$FROMCOUNTRY$被处决了，这是$FROMCOUNTRY$逮捕外籍人士行动的一部分。传教士是爱好和平的，却惨遭杀害，$COUNTRY_ADJ$人民已经对此怒不可遏;;;;;;;;;;;;x,,,,,,,
EVTDESC13021_NEWS_SHORT;有一批$COUNTRY_ADJ$传教士在$FROMCOUNTRY$被处决了，这是$FROMCOUNTRY$逮捕外籍人士行动的一部分;;;;;;;;;;;;x,,,,,,,,
EVTNAME13201_NEWS_TITLE;$COUNTRY_ADJ$使团被困;;;;;;;;;;;;x,,,,,,,,
EVTDESC13201_NEWS_LONG;在抵抗国内$COUNTRY_ADJ$势力多年以后，$FROMCOUNTRY_ADJ$统治阶层将$COUNTRY_ADJ$大使从$FROMCOUNTRY$驱逐出境，声称$COUNTRY_ADJ$无礼行为让遵循$FROMCOUNTRY_ADJ$传统的人民无法忍受。这一举动让$COUNTRY_ADJ$政府在国际上颜面尽失，他们认为唯一的挽回途径就是向$FROMCOUNTRY$正式宣战;;;;;;;;;;;;x,,,,,
EVTDESC13201_NEWS_MEDIUM;在抵抗国内$COUNTRY_ADJ$势力多年以后，$FROMCOUNTRY_ADJ$统治阶层将$COUNTRY_ADJ$大使驱逐出境，声称$COUNTRY_ADJ$无礼行为让遵循$FROMCOUNTRY_ADJ$传统的人民无法忍受;;;;;;;;;;;;x,,,,,,
EVTDESC13201_NEWS_SHORT;在抵抗国内$COUNTRY_ADJ$势力多年以后，$FROMCOUNTRY_ADJ$统治阶层将$COUNTRY_ADJ$大使驱逐出境;;;;;;;;;;;;x,,,,,,,
EVTNAME16001_NEWS_TITLE;美国奴隶制辩论;;;;;;;;;;;;x,,,,,,,,
EVTDESC16001_NEWS_LONG;当下存在一个$COUNTRY$的建国之父们也未能明确解决的问题，那就是国内残留的奴隶制。自从大革命以来，围绕奴隶制的辩论愈演愈烈，可以说它是目前$COUNTRY$政治议程中的一项关键事务。一部分激进南方人士认为此事无法妥协，只有脱离联邦，才能摆脱华盛顿中央权力在此事上的主导地位;;;;;;;;;;;;x,,,,,,
EVTDESC16001_NEWS_MEDIUM;有关奴隶制的辩论是目前$COUNTRY$政治议程中的一项关键事务。一部分激进南方人士认为此事无法妥协，只有脱离联邦，才能摆脱华盛顿中央权力在此事上的主导地位;;;;;;;;;;;;x,,,,,,,
EVTDESC16001_NEWS_SHORT;有关奴隶制的辩论是目前$COUNTRY$政治议程中的一项关键事务。一部分激进南方人士认为只有脱离联邦，才能摆脱华盛顿中央权力在此事上的主导地位;;;;;;;;;;;;x,,,,,,,
EVTDESC16010_NEWS_LONG;$COUNTRY$：废奴运动中著名的英雄，约翰·布朗已经逝去，在今天一次失败的军械库偷袭行动之后，他在弗吉尼亚州查尔斯镇被处以绞刑。据猜测，布朗计划利用军械库的武器武装奴隶们，煽动整个南方的奴隶起来反抗。这次突袭以及约翰·布朗的死亡，进一步加剧了南方奴隶问题的紧张局势，甚至有一部分承认奴隶制的州正打算脱离联邦;;;;;;;;;;;;x
EVTDESC16010_NEWS_MEDIUM;$COUNTRY$：废奴运动中著名的英雄，约翰·布朗已经逝去，在今天一次失败的军械库偷袭行动之后，他在弗吉尼亚州查尔斯镇被处以绞刑。这次突袭以及约翰·布朗的死亡，进一步加剧了南方奴隶问题的紧张局势;;;;;;;;;;;;x,,
EVTDESC16010_NEWS_SHORT;$COUNTRY$：约翰·布朗已经逝去，在今天一次失败的军械库偷袭行动之后，他在弗吉尼亚州查尔斯镇被处以绞刑。这次突袭以及约翰·布朗的死亡，进一步加剧了南方奴隶问题的紧张局势;;;;;;;;;;;;x,,,,,
EVTDESC16020_NEWS_LONG;$COUNTRY$：德雷德·史考特，出生于弗吉尼亚州的一名奴隶，在废奴法律顾问的帮助下，起诉了他的主人，他声称自己目前在自由州，应该获得人身自由。美国最高法院尚未宣布最终判决，但它倾向于如下判决：奴隶主所有权是受到保护的，这与奴隶所处地方无关。这一案例给北方的废奴主义者敲响了警钟，他们将其视为奴隶制在整个联邦扩张的第一步;;;;;;;;;;;;x,,
EVTDESC16020_NEWS_MEDIUM;$COUNTRY$：一名奴隶起诉了他的主人，声称自己目前在自由州，应该获得人身自由。这一案例给北方的废奴主义者敲响了警钟，他们将其视为奴隶制在整个联邦扩张的第一步;;;;;;;;;;;;x,,,,,,
EVTDESC16020_NEWS_SHORT;$COUNTRY$：一名奴隶起诉了他的主人，声称自己目前在自由州，应该获得人身自由。这一案例给北方的废奴主义者敲响了警钟;;;;;;;;;;;;x,,,,,,,
EVTNAME16401_NEWS_TITLE;$FROMCOUNTRY$加入中美;;;;;;;;;;;;x,,,,,,,,
EVTDESC16401_NEWS_LONG;$FROMCOUNTRY$向$COUNTRY$政府递交了一份申请书，申请成为中美洲联邦的一个省，同时提交了一部宪法以及标记有省领土边界的地图。大家一致认为政府会接受这一申请，$FROMCOUNTRY$也将成为繁荣富强的联邦的一份子。;;;;;;;;;;;;x,,,,,,
EVTDESC16401_NEWS_MEDIUM;$FROMCOUNTRY$向$COUNTRY$政府递交了一份申请书，申请成为中美洲联邦的一个省，同时提交了一部宪法以及标记有省领土边界的地图。;;;;;;;;;;;;x,,,,,,
EVTDESC16401_NEWS_SHORT;$FROMCOUNTRY$向$COUNTRY$政府递交了一份申请书，申请成为中美洲联邦的一个省。;;;;;;;;;;;;x,,,,,,,
EVTDESC16500_NEWS_LONG;$COUNTRY$：北方各州的代表对于美国议会上关于奴隶问题的僵局逐渐丧失耐心，在他们看来权力早已失衡，政府已被南方政客掌控。因此他们要求举行第二次制宪会议，根据人口来决定政府人员的组成比例。这一要求不仅遭到南方各州的坚决反对，即使是北方各州也尚未统一意见;;;;;;;;;;;;x,,,,,,
EVTDESC16500_NEWS_MEDIUM;$COUNTRY$：北方各州的代表对于美国议会上关于奴隶问题的僵局逐渐丧失耐心，因此他们要求举行第二次制宪会议，根据人口来决定政府人员的组成比例;;;;;;;;;;;;x,,,,,,,
EVTDESC16500_NEWS_SHORT;$COUNTRY$：沮丧的北方各州代表要求举行第二次制宪会议，根据人口来决定政府人员的组成比例;;;;;;;;;;;;x,,,,,,,,
EVTDESC16510_NEWS_LONG;$COUNTRY$的北方各州代表召集起来，在费城召开的会议上宣布成立一个新的联盟：美利坚自由领，宣布废除奴隶制，给与每个人真正的自由。名义上的美国政府声称这是叛国行为，正在考虑和平谈判是否可行。与此相对，这个所谓的自由美国政府开始号召爱国者们反抗将南方贵族扣押为人质的美国政府，批评他们思想保守迂腐，这意味着战争即将爆发;;;;;;;;;;;;x,,,,
EVTDESC16510_NEWS_MEDIUM;北方各州代表在费城召开的会议上宣布成立一个新的联盟：美利坚自由领，宣布废除奴隶制，给与每个人真正的自由。名义上的美国政府声称这是叛国行为，对其宣战;;;;;;;;;;;;x,,,,,,
EVTDESC16510_NEWS_SHORT;一个新的联盟——美利坚自由领成立了，宣布废除奴隶制，给与每个人真正的自由。名义上的美国政府声称这是叛国行为;;;;;;;;;;;;x,,,,,,,
EVTDESC19200_NEWS_LONG;副官的信中提到，国王陛下再次拒绝接见大使，而且此后也未与大使联络。这封急件一到法国政府，立刻引发了法国与$FROMCOUNTRY$的一场外交冲突——普鲁士国王在普鲁士的黑森-拿骚省的巴德埃姆斯\n皇家旅游胜地度假，冷落了法国大使。有谣言称这封急件可能遭到德国政府官员的篡改，旨在煽动两国的战争;;;;;;;;;;;;x,,,
EVTDESC19200_NEWS_MEDIUM;法国和德国间爆发了一场外交冲突——普鲁士国王在普鲁士的黑森-拿骚省的巴德埃姆斯皇家旅游胜地度假，冷落了法国大使。有谣言称这封急件可能遭人篡改，旨在煽动两国的战争;;;;;;;;;;;;x,,,,,,
EVTDESC19200_NEWS_SHORT;法国和德国间爆发了一场外交冲突——普鲁士国王在普鲁士的黑森-拿骚省的巴德埃姆斯皇家旅游胜地度假，冷落了法国大使;;;;;;;;;;;;x,,,,,,
EVTDESC19300_NEWS_LONG;法国人民向美国民众展示了一件让人叹为观止的礼物，一尊巨大的铜雕像，有151英尺高，描绘了一位手持火炬的女人，其名字的寓意为“自由照耀世界”。她由弗雷德里克·奥古斯特·巴托尔迪设计，并被安置在纽约港附近的一座岛上。这尊雕像很快世人皆知，她就是“自由女神像”;;;;;;;;;;;;x,,
EVTDESC19300_NEWS_MEDIUM;法国人民向美国民众展示了一件让人叹为观止的礼物，一尊巨大的铜雕像，描绘了一位手持火炬的女人，其名字的寓意为“自由照耀世界”。这尊雕像很快世人皆知，她就是“自由女神像”;;;;;;;;;;;;x,,,,,
EVTDESC19300_NEWS_SHORT;法国人民向美国民众展示了一件让人叹为观止的礼物，一尊巨大的铜雕像，描绘了一位手持火炬的女人，这就是人尽皆知的“自由女神像”;;;;;;;;;;;;x,,,,,,,
EVTDESC19370_NEWS_LONG;今天，$FROMCOUNTRY_ADJ$士兵进入了$CAPITAL$，随行的新任$FROMCOUNTRY_ADJ$总督将会对在$COUNTRY_ADJ$傀儡政府的行动进行监督。虽然$COUNTRY_ADJ$人民决定以武装斗争反抗外国势力的统治，但他们中也有人质疑这样做是否必要。$COUNTRY$不愿屈服，但就算这次反抗摆脱了$FROMCOUNTRY_ADJ$控制，谁能保证$FROMCOUNTRY$不会再一次入侵呢？;;;;;;;;;;;;x,,,,
EVTDESC19370_NEWS_MEDIUM;今天，$FROMCOUNTRY_ADJ$士兵进入了$CAPITAL$，随行的新任$FROMCOUNTRY_ADJ$总督将会对在$COUNTRY_ADJ$傀儡政府的行动进行监督。$COUNTRY_ADJ$人民决定以武装斗争反抗外国势力的统治;;;;;;;;;;;;x,,,,,,,
EVTDESC19370_NEWS_SHORT;今天，$FROMCOUNTRY_ADJ$士兵进入了$CAPITAL$，随行的新任$FROMCOUNTRY_ADJ$总督将会对在$COUNTRY_ADJ$傀儡政府的行动进行监督;;;;;;;;;;;;x,,,,,,,
EVTDESC20002_NEWS_LONG;数千人涌入了$CAPITAL$的中央广场，要求结束$COUNTRY_ADJ$独裁统治，制订民主宪法，设立普选制度。$COUNTRY_ADJ$军队立于人群旁边，等待攻击命令的下达，然而$COUNTRY$中也有人在考虑接受民众请求是否会更好一些;;;;;;;;;;;;x,,,,,
EVTDESC20002_NEWS_MEDIUM;数千人涌入了$CAPITAL$的中央广场，要求结束$COUNTRY_ADJ$独裁统治，制订民主宪法，设立普选制度;;;;;;;;;;;;x,,,,,,,
EVTDESC20002_NEWS_SHORT;数千人涌入了$CAPITAL$的中央广场，要求结束$COUNTRY_ADJ$独裁统治，制订民主宪法，设立普选制度;;;;;;;;;;;;x,,,,,,,
EVTNAME20006_NEWS_TITLE;$COUNTRY_ADJ$独裁者被暗杀！;;;;;;;;;;;;x,,,,,,,,
EVTDESC20006_NEWS_LONG;今天对于$COUNTRY$是举国悲伤的一天，$COUNTRY_ADJ$总统在$CAPITAL$遭人枪击头部不幸身亡，成为了激进自由主义者埋伏阴谋的牺牲品。整个国家陷入哀痛中，传言说直到现在，各党派也还在讨论是寻找一个新的继位者还是干脆推翻$COUNTRY_ADJ$独裁统治;;;;;;;;;;;;x,,,,,,
EVTDESC20006_NEWS_MEDIUM;今天对于$COUNTRY$是举国悲伤的一天，$COUNTRY_ADJ$总统在$CAPITAL$遭人枪击头部不幸身亡，成为了自由主义者埋伏阴谋的牺牲品。整个国家陷入哀痛中，直到现在，各党派仍在讨论寻找一个新的继位者;;;;;;;;;;;;x,,,,,,
EVTDESC20006_NEWS_SHORT;$COUNTRY_ADJ$总统在$CAPITAL$遭人枪击不幸身亡，成为了自由主义者埋伏阴谋的牺牲品。直到现在，各党派仍在讨论寻找一个新的继位者;;;;;;;;;;;;x,,,,,,,
EVTNAME31510_NEWS_TITLE;大德的天命？;;;;;;;;;;;;x,,,,,,,,
EVTDESC31510_NEWS_LONG;$COUNTRY$走的路总是与德国民众的预期有所区别，“德意志统一”也从未引起$COUNTRY$及其他德意志国家的关注。然而最近，在$CAPITAL$流传的强势言论，主张$COUNTRY$利用支配力建立大德意志，尽管如此，关于是否采纳这一观点仍存在疑问。除此之外，考虑到对这个即将诞生的超级帝国会给整个世界带来恐慌，是否应该豁免非德国籍人士来缓和这一情绪呢？$COUNTRY$真的能实现大德意志吗？;;;;;;;;;;;;x,,,,,
EVTDESC31510_NEWS_MEDIUM;$CAPITAL$流传的强势言论，主张$COUNTRY$利用在德国领土的支配力建立大德意志，尽管如此，关于是否采纳这一观点仍存在疑问。$COUNTRY$真的能实现大德意志吗？;;;;;;;;;;;;x,,,,,,,,
EVTDESC31510_NEWS_SHORT;$CAPITAL$中强势的观点认为，$COUNTRY$在德国的统治，将迫使其统一为所谓“大德意志”。$COUNTRY$的未来真的会更加伟大吗？;;;;;;;;;;;;x,,,,,,,,
EVTDESC31518_NEWS_LONG;近日，关于将$FROMCOUNTRY$转变为“大德意志”的呼声在$COUNTRY_ADJ$掮客之中甚嚣尘上。该论调如今已被$FROMCOUNTRY_ADJ$政府当局叫停，该组织认为，$FROMCOUNTRY$所选择的道路无异于是从$COUNTRY$中分离出来。$COUNTRY_ADJ$政府并未做出正式回应，不过，就$CAPITAL$未来的道路这一问题而言，似乎还存在疑惑。对$FROMCOUNTRY$中讲德语的区域放出这种狠话，依旧是一种选择，但很可能引发战争。;;;;;;;;;;;;x,,,,,,,
EVTDESC31518_NEWS_MEDIUM;由于$FROMCOUNTRY_ADJ$政府坚持认为其发展道路是从$COUNTRY$中分离出来，将$COUNTRY$和$FROMCOUNTRY$转变为“大德意志”的想法最终被叫停。但是，$COUNTRY_ADJ$政府并未作出正式回应。;;;;;;;;;;;;x,,,,,,,,
EVTDESC31518_NEWS_SHORT;由于$FROMCOUNTRY_ADJ$政府坚持认为我们的发展道路是从$COUNTRY$中分离出来，关于将$COUNTRY$和$FROMCOUNTRY$转变为大一统“大德意志”的想法已经被终止。;;;;;;;;;;;;x,,,,,,,,
EVTNAME31520_NEWS_TITLE;大德国条约;;;;;;;;;;;;;x,,,,,,,,
EVTDESC31520_NEWS_LONG;今天，$COUNTRY_ADJ$政府宣告“大德意志”宪章通过，并因此叫停了$COUNTRY$打算从其它德国地区独立出来的道路。此举完全是为了把讲德语的地区统一起来，但并不控制其所属文化。然而在不久的将来，这个“大德意志”无疑将成为一股强大的势力，世界诸强已正式行文表示抗议。;;;;;;;;;;;;;x,,,,,,
EVTDESC31520_NEWS_MEDIUM;$COUNTRY$政府和$FROMCOUNTRY$政府今天已接洽，最终通过“大德意志”宪章，把德语区合并起来，无视那些属于其他文化的地区。世界诸强已正式行文表示抗议。;;;;;;;;;;;;;x,,,,,,,
EVTDESC31520_NEWS_SHORT;$COUNTRY$政府和$FROMCOUNTRY$政府今天已接洽，最终通过“大德意志”宪章。世界列强已正式行文表示抗议。;;;;;;;;;;;;;x,,,,,,,,
EVTDESC31521_NEWS_LONG;“让他们打仗吧，而你，幸运的奥地利，结盟吧”。如今，$COUNTRY$已要求分裂，放弃了因其神圣罗马皇帝地位而享有的长期增长。原首府维也纳的光辉不再，原先属于帝国统治的区域彻底陷入混乱，民族国家已经分崩离析。由于$COUNTRY_ADJ$政府不愿意保持国家的凝聚力却保持着领土统一，旧日帝国辖下的领土，要么宣告完全独立，要么盼着重新合并。;;;;;;;;;;;;;x,,,,,
EVTDESC31521_NEWS_MEDIUM;原首府维也纳的光辉不再，原先属于帝国统治的区域彻底陷入混乱，$COUNTRY$已经分崩离析。旧日帝国辖下的领土，要么宣告完全独立，要么盼着重新合并。;;;;;;;;;;;;;x,,,,,,,
EVTDESC31521_NEWS_SHORT;$COUNTRY$垮掉了！原首府维也纳的光辉不再，原先属于帝国统治的区域彻底陷入混乱，$COUNTRY$已经分崩离析。;;;;;;;;;;;;;x,,,,,,,
EVTDESC31531_NEWS_LONG;$COUNTRY$政府和$FROMCOUNTRY$政府今天已接洽，表达了其合并成立“大德意志”，并终止$FROMCOUNTRY$独立的想法。双方舆论均表示 $COUNTRY$需要团结在同一旗帜之下。这个大一统的民族国家将成为史无前例的强国，现在已经出现了警告：世界诸强很可能会反对这个大一统国家。这个“大德意志”是否会激发一次“世界大战”呢？;;;;;;;;;;;;;x,,,,,,
EVTDESC31531_NEWS_MEDIUM;$COUNTRY$政府和$FROMCOUNTRY$政府今天已接洽，表达了其合并成立“大德意志”，并终止$FROMCOUNTRY$独立的想法。现在已经出现了警告：世界诸强很可能会反对这个大一统国家。;;;;;;;;;;;;;x,,,,,,,
EVTDESC31531_NEWS_SHORT;$COUNTRY$政府和$FROMCOUNTRY$政府今天已接洽，表达了其合并成立“大德意志”，并终止$FROMCOUNTRY$独立的想法。世界诸强很可能会反对这个大一统国家。;;;;;;;;;;;;;x,,,,,,,
EVTNAME32511_NEWS_TITLE;购买阿拉斯加;;;;;;;;;;;;x,,,,,,,,
EVTDESC32511_NEWS_LONG;对俄国来说，遥远的阿拉斯加加已经成为负担。最近，为了卖掉那里，俄国开始偷偷地将黑手伸向泛太平洋。他们在$COUNTRY$找到了一个买主，交易已经完结，整个俄属美洲被转移到$COUNTRY_ADJ$辖下，交易价格仍是个谜。不久前，$COUNTRY_ADJ$统治者已经抵达锡特卡开始管理该地区。;;;;;;;;;;;;x,,,,,,
EVTDESC32511_NEWS_MEDIUM;对俄国来说，遥远的阿拉斯加加已经成为负担。如今，他们在$COUNTRY$找到了一个买主，交易已经完结，整个俄属美洲被转移到$COUNTRY_ADJ$辖下。;;;;;;;;;;;;x,,,,,,,
EVTDESC32511_NEWS_SHORT;俄国与$COUNTRY$间的交易已经完成，整个俄属美洲被转移到$COUNTRY_ADJ$辖下。;;;;;;;;;;;;x,,,,,,,,
EVTDESC36711_NEWS_LONG;在英国的调停下，比利时与尼德兰已经签署了伦敦条约。该条约约定，比利时的完全独立，要以放弃扩张领土为代价，同时，卢森堡东半部以荷兰为大公。;;;;;;;;;;;;x,,,,,,,
EVTDESC36711_NEWS_MEDIUM;在英国的调停下，比利时与尼德兰已经签署了伦敦条约。该条约约定，比利时的完全独立，要以放弃扩张领土为代价，同时，卢森堡东半部以荷兰为大公。;;;;;;;;;;;;x,,,,,,,
EVTDESC36711_NEWS_SHORT;在英国的调停下，比利时与尼德兰已经签署了伦敦条约，该条约约定，比利时的完全独立，要以放弃扩张领土为代价。;;;;;;;;;;;;x,,,,,,
EVTDESC36716_NEWS_LONG;比利时控制了阿姆斯特丹，证明了其在战争中的优势地位。因此，荷兰政府别无选择，对比利时提出的条款只得全盘接受。欧陆诸国进行了调停，他们希望看到的是比利时维持既有统治范围，并满足于其现有的独立。尽管有消息称比利时政府曾要求获得更多的领土。比利时的一意孤行势必激怒欧陆诸国。;;;;;;;;;;;;x,,,,,,,
EVTDESC36716_NEWS_MEDIUM;比利时控制了阿姆斯特丹，证明了其在战争中的优势地位。因此，荷兰政府别无选择，对比利时提出的条款只得全盘接受。欧陆诸国进行了调停，他们希望看到的是比利时维持既有统治范围，并满足于其现有的独立。尽管有消息称比利时政府曾要求获得更多的领土。;;;;;;;;;;;;x,,,,,,,
EVTDESC36716_NEWS_SHORT;比利时控制了阿姆斯特丹，证明了其在战争中的优势地位。因此，荷兰政府别无选择，对比利时提出的条款只得全盘接受。;;;;;;;;;;;;x,,,,,,,
EVTNAME36955_NEWS_TITLE;缅甸冲突;;;;;;;;;;;;x,,,,,,,,
EVTDESC36955_NEWS_LONG;在可疑的情况下，一名不列颠海军将领挑起了海上战事。这名海军将领之前被委派到缅甸，就杨达波条约（1826年）的诸多事项进行交涉，该条约于第一次英缅战争结束后签署。在许多人称这名海军将领为“无理性的侵略主义者”时，英国人无法确保声望不受损，而攻击一个业已成为英国忠实盟友的国家的战事。;;;;;;;;;;;;x,,,
EVTDESC36955_NEWS_MEDIUM;在可疑的情况下，一名不列颠海军将领挑起了海上战事。这名海军将领之前被委派到缅甸，就杨达波条约（1826年）的诸多事项进行交涉，该条约于第一次英缅战争结束后签署。;;;;;;;;;;;;x,,,,,,
EVTDESC36955_NEWS_SHORT;在可疑的情况下，一名不列颠海军将领挑起了海上战事。这名海军将领之前被委派到缅甸就诸多事项进行交涉。;;;;;;;;;;;;x,,,,,,,,
EVTNAME36961_NEWS_TITLE;黄金海岸条约;;;;;;;;;;;;x,,,,,,,,
EVTDESC36961_NEWS_LONG;$COUNTRY$与$FROMCOUNTRY$刚刚签署了黄金海岸条约，其中约定了一些列事项：$COUNTRY$已放弃插手印度尼西亚，而$FROMCOUNTRY$则同意将塞康第让给$COUNTRY$……事实上承认放弃了其在阿善堤黄金海岸的统治权。;;;;;;;;;;;;x,,,,,,
